[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,09:26:10,---,---,---,---,---,
C24S,09:26:54,---,---,---,---,---,
C24S,09:27:38,---,---,---,---,---,
C24S,09:28:22,---,---,---,---,---,
C24S,09:29:06,---,---,---,---,---,
C24S,09:29:50,---,---,---,---,---,
C24S,09:30:34,---,---,---,---,---,
C24S,09:31:18,---,---,---,---,---,
C24S,09:32:02,---,---,---,---,---,
C24S,09:32:46,---,---,---,---,---,
C24S,09:33:31,---,---,---,---,---,
C24S,09:34:15,---,---,---,---,---,
C24S,09:34:59,---,---,---,---,---,
C24S,09:35:43,---,---,---,---,---,
C24S,09:36:27,---,---,---,---,---,
C24S,09:37:11,---,---,---,---,---,
C24S,09:37:55,---,---,---,---,---,
C24S,09:38:39,---,---,---,---,---,
C24S,09:39:23,---,---,---,---,---,
C24S,09:40:07,---,---,---,---,---,
C24S,09:40:51,---,---,---,---,---,
C24S,09:41:35,---,---,---,---,---,
C24S,09:42:19,---,---,---,---,---,
C24S,09:43:03,---,---,---,---,---,
C24S,09:43:48,---,---,---,---,---,
C24S,09:44:32,---,---,---,---,---,
C24S,09:45:16,---,---,---,---,---,
C24S,09:46:00,---,---,---,---,---,
C24S,09:46:44,---,---,---,---,---,
C24S,09:47:28,---,---,---,---,---,
C24S,09:48:12,---,---,---,---,---,
C24S,09:48:56,---,---,---,---,---,
C24S,09:49:40,---,---,---,---,---,
C24S,09:50:24,---,---,---,---,---,
C24S,09:51:08,---,---,---,---,---,
C24S,09:51:52,---,---,---,---,---,
C24S,09:52:36,---,---,---,---,---,
C24S,09:53:20,---,---,---,---,---,
C24S,09:54:05,---,---,---,---,---,
C24S,09:54:49,---,---,---,---,---,
C24S,09:55:33,---,---,---,---,---,
C24S,09:56:17,---,---,---,---,---,
C24S,09:57:01,---,---,---,---,---,
C24S,09:57:45,---,---,---,---,---,
C24S,09:58:29,---,---,---,---,---,
C24S,09:59:13,---,---,---,---,---,
C24S,09:59:57,---,---,---,---,---,
C24S,10:00:41,---,---,---,---,---,
C24S,10:01:25,---,---,---,---,---,
C24S,10:02:09,---,---,---,---,---,
C24S,10:02:53,---,---,---,---,---,
C24S,10:03:38,---,---,---,---,---,
C24S,10:04:22,---,---,---,---,---,
C24S,10:05:06,---,---,---,---,---,
C24S,10:05:50,---,---,---,---,---,
C24S,10:06:34,---,---,---,---,---,
C24S,10:07:18,---,---,---,---,---,
C24S,10:08:02,---,---,---,---,---,
C24S,10:08:46,---,---,---,---,---,
C24S,10:09:30,---,---,---,---,---,
C24S,10:10:14,---,---,---,---,---,
C24S,10:10:58,---,---,---,---,---,
C24S,10:11:42,---,---,---,---,---,
C24S,10:12:26,---,---,---,---,---,
C24S,10:13:10,---,---,---,---,---,
C24S,10:13:55,---,---,---,---,---,
C24S,10:14:39,---,---,---,---,---,
C24S,10:15:23,---,---,---,---,---,
C24S,10:16:07,---,---,---,---,---,
C24S,10:16:51,---,---,---,---,---,
C24S,10:17:35,---,---,---,---,---,
C24S,10:18:19,---,---,---,---,---,
C24S,10:19:03,---,---,---,---,---,
C24S,10:19:47,---,---,---,---,---,
C24S,10:20:31,---,---,---,---,---,
C24S,10:21:15,---,---,---,---,---,
C24S,10:21:59,---,---,---,---,---,
C24S,10:22:43,---,---,---,---,---,
C24S,10:23:27,---,---,---,---,---,
C24S,10:24:12,---,---,---,---,---,
C24S,10:24:56,---,---,---,---,---,
C24S,10:25:40,---,---,---,---,---,
C24S,10:26:24,---,---,---,---,---,
C24S,10:27:08,---,---,---,---,---,
