[NOTUS TEXTFILE V3.1]
File Created: 17-Jul-2020 18:00:41
Tow Date: 17-Jul-2020 10:41:48


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
C24S,10:41:50,63.1,28.4,46°45.993' N,64°45.297' W,---,
C24S,10:42:27,62.9,27.5,46°45.972' N,64°45.278' W,---,
C24S,10:43:07,63.2,12.7,46°45.958' N,64°45.261' W,---,
C24S,10:43:46,62.7,28.6,46°45.935' N,64°45.239' W,---,
C24S,10:44:22,62.9,27.0,46°45.909' N,64°45.221' W,---,
C24S,10:44:59,62.9,25.4,46°45.890' N,64°45.203' W,---,
C24S,10:45:36,62.7,27.8,46°45.865' N,64°45.183' W,---,
C24S,10:46:14,62.8,26.9,46°45.842' N,64°45.164' W,---,
C24S,10:46:50,62.9,26.2,46°45.823' N,64°45.148' W,---,
C24S,10:47:27,62.6,24.7,46°45.801' N,64°45.131' W,---,
C24S,10:48:04,62.7,26.8,46°45.779' N,64°45.112' W,---,
C24S,10:48:43,62.6,26.8,46°45.756' N,64°45.091' W,---,
C24S,10:49:20,62.8,27.2,46°45.732' N,64°45.068' W,---,
C24S,10:49:57,62.9,25.5,46°45.711' N,64°45.049' W,---,
C24S,10:50:34,51.2,29.2,46°45.692' N,64°45.029' W,---,
C24S,10:51:15,---,---,46°45.682' N,64°45.009' W,---,
C24S,10:51:56,---,---,46°45.663' N,64°44.973' W,---,
C24S,10:52:37,---,---,46°45.647' N,64°44.940' W,---,
C24S,10:53:20,---,---,46°45.630' N,64°44.897' W,---,
C24S,10:54:04,---,---,46°45.613' N,64°44.843' W,---,
C24S,10:54:48,---,---,46°45.581' N,64°44.808' W,---,
C24S,10:55:32,---,---,46°45.549' N,64°44.806' W,---,
C24S,10:56:16,---,---,46°45.528' N,64°44.827' W,---,
C24S,10:57:00,---,---,46°45.517' N,64°44.864' W,---,
C24S,10:57:44,---,---,46°45.526' N,64°44.887' W,---,
C24S,10:58:28,---,---,46°45.539' N,64°44.895' W,---,
C24S,10:59:13,---,---,46°45.551' N,64°44.899' W,---,
C24S,10:59:57,---,---,46°45.554' N,64°44.896' W,---,
C24S,11:00:41,---,---,46°45.566' N,64°44.887' W,---,
C24S,11:01:25,---,---,46°45.570' N,64°44.882' W,---,
C24S,11:02:09,---,---,46°45.577' N,64°44.873' W,---,
C24S,11:02:53,---,---,46°45.580' N,64°44.861' W,---,
C24S,11:03:37,---,---,46°45.586' N,64°44.852' W,---,
C24S,11:04:21,---,---,46°45.586' N,64°44.844' W,---,
C24S,11:05:05,---,---,46°45.592' N,64°44.834' W,---,
C24S,11:05:49,---,---,46°45.597' N,64°44.826' W,---,
C24S,11:06:33,---,---,46°45.604' N,64°44.816' W,---,
C24S,11:07:17,---,---,46°45.613' N,64°44.805' W,---,
C24S,11:08:01,---,---,46°45.616' N,64°44.795' W,---,
C24S,11:08:46,---,---,46°45.616' N,64°44.787' W,---,
C24S,11:09:30,---,---,46°45.620' N,64°44.780' W,---,
C24S,11:10:14,---,---,46°45.625' N,64°44.773' W,---,
C24S,11:10:58,---,---,46°45.627' N,64°44.761' W,---,
C24S,11:11:42,---,---,46°45.630' N,64°44.751' W,---,
C24S,11:12:26,---,---,46°45.635' N,64°44.741' W,---,
C24S,11:13:10,---,---,46°45.639' N,64°44.734' W,---,
C24S,11:13:54,---,---,46°45.641' N,64°44.722' W,---,
C24S,11:14:38,---,---,46°45.642' N,64°44.711' W,---,
C24S,11:15:22,---,---,46°45.646' N,64°44.698' W,---,
C24S,11:16:06,---,---,46°45.655' N,64°44.691' W,---,
C24S,11:16:50,---,---,46°45.661' N,64°44.683' W,---,
C24S,11:17:34,---,---,46°45.666' N,64°44.672' W,---,
C24S,11:18:18,---,---,46°45.670' N,64°44.662' W,---,
C24S,11:19:03,---,---,46°45.679' N,64°44.655' W,---,
C24S,11:19:47,---,---,46°45.680' N,64°44.643' W,---,
C24S,11:20:31,---,---,46°45.687' N,64°44.636' W,---,
C24S,11:21:15,---,---,46°45.691' N,64°44.624' W,---,
C24S,11:21:59,---,---,46°45.697' N,64°44.615' W,---,
C24S,11:22:43,---,---,46°45.702' N,64°44.606' W,---,
C24S,11:23:27,---,---,46°45.705' N,64°44.597' W,---,
C24S,11:24:11,---,---,46°45.710' N,64°44.589' W,---,
C24S,11:24:55,---,---,46°45.715' N,64°44.581' W,---,
C24S,11:25:39,---,---,46°45.721' N,64°44.573' W,---,
C24S,11:26:23,---,---,46°45.725' N,64°44.565' W,---,
C24S,11:27:07,---,---,46°45.728' N,64°44.557' W,---,
C24S,11:27:51,---,---,46°45.735' N,64°44.550' W,---,
C24S,11:28:35,---,---,46°45.740' N,64°44.543' W,---,
C24S,11:29:20,---,---,46°45.746' N,64°44.534' W,---,
C24S,11:30:04,---,---,46°45.752' N,64°44.526' W,---,
C24S,11:30:48,---,---,46°45.756' N,64°44.520' W,---,
C24S,11:31:32,---,---,46°45.763' N,64°44.515' W,---,
C24S,11:32:16,---,---,46°45.765' N,64°44.508' W,---,
C24S,11:33:00,---,---,46°45.769' N,64°44.502' W,---,
C24S,11:33:44,---,---,46°45.775' N,64°44.492' W,---,
C24S,11:34:28,---,---,46°45.780' N,64°44.481' W,---,
C24S,11:35:12,---,---,46°45.786' N,64°44.474' W,---,
C24S,11:35:56,---,---,46°45.790' N,64°44.465' W,---,
C24S,11:36:40,---,---,46°45.797' N,64°44.452' W,---,
C24S,11:37:24,---,---,46°45.800' N,64°44.445' W,---,
C24S,11:38:08,---,---,46°45.802' N,64°44.434' W,---,
C24S,11:38:52,---,---,46°45.804' N,64°44.427' W,---,
C24S,11:39:37,---,---,46°45.809' N,64°44.418' W,---,
C24S,11:40:21,---,---,46°45.817' N,64°44.409' W,---,
C24S,11:41:05,---,---,46°45.820' N,64°44.398' W,---,
C24S,11:41:49,---,---,46°45.822' N,64°44.389' W,---,
C24S,11:42:33,---,---,46°45.826' N,64°44.380' W,---,
C24S,11:43:17,---,---,46°45.831' N,64°44.371' W,---,
C24S,11:44:01,---,---,46°45.837' N,64°44.361' W,---,
C24S,11:44:45,---,---,46°45.842' N,64°44.352' W,---,
C24S,11:45:29,---,---,46°45.848' N,64°44.344' W,---,
C24S,11:46:13,---,---,46°45.855' N,64°44.336' W,---,
C24S,11:46:57,---,---,46°45.857' N,64°44.325' W,---,
C24S,11:47:41,---,---,46°45.859' N,64°44.314' W,---,
C24S,11:48:25,---,---,46°45.859' N,64°44.305' W,---,
C24S,11:49:10,---,---,46°45.864' N,64°44.294' W,---,
