Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,11
Comments
"ZONE 12 EST DE TRACADIE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Aug 17 18:30:17 2013,17-Aug-2013,213017,47 35.005300 N,064 0.693200 W,4.5,46.6,A,Primary,Headline,4.857143,D,S,58452.000000
Sat Aug 17 18:30:18 2013,17-Aug-2013,213018,47 35.006100 N,064 0.691900 W,4.5,46.7,A,Secondary,Headline,0.000000,E,S,172340.000000
Sat Aug 17 18:30:18 2013,17-Aug-2013,213019,47 35.006900 N,064 0.690600 W,4.4,46.8,A,Secondary,Headline,0.000000,E,S,172340.000000
Sat Aug 17 18:30:18 2013,17-Aug-2013,213020,47 35.007700 N,064 0.689300 W,4.4,46.8,A,Secondary,Headline,0.000000,E,S,172340.000000
Sat Aug 17 18:30:18 2013,17-Aug-2013,213021,47 35.008500 N,064 0.688200 W,4.3,46.7,A,Secondary,Headline,0.000000,E,S,172340.000000
Sat Aug 17 18:30:18 2013,17-Aug-2013,213022,47 35.009300 N,064 0.687200 W,4.2,46.6,A,Secondary,Headline,0.000000,E,S,172340.000000
Sat Aug 17 18:30:23 2013,17-Aug-2013,213023,47 35.010100 N,064 0.686100 W,4.2,46.6,A,DoorSpread,DoorMaster,1.825000,D,S,131680.000000
Sat Aug 17 18:30:23 2013,17-Aug-2013,213024,47 35.011000 N,064 0.685100 W,4.1,46.4,A,DoorSpread,DoorMaster,1.825000,D,S,131680.000000
Sat Aug 17 18:30:23 2013,17-Aug-2013,213025,47 35.011800 N,064 0.684200 W,4.1,46.2,A,DoorSpread,DoorMaster,1.825000,D,S,131680.000000
Sat Aug 17 18:30:26 2013,17-Aug-2013,213026,47 35.012500 N,064 0.683100 W,4.0,46.0,A,Depth,Depth,3.703704,D,S,125079.000000
Sat Aug 17 18:30:26 2013,17-Aug-2013,213027,47 35.013300 N,064 0.682100 W,4.0,45.8,A,Depth,Depth,3.703704,D,S,125079.000000
Sat Aug 17 18:30:28 2013,17-Aug-2013,213028,47 35.014100 N,064 0.681000 W,3.9,45.9,A,DoorSpread,DoorMaster,2.400000,D,S,84507.000000
Sat Aug 17 18:30:28 2013,17-Aug-2013,213029,47 35.014800 N,064 0.679900 W,3.9,45.8,A,DoorSpread,DoorMaster,2.400000,D,S,84507.000000
Sat Aug 17 18:30:28 2013,17-Aug-2013,213030,47 35.015500 N,064 0.678900 W,3.8,45.7,A,DoorSpread,DoorMaster,2.400000,D,S,84507.000000
Sat Aug 17 18:30:28 2013,17-Aug-2013,213031,47 35.016300 N,064 0.677900 W,3.8,45.5,A,DoorSpread,DoorMaster,2.400000,D,S,84507.000000
Sat Aug 17 18:30:28 2013,17-Aug-2013,213032,47 35.017100 N,064 0.677000 W,3.8,45.5,A,DoorSpread,DoorMaster,2.400000,D,S,84507.000000
Sat Aug 17 18:30:33 2013,17-Aug-2013,213033,47 35.017800 N,064 0.676100 W,3.7,45.6,A,Depth,Depth,4.814815,D,S,194122.000000
Sat Aug 17 18:30:33 2013,17-Aug-2013,213034,47 35.018600 N,064 0.675300 W,3.7,45.4,A,Depth,Depth,4.814815,D,S,194122.000000
Sat Aug 17 18:30:33 2013,17-Aug-2013,213035,47 35.019300 N,064 0.674400 W,3.7,45.3,A,Depth,Depth,4.814815,D,S,194122.000000
Sat Aug 17 18:30:33 2013,17-Aug-2013,213036,47 35.020100 N,064 0.673500 W,3.6,45.2,A,Depth,Depth,4.814815,D,S,194122.000000
Sat Aug 17 18:30:33 2013,17-Aug-2013,213037,47 35.020800 N,064 0.672600 W,3.6,45.2,A,Depth,Depth,4.814815,D,S,194122.000000
Sat Aug 17 18:30:38 2013,17-Aug-2013,213038,47 35.021500 N,064 0.671600 W,3.6,45.3,A,DoorSpread,DoorMaster,3.175000,D,S,134911.000000
Sat Aug 17 18:30:38 2013,17-Aug-2013,213039,47 35.022200 N,064 0.670500 W,3.6,45.3,A,DoorSpread,DoorMaster,3.175000,D,S,134911.000000
Sat Aug 17 18:30:40 2013,17-Aug-2013,213040,47 35.022900 N,064 0.669500 W,3.5,45.2,A,Depth,Depth,21.481481,D,S,95610.000000
Sat Aug 17 18:30:40 2013,17-Aug-2013,213041,47 35.023600 N,064 0.668500 W,3.5,44.9,A,Depth,Depth,21.481481,D,S,95610.000000
Sat Aug 17 18:30:40 2013,17-Aug-2013,213042,47 35.024300 N,064 0.667600 W,3.5,44.9,A,Depth,Depth,21.481481,D,S,95610.000000
