Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,8
Comments
"ZONE 12 NORD DE NORTH CAPE PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Aug 18 15:27:41 2013,18-Aug-2013,182741,47 18.062800 N,063 50.315000 W,3.8,40.7,A,Primary,Headline,2.653061,D,S,41024.000000
Sun Aug 18 15:27:41 2013,18-Aug-2013,182742,47 18.063500 N,063 50.314100 W,3.7,40.7,A,Primary,Headline,2.653061,D,S,41024.000000
Sun Aug 18 15:27:41 2013,18-Aug-2013,182743,47 18.064300 N,063 50.313200 W,3.7,40.5,A,Primary,Headline,2.653061,D,S,41024.000000
Sun Aug 18 15:27:44 2013,18-Aug-2013,182744,47 18.065000 N,063 50.312400 W,3.6,40.5,A,Depth,Depth,30.740741,D,S,47853.000000
Sun Aug 18 15:27:44 2013,18-Aug-2013,182745,47 18.065600 N,063 50.311500 W,3.6,40.8,A,Depth,Depth,30.740741,D,S,47853.000000
Sun Aug 18 15:27:44 2013,18-Aug-2013,182746,47 18.066300 N,063 50.310600 W,3.5,41.2,A,Depth,Depth,30.740741,D,S,47853.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182747,47 18.067000 N,063 50.309700 W,3.5,41.2,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182748,47 18.067700 N,063 50.308800 W,3.4,41.3,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182749,47 18.068400 N,063 50.307900 W,3.4,41.5,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182750,47 18.069000 N,063 50.307000 W,3.4,41.7,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182751,47 18.069700 N,063 50.306100 W,3.3,41.7,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:48 2013,18-Aug-2013,182752,47 18.070500 N,063 50.305200 W,3.3,41.6,A,DoorSpread,DoorMaster,1.025000,D,S,93482.000000
Sun Aug 18 15:27:53 2013,18-Aug-2013,182753,47 18.071100 N,063 50.304300 W,3.3,42.0,A,DoorSpread,DoorMaster,2.475000,D,S,57517.000000
Sun Aug 18 15:27:53 2013,18-Aug-2013,182754,47 18.071700 N,063 50.303500 W,3.3,42.3,A,DoorSpread,DoorMaster,2.475000,D,S,57517.000000
Sun Aug 18 15:27:53 2013,18-Aug-2013,182755,47 18.072200 N,063 50.302700 W,3.2,42.3,A,DoorSpread,DoorMaster,2.475000,D,S,57517.000000
Sun Aug 18 15:27:53 2013,18-Aug-2013,182756,47 18.072700 N,063 50.302000 W,3.2,42.3,A,DoorSpread,DoorMaster,2.475000,D,S,57517.000000
Sun Aug 18 15:27:53 2013,18-Aug-2013,182757,47 18.073300 N,063 50.301100 W,3.1,42.7,A,DoorSpread,DoorMaster,2.475000,D,S,57517.000000
Sun Aug 18 15:27:58 2013,18-Aug-2013,182758,47 18.073900 N,063 50.300200 W,3.1,43.1,A,DoorSpread,DoorMaster,2.075000,D,S,98668.000000
Sun Aug 18 15:27:58 2013,18-Aug-2013,182759,47 18.074500 N,063 50.299200 W,3.0,43.3,A,DoorSpread,DoorMaster,2.075000,D,S,98668.000000
Sun Aug 18 15:27:58 2013,18-Aug-2013,182800,47 18.075000 N,063 50.298500 W,3.0,43.5,A,DoorSpread,DoorMaster,2.075000,D,S,98668.000000
