Ship Number,Trip Number,Tow Number
JEANMATHIEU,3,1
Comments
"ZONE 12 NORD EST DE MISCOU"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,05-Aug-2013,084301,48 9.460000 N,063 51.618600 W,4.1,142.5,A,,,,,,
,05-Aug-2013,084302,48 9.459100 N,063 51.617500 W,4.1,142.2,A,,,,,,
,05-Aug-2013,084303,48 9.458300 N,063 51.616500 W,4.1,142.1,A,,,,,,
,05-Aug-2013,084304,48 9.457400 N,063 51.615400 W,4.1,142.1,A,,,,,,
,05-Aug-2013,084305,48 9.456500 N,063 51.614400 W,4.1,142.0,A,,,,,,
,05-Aug-2013,084306,48 9.455700 N,063 51.613400 W,4.1,141.9,A,,,,,,
,05-Aug-2013,084307,48 9.454800 N,063 51.612400 W,4.0,141.8,A,,,,,,
,05-Aug-2013,084308,48 9.454100 N,063 51.611400 W,4.0,141.6,A,,,,,,
,05-Aug-2013,084309,48 9.453300 N,063 51.610400 W,3.9,141.4,A,,,,,,
,05-Aug-2013,084310,48 9.452500 N,063 51.609500 W,3.8,141.3,A,,,,,,
,05-Aug-2013,084311,48 9.451800 N,063 51.608600 W,3.8,141.2,A,,,,,,
,05-Aug-2013,084312,48 9.451100 N,063 51.607700 W,3.7,141.2,A,,,,,,
,05-Aug-2013,084313,48 9.450400 N,063 51.606900 W,3.6,141.3,A,,,,,,
,05-Aug-2013,084314,48 9.449700 N,063 51.606100 W,3.5,141.3,A,,,,,,
,05-Aug-2013,084315,48 9.449000 N,063 51.605300 W,3.5,141.3,A,,,,,,
,05-Aug-2013,084316,48 9.448400 N,063 51.604400 W,3.4,141.3,A,,,,,,
,05-Aug-2013,084317,48 9.447700 N,063 51.603700 W,3.3,141.5,A,,,,,,
,05-Aug-2013,084318,48 9.447100 N,063 51.602900 W,3.2,141.9,A,,,,,,
,05-Aug-2013,084319,48 9.446500 N,063 51.602200 W,3.2,141.9,A,,,,,,
,05-Aug-2013,084320,48 9.445900 N,063 51.601500 W,3.1,141.9,A,,,,,,
,05-Aug-2013,084321,48 9.445400 N,063 51.600700 W,3.0,141.8,A,,,,,,
Mon Aug 05 05:43:20 2013,05-Aug-2013,084322,48 9.444800 N,063 51.600000 W,3.0,142.0,A,Primary,Headline,2.877551,D,S,145541.000000
Mon Aug 05 05:43:20 2013,05-Aug-2013,084323,48 9.444200 N,063 51.599300 W,2.9,142.2,A,Primary,Headline,2.877551,D,S,145541.000000
Mon Aug 05 05:43:20 2013,05-Aug-2013,084324,48 9.443600 N,063 51.598600 W,2.9,142.2,A,Primary,Headline,2.877551,D,S,145541.000000
Mon Aug 05 05:43:20 2013,05-Aug-2013,084325,48 9.443100 N,063 51.598000 W,2.8,142.0,A,Primary,Headline,2.877551,D,S,145541.000000
Mon Aug 05 05:43:20 2013,05-Aug-2013,084326,48 9.442500 N,063 51.597300 W,2.8,142.0,A,Primary,Headline,2.877551,D,S,145541.000000
Mon Aug 05 05:43:24 2013,05-Aug-2013,084327,48 9.442000 N,063 51.596700 W,2.7,142.2,A,Secondary,Headline,0.000000,E,S,59030.000000
Mon Aug 05 05:43:24 2013,05-Aug-2013,084328,48 9.441400 N,063 51.596000 W,2.7,142.2,A,Secondary,Headline,0.000000,E,S,59030.000000
Mon Aug 05 05:43:24 2013,05-Aug-2013,084329,48 9.440900 N,063 51.595400 W,2.6,142.0,A,Secondary,Headline,0.000000,E,S,59030.000000
Mon Aug 05 05:43:24 2013,05-Aug-2013,084330,48 9.440400 N,063 51.594800 W,2.6,142.0,A,Secondary,Headline,0.000000,E,S,59030.000000
Mon Aug 05 05:43:24 2013,05-Aug-2013,084331,48 9.439900 N,063 51.594200 W,2.5,142.1,A,Secondary,Headline,0.000000,E,S,59030.000000
Mon Aug 05 05:43:30 2013,05-Aug-2013,084332,48 9.439400 N,063 51.593700 W,2.5,142.5,A,Primary,Headline,5.326531,D,S,143058.000000
Mon Aug 05 05:43:30 2013,05-Aug-2013,084333,48 9.438900 N,063 51.593100 W,2.5,142.7,A,Primary,Headline,5.326531,D,S,143058.000000
Mon Aug 05 05:43:30 2013,05-Aug-2013,084334,48 9.438400 N,063 51.592600 W,2.4,142.6,A,Primary,Headline,5.326531,D,S,143058.000000
Mon Aug 05 05:43:30 2013,05-Aug-2013,084335,48 9.437900 N,063 51.592000 W,2.4,142.5,A,Primary,Headline,5.326531,D,S,143058.000000
Mon Aug 05 05:43:34 2013,05-Aug-2013,084336,48 9.437500 N,063 51.591500 W,2.4,142.6,A,Secondary,Headline,0.000000,E,S,108838.000000
Mon Aug 05 05:43:34 2013,05-Aug-2013,084337,48 9.437000 N,063 51.590900 W,2.3,142.8,A,Secondary,Headline,0.000000,E,S,108838.000000
Mon Aug 05 05:43:34 2013,05-Aug-2013,084338,48 9.436500 N,063 51.590400 W,2.3,143.1,A,Secondary,Headline,0.000000,E,S,108838.000000
Mon Aug 05 05:43:34 2013,05-Aug-2013,084339,48 9.436000 N,063 51.589900 W,2.3,143.1,A,Secondary,Headline,0.000000,E,S,108838.000000
Mon Aug 05 05:43:34 2013,05-Aug-2013,084340,48 9.435600 N,063 51.589400 W,2.2,143.0,A,Secondary,Headline,0.000000,E,S,108838.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084341,48 9.435200 N,063 51.588900 W,2.2,143.0,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084342,48 9.434700 N,063 51.588400 W,2.2,143.0,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084343,48 9.434300 N,063 51.587900 W,2.2,143.0,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084344,48 9.433800 N,063 51.587400 W,2.1,143.1,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084345,48 9.433400 N,063 51.586800 W,2.1,142.9,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:39 2013,05-Aug-2013,084346,48 9.433000 N,063 51.586400 W,2.1,142.8,A,Primary,Headline,3.510204,D,S,47458.000000
Mon Aug 05 05:43:44 2013,05-Aug-2013,084347,48 9.432500 N,063 51.585900 W,2.1,142.9,A,Secondary,Headline,0.000000,E,S,82223.000000
Mon Aug 05 05:43:44 2013,05-Aug-2013,084348,48 9.432100 N,063 51.585400 W,2.1,143.0,A,Secondary,Headline,0.000000,E,S,82223.000000
Mon Aug 05 05:43:44 2013,05-Aug-2013,084349,48 9.431700 N,063 51.585000 W,2.0,143.2,A,Secondary,Headline,0.000000,E,S,82223.000000
Mon Aug 05 05:43:44 2013,05-Aug-2013,084350,48 9.431300 N,063 51.584500 W,2.0,143.1,A,Secondary,Headline,0.000000,E,S,82223.000000
Mon Aug 05 05:43:44 2013,05-Aug-2013,084351,48 9.430800 N,063 51.584000 W,2.0,143.0,A,Secondary,Headline,0.000000,E,S,82223.000000
Mon Aug 05 05:43:50 2013,05-Aug-2013,084352,48 9.430400 N,063 51.583500 W,2.0,142.6,A,Primary,Headline,33.285714,D,S,31689.000000
Mon Aug 05 05:43:50 2013,05-Aug-2013,084353,48 9.430000 N,063 51.583100 W,1.9,142.4,A,Primary,Headline,33.285714,D,S,31689.000000
Mon Aug 05 05:43:50 2013,05-Aug-2013,084354,48 9.429600 N,063 51.582700 W,1.9,142.5,A,Primary,Headline,33.285714,D,S,31689.000000
Mon Aug 05 05:43:50 2013,05-Aug-2013,084355,48 9.429200 N,063 51.582200 W,1.9,142.5,A,Primary,Headline,33.285714,D,S,31689.000000
Mon Aug 05 05:43:50 2013,05-Aug-2013,084356,48 9.428800 N,063 51.581700 W,1.9,142.3,A,Primary,Headline,33.285714,D,S,31689.000000
Mon Aug 05 05:43:55 2013,05-Aug-2013,084357,48 9.428500 N,063 51.581200 W,1.9,141.9,A,Depth,Depth,5.185185,D,S,55919.000000
Mon Aug 05 05:43:55 2013,05-Aug-2013,084358,48 9.428100 N,063 51.580700 W,1.9,141.7,A,Depth,Depth,5.185185,D,S,55919.000000
Mon Aug 05 05:43:55 2013,05-Aug-2013,084359,48 9.427700 N,063 51.580300 W,1.8,141.5,A,Depth,Depth,5.185185,D,S,55919.000000
Mon Aug 05 05:43:55 2013,05-Aug-2013,084400,48 9.427300 N,063 51.579800 W,1.8,141.7,A,Depth,Depth,5.185185,D,S,55919.000000
Mon Aug 05 05:43:55 2013,05-Aug-2013,084401,48 9.427000 N,063 51.579400 W,1.8,141.9,A,Depth,Depth,5.185185,D,S,55919.000000
Mon Aug 05 05:44:00 2013,05-Aug-2013,084402,48 9.426600 N,063 51.579000 W,1.8,141.9,A,Primary,Headline,10.020408,D,S,58113.000000
Mon Aug 05 05:44:00 2013,05-Aug-2013,084403,48 9.426200 N,063 51.578600 W,1.8,141.8,A,Primary,Headline,10.020408,D,S,58113.000000
Mon Aug 05 05:44:02 2013,05-Aug-2013,084404,48 9.425800 N,063 51.578300 W,1.8,141.7,A,Depth,Depth,1.481481,D,S,82366.000000
Mon Aug 05 05:44:02 2013,05-Aug-2013,084405,48 9.425400 N,063 51.577800 W,1.8,141.6,A,Depth,Depth,1.481481,D,S,82366.000000
Mon Aug 05 05:44:02 2013,05-Aug-2013,084406,48 9.425000 N,063 51.577400 W,1.8,141.6,A,Depth,Depth,1.481481,D,S,82366.000000
