Ship Number,Trip Number,Tow Number,,,,,,,,,,,
JEANMATHIEU,3,7,,,,,,,,,,,
Comments,,,,,,,,,,,,,
ZONE 12 NORD EST CAP GASPE,,,,,,,,,,,,,
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Aug 07 16:59:38 2013,07-Aug-13,195938,48 51.111900 N,063 28.822600 W,4.2,102.5,A,DoorSpread,DoorMaster,0,E,S,58281
Wed Aug 07 16:59:38 2013,07-Aug-13,195939,48 51.111500 N,063 28.821000 W,4.2,103.4,A,DoorSpread,DoorMaster,0,E,S,58281
Wed Aug 07 16:59:38 2013,07-Aug-13,195940,48 51.111100 N,063 28.819400 W,4.1,104.4,A,DoorSpread,DoorMaster,0,E,S,58281
Wed Aug 07 16:59:38 2013,07-Aug-13,195941,48 51.110700 N,063 28.817800 W,4.1,105.3,A,DoorSpread,DoorMaster,0,E,S,58281
Wed Aug 07 16:59:38 2013,07-Aug-13,195942,48 51.110300 N,063 28.816200 W,4,106.1,A,DoorSpread,DoorMaster,0,E,S,58281
Wed Aug 07 16:59:43 2013,07-Aug-13,195943,48 51.109900 N,063 28.814700 W,4,106.9,A,DoorSpread,DoorMaster,0,E,S,61039
Wed Aug 07 16:59:43 2013,07-Aug-13,195944,48 51.109500 N,063 28.813200 W,4,107.8,A,DoorSpread,DoorMaster,0,E,S,61039
Wed Aug 07 16:59:43 2013,07-Aug-13,195945,48 51.109100 N,063 28.811700 W,3.9,108.8,A,DoorSpread,DoorMaster,0,E,S,61039
Wed Aug 07 16:59:43 2013,07-Aug-13,195946,48 51.108600 N,063 28.810300 W,3.9,109.9,A,DoorSpread,DoorMaster,0,E,S,61039
Wed Aug 07 16:59:43 2013,07-Aug-13,195947,48 51.108200 N,063 28.808900 W,3.9,110.7,A,DoorSpread,DoorMaster,0,E,S,61039
Wed Aug 07 16:59:48 2013,07-Aug-13,195948,48 51.107700 N,063 28.807400 W,3.9,111.4,A,DoorSpread,DoorMaster,2.475,D,S,12038
Wed Aug 07 16:59:48 2013,07-Aug-13,195949,48 51.107200 N,063 28.806000 W,3.8,112.3,A,DoorSpread,DoorMaster,2.475,D,S,12038
Wed Aug 07 16:59:48 2013,07-Aug-13,195950,48 51.106800 N,063 28.804700 W,3.8,113.1,A,DoorSpread,DoorMaster,2.475,D,S,12038
Wed Aug 07 16:59:48 2013,07-Aug-13,195951,48 51.106300 N,063 28.803300 W,3.8,113.7,A,DoorSpread,DoorMaster,2.475,D,S,12038
Wed Aug 07 16:59:48 2013,07-Aug-13,195952,48 51.105900 N,063 28.801900 W,3.8,114.3,A,DoorSpread,DoorMaster,2.475,D,S,12038
Wed Aug 07 16:59:53 2013,07-Aug-13,195953,48 51.105400 N,063 28.800500 W,3.7,114.8,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:53 2013,07-Aug-13,195954,48 51.104900 N,063 28.799200 W,3.7,115.1,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:53 2013,07-Aug-13,195955,48 51.104500 N,063 28.797800 W,3.7,115.3,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:53 2013,07-Aug-13,195956,48 51.104100 N,063 28.796500 W,3.7,115.6,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:53 2013,07-Aug-13,195957,48 51.103700 N,063 28.795100 W,3.7,115.8,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:53 2013,07-Aug-13,195958,48 51.103200 N,063 28.793800 W,3.7,116,A,DoorSpread,DoorMaster,2.9,D,S,4041
Wed Aug 07 16:59:58 2013,07-Aug-13,195959,48 51.102800 N,063 28.792500 W,3.6,116.1,A,DoorSpread,DoorMaster,2.225,D,S,8781
Wed Aug 07 16:59:58 2013,07-Aug-13,200000,48 51.102400 N,063 28.791100 W,3.6,116.3,A,DoorSpread,DoorMaster,2.225,D,S,8781
Wed Aug 07 16:59:58 2013,07-Aug-13,200001,48 51.102000 N,063 28.789800 W,3.6,116.5,A,DoorSpread,DoorMaster,2.225,D,S,8781
Wed Aug 07 16:59:58 2013,07-Aug-13,200002,48 51.101500 N,063 28.788400 W,3.6,116.6,A,DoorSpread,DoorMaster,2.225,D,S,8781
Wed Aug 07 16:59:58 2013,07-Aug-13,200003,48 51.101100 N,063 28.787100 W,3.6,116.7,A,DoorSpread,DoorMaster,2.225,D,S,8781
Wed Aug 07 17:00:03 2013,07-Aug-13,200004,48 51.100600 N,063 28.785800 W,3.6,116.7,A,DoorSpread,DoorMaster,2.4,D,S,17166
Wed Aug 07 17:00:03 2013,07-Aug-13,200005,48 51.100200 N,063 28.784500 W,3.6,116.6,A,DoorSpread,DoorMaster,2.4,D,S,17166
Wed Aug 07 17:00:03 2013,07-Aug-13,200006,48 51.099800 N,063 28.783100 W,3.5,116.5,A,DoorSpread,DoorMaster,2.4,D,S,17166
Wed Aug 07 17:00:03 2013,07-Aug-13,200007,48 51.099400 N,063 28.781900 W,3.5,116.3,A,DoorSpread,DoorMaster,2.4,D,S,17166
Wed Aug 07 17:00:03 2013,07-Aug-13,200008,48 51.099100 N,063 28.780600 W,3.5,116.1,A,DoorSpread,DoorMaster,2.4,D,S,17166
Wed Aug 07 17:00:09 2013,07-Aug-13,200009,48 51.098700 N,063 28.779400 W,3.4,115.9,A,DoorSpread,DoorMaster,3.125,D,S,13617
Wed Aug 07 17:00:09 2013,07-Aug-13,200010,48 51.098400 N,063 28.778200 W,3.4,115.8,A,DoorSpread,DoorMaster,3.125,D,S,13617
Wed Aug 07 17:00:09 2013,07-Aug-13,200011,48 51.098000 N,063 28.777000 W,3.3,115.6,A,DoorSpread,DoorMaster,3.125,D,S,13617
Wed Aug 07 17:00:09 2013,07-Aug-13,200012,48 51.097700 N,063 28.775800 W,3.3,115.5,A,DoorSpread,DoorMaster,3.125,D,S,13617
Wed Aug 07 17:00:09 2013,07-Aug-13,200013,48 51.097300 N,063 28.774600 W,3.3,115.4,A,DoorSpread,DoorMaster,3.125,D,S,13617
Wed Aug 07 17:00:14 2013,07-Aug-13,200014,48 51.097000 N,063 28.773400 W,3.2,115.1,A,DoorSpread,DoorMaster,2.825,D,S,14496
Wed Aug 07 17:00:14 2013,07-Aug-13,200015,48 51.096600 N,063 28.772300 W,3.2,114.8,A,DoorSpread,DoorMaster,2.825,D,S,14496
Wed Aug 07 17:00:16 2013,07-Aug-13,200016,48 51.096400 N,063 28.771200 W,3.1,114.5,A,Depth,Depth,66.296296,D,S,3085
Wed Aug 07 17:00:16 2013,07-Aug-13,200017,48 51.096100 N,063 28.770000 W,3.1,114.3,A,Depth,Depth,66.296296,D,S,3085
Wed Aug 07 17:00:16 2013,07-Aug-13,200018,48 51.095800 N,063 28.768900 W,3.1,114.3,A,Depth,Depth,66.296296,D,S,3085
Wed Aug 07 17:00:19 2013,07-Aug-13,200019,48 51.095500 N,063 28.767800 W,3,114.2,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:19 2013,07-Aug-13,200020,48 51.095300 N,063 28.766700 W,3,113.9,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:19 2013,07-Aug-13,200021,48 51.094900 N,063 28.765600 W,3,113.8,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:19 2013,07-Aug-13,200022,48 51.094700 N,063 28.764500 W,2.9,113.5,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:19 2013,07-Aug-13,200023,48 51.094400 N,063 28.763400 W,2.9,113.3,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:19 2013,07-Aug-13,200024,48 51.094200 N,063 28.762300 W,2.9,113.2,A,DoorSpread,DoorMaster,4.325,D,S,11964
Wed Aug 07 17:00:24 2013,07-Aug-13,200025,48 51.093900 N,063 28.761300 W,2.8,112.9,A,DoorSpread,DoorMaster,3.275,D,S,42899
Wed Aug 07 17:00:24 2013,07-Aug-13,200026,48 51.093600 N,063 28.760200 W,2.8,112.6,A,DoorSpread,DoorMaster,3.275,D,S,42899
Wed Aug 07 17:00:24 2013,07-Aug-13,200027,48 51.093400 N,063 28.759100 W,2.8,112.3,A,DoorSpread,DoorMaster,3.275,D,S,42899
Wed Aug 07 17:00:24 2013,07-Aug-13,200028,48 51.093200 N,063 28.758000 W,2.8,112,A,DoorSpread,DoorMaster,3.275,D,S,42899
Wed Aug 07 17:00:24 2013,07-Aug-13,200029,48 51.092900 N,063 28.757000 W,2.7,111.5,A,DoorSpread,DoorMaster,3.275,D,S,42899
Wed Aug 07 17:00:30 2013,07-Aug-13,200030,48 51.092700 N,063 28.755900 W,2.7,111.3,A,DoorSpread,DoorMaster,6.825,D,S,53997
Wed Aug 07 17:00:30 2013,07-Aug-13,200031,48 51.092400 N,063 28.754800 W,2.7,111.3,A,DoorSpread,DoorMaster,6.825,D,S,53997
Wed Aug 07 17:00:30 2013,07-Aug-13,200032,48 51.092200 N,063 28.753700 W,2.7,111,A,DoorSpread,DoorMaster,6.825,D,S,53997
Wed Aug 07 17:00:30 2013,07-Aug-13,200033,48 51.091900 N,063 28.752700 W,2.7,110.9,A,DoorSpread,DoorMaster,6.825,D,S,53997
Wed Aug 07 17:00:30 2013,07-Aug-13,200034,48 51.091700 N,063 28.751600 W,2.7,110.8,A,DoorSpread,DoorMaster,6.825,D,S,53997
Wed Aug 07 17:00:35 2013,07-Aug-13,200035,48 51.091500 N,063 28.750600 W,2.7,110.7,A,DoorSpread,DoorMaster,0,E,S,56506
Wed Aug 07 17:00:35 2013,07-Aug-13,200036,48 51.091200 N,063 28.749600 W,2.6,110.3,A,DoorSpread,DoorMaster,0,E,S,56506
Wed Aug 07 17:00:37 2013,07-Aug-13,200037,48 51.091100 N,063 28.748700 W,2.6,110.1,A,Depth,Depth,5.555556,D,S,30414
Wed Aug 07 17:00:37 2013,07-Aug-13,200038,48 51.090900 N,063 28.747700 W,2.6,110,A,Depth,Depth,5.555556,D,S,30414
Wed Aug 07 17:00:37 2013,07-Aug-13,200039,48 51.090700 N,063 28.746700 W,2.6,110.1,A,Depth,Depth,5.555556,D,S,30414
Wed Aug 07 17:00:40 2013,07-Aug-13,200040,48 51.090400 N,063 28.745600 W,2.6,110,A,DoorSpread,DoorMaster,0,E,S,74812
Wed Aug 07 17:00:40 2013,07-Aug-13,200041,48 51.090200 N,063 28.744600 W,2.6,109.7,A,DoorSpread,DoorMaster,0,E,S,74812
Wed Aug 07 17:00:40 2013,07-Aug-13,200042,48 51.089900 N,063 28.743600 W,2.6,109.3,A,DoorSpread,DoorMaster,0,E,S,74812
Wed Aug 07 17:00:40 2013,07-Aug-13,200043,48 51.089700 N,063 28.742500 W,2.6,109.2,A,DoorSpread,DoorMaster,0,E,S,74812
Wed Aug 07 17:00:44 2013,07-Aug-13,200044,48 51.089500 N,063 28.741500 W,2.5,109.1,A,Depth,Depth,4.814815,D,S,55989
Wed Aug 07 17:00:45 2013,07-Aug-13,200045,48 51.089400 N,063 28.740500 W,2.5,108.7,A,DoorSpread,DoorMaster,0,E,S,69380
Wed Aug 07 17:00:45 2013,07-Aug-13,200046,48 51.089200 N,063 28.739600 W,2.5,108.5,A,DoorSpread,DoorMaster,0,E,S,69380
Wed Aug 07 17:00:45 2013,07-Aug-13,200047,48 51.089000 N,063 28.738600 W,2.5,108.4,A,DoorSpread,DoorMaster,0,E,S,69380
Wed Aug 07 17:00:45 2013,07-Aug-13,200048,48 51.088700 N,063 28.737600 W,2.5,108.3,A,DoorSpread,DoorMaster,0,E,S,69380
Wed Aug 07 17:00:45 2013,07-Aug-13,200049,48 51.088500 N,063 28.736700 W,2.4,108.2,A,DoorSpread,DoorMaster,0,E,S,69380
Wed Aug 07 17:00:50 2013,07-Aug-13,200050,48 51.088300 N,063 28.735700 W,2.4,108.2,A,DoorSpread,DoorMaster,2.625,D,S,162980
Wed Aug 07 17:00:51 2013,07-Aug-13,200051,48 51.088200 N,063 28.734800 W,2.4,108.1,A,Depth,Depth,8.518519,D,S,165413
