Ship Number,Trip Number,Tow Number
JEANMATHIEU,8,2
Comments
"ZONE 12 OUEST DU BANC BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,11-Oct-2013,111010,47 26.254400 N,063 15.859700 W,4.3,250.9,A,,,,,,
,11-Oct-2013,111011,47 26.254100 N,063 15.861200 W,4.2,250.8,A,,,,,,
,11-Oct-2013,111012,47 26.253700 N,063 15.862700 W,4.2,250.7,A,,,,,,
,11-Oct-2013,111013,47 26.253400 N,063 15.864100 W,4.1,250.9,A,,,,,,
,11-Oct-2013,111014,47 26.253100 N,063 15.865600 W,4.1,251.6,A,,,,,,
,11-Oct-2013,111015,47 26.252800 N,063 15.867200 W,4.1,251.8,A,,,,,,
Fri Oct 11 08:10:15 2013,11-Oct-2013,111016,47 26.252300 N,063 15.868600 W,4.0,250.9,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:15 2013,11-Oct-2013,111017,47 26.251900 N,063 15.869900 W,4.0,250.6,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:15 2013,11-Oct-2013,111018,47 26.251500 N,063 15.871400 W,4.0,251.3,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:15 2013,11-Oct-2013,111019,47 26.251200 N,063 15.872900 W,3.9,251.7,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:15 2013,11-Oct-2013,111020,47 26.250700 N,063 15.874300 W,3.9,251.4,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:15 2013,11-Oct-2013,111021,47 26.250300 N,063 15.875600 W,3.8,250.8,A,Depth,Depth,0.000000,D,S,13972.000000
Fri Oct 11 08:10:21 2013,11-Oct-2013,111022,47 26.249900 N,063 15.876900 W,3.8,250.5,A,Primary,Headline,4.428571,D,S,18563.000000
Fri Oct 11 08:10:21 2013,11-Oct-2013,111023,47 26.249500 N,063 15.878200 W,3.8,250.5,A,Primary,Headline,4.428571,D,S,18563.000000
Fri Oct 11 08:10:21 2013,11-Oct-2013,111024,47 26.249200 N,063 15.879600 W,3.8,250.7,A,Primary,Headline,4.428571,D,S,18563.000000
Fri Oct 11 08:10:21 2013,11-Oct-2013,111025,47 26.248800 N,063 15.880900 W,3.7,250.3,A,Primary,Headline,4.428571,D,S,18563.000000
Fri Oct 11 08:10:25 2013,11-Oct-2013,111026,47 26.248300 N,063 15.882100 W,3.7,249.6,A,DoorSpread,DoorMaster,1.100000,D,S,37546.000000
Fri Oct 11 08:10:26 2013,11-Oct-2013,111027,47 26.248000 N,063 15.883400 W,3.6,249.3,A,Secondary,Headline,0.000000,E,S,36074.000000
Fri Oct 11 08:10:26 2013,11-Oct-2013,111028,47 26.247600 N,063 15.884700 W,3.6,249.5,A,Secondary,Headline,0.000000,E,S,36074.000000
Fri Oct 11 08:10:26 2013,11-Oct-2013,111029,47 26.247200 N,063 15.886000 W,3.6,249.6,A,Secondary,Headline,0.000000,E,S,36074.000000
Fri Oct 11 08:10:26 2013,11-Oct-2013,111030,47 26.246800 N,063 15.887200 W,3.6,249.1,A,Secondary,Headline,0.000000,E,S,36074.000000
Fri Oct 11 08:10:26 2013,11-Oct-2013,111031,47 26.246400 N,063 15.888400 W,3.6,248.7,A,Secondary,Headline,0.000000,E,S,36074.000000
Fri Oct 11 08:10:31 2013,11-Oct-2013,111032,47 26.245900 N,063 15.889600 W,3.5,248.6,A,Primary,Headline,1.897959,D,S,85220.000000
Fri Oct 11 08:10:31 2013,11-Oct-2013,111033,47 26.245500 N,063 15.890800 W,3.5,248.8,A,Primary,Headline,1.897959,D,S,85220.000000
Fri Oct 11 08:10:31 2013,11-Oct-2013,111034,47 26.245100 N,063 15.892000 W,3.5,248.8,A,Primary,Headline,1.897959,D,S,85220.000000
Fri Oct 11 08:10:31 2013,11-Oct-2013,111035,47 26.244700 N,063 15.893400 W,3.5,248.8,A,Primary,Headline,1.897959,D,S,85220.000000
Fri Oct 11 08:10:31 2013,11-Oct-2013,111036,47 26.244400 N,063 15.894700 W,3.5,248.8,A,Primary,Headline,1.897959,D,S,85220.000000
Fri Oct 11 08:10:36 2013,11-Oct-2013,111037,47 26.244000 N,063 15.895900 W,3.5,248.5,A,DoorSpread,DoorMaster,2.800000,D,S,38635.000000
Fri Oct 11 08:10:36 2013,11-Oct-2013,111038,47 26.243600 N,063 15.897100 W,3.4,248.4,A,DoorSpread,DoorMaster,2.800000,D,S,38635.000000
Fri Oct 11 08:10:36 2013,11-Oct-2013,111039,47 26.243200 N,063 15.898300 W,3.4,248.6,A,DoorSpread,DoorMaster,2.800000,D,S,38635.000000
Fri Oct 11 08:10:36 2013,11-Oct-2013,111040,47 26.242700 N,063 15.899400 W,3.4,248.6,A,DoorSpread,DoorMaster,2.800000,D,S,38635.000000
Fri Oct 11 08:10:36 2013,11-Oct-2013,111041,47 26.242400 N,063 15.900600 W,3.4,248.6,A,DoorSpread,DoorMaster,2.800000,D,S,38635.000000
Fri Oct 11 08:10:41 2013,11-Oct-2013,111042,47 26.242100 N,063 15.901900 W,3.4,248.7,A,DoorSpread,DoorMaster,3.650000,D,S,69162.000000
Fri Oct 11 08:10:41 2013,11-Oct-2013,111043,47 26.241700 N,063 15.903200 W,3.4,248.6,A,DoorSpread,DoorMaster,3.650000,D,S,69162.000000
Fri Oct 11 08:10:41 2013,11-Oct-2013,111044,47 26.241300 N,063 15.904500 W,3.4,248.4,A,DoorSpread,DoorMaster,3.650000,D,S,69162.000000
Fri Oct 11 08:10:41 2013,11-Oct-2013,111045,47 26.241000 N,063 15.905800 W,3.4,248.6,A,DoorSpread,DoorMaster,3.650000,D,S,69162.000000
Fri Oct 11 08:10:41 2013,11-Oct-2013,111046,47 26.240600 N,063 15.907200 W,3.4,249.1,A,DoorSpread,DoorMaster,3.650000,D,S,69162.000000
Fri Oct 11 08:10:46 2013,11-Oct-2013,111047,47 26.240300 N,063 15.908400 W,3.4,249.0,A,DoorSpread,DoorMaster,4.300000,D,S,41385.000000
Fri Oct 11 08:10:46 2013,11-Oct-2013,111048,47 26.240000 N,063 15.909700 W,3.4,248.8,A,DoorSpread,DoorMaster,4.300000,D,S,41385.000000
Fri Oct 11 08:10:46 2013,11-Oct-2013,111049,47 26.239700 N,063 15.911000 W,3.4,249.2,A,DoorSpread,DoorMaster,4.300000,D,S,41385.000000
Fri Oct 11 08:10:46 2013,11-Oct-2013,111050,47 26.239400 N,063 15.912500 W,3.4,249.8,A,DoorSpread,DoorMaster,4.300000,D,S,41385.000000
Fri Oct 11 08:10:50 2013,11-Oct-2013,111051,47 26.239000 N,063 15.913800 W,3.4,249.8,A,Depth,Depth,30.000000,D,S,32177.000000
Fri Oct 11 08:10:51 2013,11-Oct-2013,111052,47 26.238800 N,063 15.915000 W,3.4,249.6,A,DoorSpread,DoorMaster,0.000000,E,S,39947.000000
Fri Oct 11 08:10:51 2013,11-Oct-2013,111053,47 26.238500 N,063 15.916400 W,3.4,250.0,A,DoorSpread,DoorMaster,0.000000,E,S,39947.000000
Fri Oct 11 08:10:51 2013,11-Oct-2013,111054,47 26.238300 N,063 15.917600 W,3.4,250.6,A,DoorSpread,DoorMaster,0.000000,E,S,39947.000000
