Ship Number,Trip Number,Tow Number
JEANMATHIEU,2,2
Comments
"AREA 12 NORTH OF TRACADIE BAY PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Jul 26 06:51:56 2013,26-Jul-2013,095156,46 55.457000 N,063 0.443600 W,4.0,273.6,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095157,46 55.457100 N,063 0.445100 W,3.9,273.5,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095158,46 55.457200 N,063 0.446700 W,3.9,273.6,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095159,46 55.457200 N,063 0.448100 W,3.9,273.5,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095200,46 55.457300 N,063 0.449600 W,3.9,273.5,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095201,46 55.457400 N,063 0.451200 W,3.9,273.3,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095202,46 55.457400 N,063 0.452700 W,3.8,272.9,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095203,46 55.457500 N,063 0.454200 W,3.8,272.9,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095204,46 55.457600 N,063 0.455800 W,3.8,273.1,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:51:56 2013,26-Jul-2013,095205,46 55.457600 N,063 0.457300 W,3.8,272.9,A,Secondary,Headline,0.000000,E,S,34322.000000
Fri Jul 26 06:52:07 2013,26-Jul-2013,095206,46 55.457700 N,063 0.458700 W,3.8,272.7,A,Depth,Depth,16.296296,D,S,30735.000000
Fri Jul 26 06:52:07 2013,26-Jul-2013,095207,46 55.457700 N,063 0.460200 W,3.7,272.8,A,Depth,Depth,16.296296,D,S,30735.000000
Fri Jul 26 06:52:07 2013,26-Jul-2013,095208,46 55.457700 N,063 0.461700 W,3.7,272.8,A,Depth,Depth,16.296296,D,S,30735.000000
Fri Jul 26 06:52:10 2013,26-Jul-2013,095209,46 55.457800 N,063 0.463100 W,3.7,272.9,A,DoorSpread,DoorMaster,3.275000,D,S,42121.000000
Fri Jul 26 06:52:10 2013,26-Jul-2013,095210,46 55.457900 N,063 0.464500 W,3.7,273.1,A,DoorSpread,DoorMaster,3.275000,D,S,42121.000000
Fri Jul 26 06:52:10 2013,26-Jul-2013,095211,46 55.457900 N,063 0.466000 W,3.7,273.1,A,DoorSpread,DoorMaster,3.275000,D,S,42121.000000
Fri Jul 26 06:52:13 2013,26-Jul-2013,095212,46 55.457900 N,063 0.467400 W,3.7,272.7,A,Secondary,Headline,0.000000,E,S,50850.000000
Fri Jul 26 06:52:14 2013,26-Jul-2013,095213,46 55.458000 N,063 0.468900 W,3.7,272.9,A,Depth,Depth,0.000000,D,S,23678.000000
Fri Jul 26 06:52:15 2013,26-Jul-2013,095214,46 55.458100 N,063 0.470300 W,3.6,273.3,A,DoorSpread,DoorMaster,4.600000,D,S,47692.000000
Fri Jul 26 06:52:15 2013,26-Jul-2013,095215,46 55.458100 N,063 0.471800 W,3.6,272.9,A,DoorSpread,DoorMaster,4.600000,D,S,47692.000000
Fri Jul 26 06:52:15 2013,26-Jul-2013,095216,46 55.458100 N,063 0.473200 W,3.6,272.2,A,DoorSpread,DoorMaster,4.600000,D,S,47692.000000
Fri Jul 26 06:52:18 2013,26-Jul-2013,095217,46 55.458100 N,063 0.474600 W,3.6,272.5,A,Primary,Headline,2.632653,D,S,82217.000000
Fri Jul 26 06:52:18 2013,26-Jul-2013,095218,46 55.458200 N,063 0.476000 W,3.6,272.9,A,Primary,Headline,2.632653,D,S,82217.000000
Fri Jul 26 06:52:18 2013,26-Jul-2013,095219,46 55.458200 N,063 0.477500 W,3.6,273.1,A,Primary,Headline,2.632653,D,S,82217.000000
Fri Jul 26 06:52:21 2013,26-Jul-2013,095220,46 55.458300 N,063 0.478800 W,3.6,273.2,A,Depth,Depth,6.296296,D,S,22736.000000
Fri Jul 26 06:52:21 2013,26-Jul-2013,095221,46 55.458200 N,063 0.480100 W,3.6,273.0,A,Depth,Depth,6.296296,D,S,22736.000000
Fri Jul 26 06:52:23 2013,26-Jul-2013,095222,46 55.458200 N,063 0.481500 W,3.6,272.8,A,Secondary,Headline,0.000000,E,S,38746.000000
Fri Jul 26 06:52:23 2013,26-Jul-2013,095223,46 55.458200 N,063 0.482900 W,3.6,273.2,A,Secondary,Headline,0.000000,E,S,38746.000000
Fri Jul 26 06:52:23 2013,26-Jul-2013,095224,46 55.458300 N,063 0.484200 W,3.5,273.8,A,Secondary,Headline,0.000000,E,S,38746.000000
Fri Jul 26 06:52:25 2013,26-Jul-2013,095225,46 55.458200 N,063 0.485500 W,3.5,273.7,A,DoorSpread,DoorMaster,1.825000,D,S,70058.000000
Fri Jul 26 06:52:25 2013,26-Jul-2013,095226,46 55.458200 N,063 0.486900 W,3.5,273.2,A,DoorSpread,DoorMaster,1.825000,D,S,70058.000000
Fri Jul 26 06:52:28 2013,26-Jul-2013,095227,46 55.458200 N,063 0.488300 W,3.5,273.1,A,Depth,Depth,0.000000,D,S,61044.000000
Fri Jul 26 06:52:28 2013,26-Jul-2013,095228,46 55.458300 N,063 0.489700 W,3.5,273.7,A,Depth,Depth,0.000000,D,S,61044.000000
Fri Jul 26 06:52:28 2013,26-Jul-2013,095229,46 55.458300 N,063 0.491100 W,3.5,273.7,A,Depth,Depth,0.000000,D,S,61044.000000
