Ship Number,Trip Number,Tow Number
JEANMATHIEU,8,1
Comments
"ZONE 12 SUD DU BANC BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,12-Oct-2013,102557,47 11.574700 N,062 57.774700 W,4.8,208.5,A,,,,,,
,12-Oct-2013,102558,47 11.573300 N,062 57.775600 W,4.8,207.8,A,,,,,,
,12-Oct-2013,102559,47 11.572100 N,062 57.776500 W,4.9,207.6,A,,,,,,
,12-Oct-2013,102600,47 11.570900 N,062 57.777500 W,4.9,208.3,A,,,,,,
,12-Oct-2013,102601,47 11.569800 N,062 57.778500 W,4.8,209.2,A,,,,,,
,12-Oct-2013,102602,47 11.568600 N,062 57.779500 W,4.8,209.5,A,,,,,,
,12-Oct-2013,102603,47 11.567300 N,062 57.780500 W,4.9,209.0,A,,,,,,
,12-Oct-2013,102604,47 11.565900 N,062 57.781300 W,4.9,208.1,A,,,,,,
,12-Oct-2013,102605,47 11.564600 N,062 57.782100 W,5.0,207.6,A,,,,,,
,12-Oct-2013,102606,47 11.563400 N,062 57.783000 W,5.0,208.0,A,,,,,,
,12-Oct-2013,102607,47 11.562300 N,062 57.784100 W,5.1,208.9,A,,,,,,
,12-Oct-2013,102608,47 11.561000 N,062 57.785300 W,5.1,209.1,A,,,,,,
,12-Oct-2013,102609,47 11.559800 N,062 57.786200 W,5.0,208.3,A,,,,,,
,12-Oct-2013,102610,47 11.558600 N,062 57.787000 W,5.0,207.4,A,,,,,,
,12-Oct-2013,102611,47 11.557200 N,062 57.788000 W,5.0,207.0,A,,,,,,
,12-Oct-2013,102612,47 11.556000 N,062 57.789200 W,5.0,207.6,A,,,,,,
,12-Oct-2013,102613,47 11.554700 N,062 57.790300 W,5.1,208.0,A,,,,,,
,12-Oct-2013,102614,47 11.553500 N,062 57.791200 W,5.1,207.6,A,,,,,,
,12-Oct-2013,102615,47 11.552100 N,062 57.792000 W,5.1,206.6,A,,,,,,
