Ship Number,Trip Number,Tow Number
JEANMATHIEU,3,9
Comments
"ZONE 12E EST CAP GASPE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,07-Aug-2013,232755,48 44.025100 N,063 8.671900 W,4.2,127.2,A,,,,,,
,07-Aug-2013,232756,48 44.024500 N,063 8.670500 W,4.2,127.0,A,,,,,,
,07-Aug-2013,232757,48 44.023900 N,063 8.669200 W,4.2,126.8,A,,,,,,
,07-Aug-2013,232758,48 44.023300 N,063 8.667800 W,4.2,126.8,A,,,,,,
,07-Aug-2013,232759,48 44.022700 N,063 8.666500 W,4.1,126.6,A,,,,,,
,07-Aug-2013,232800,48 44.022100 N,063 8.665200 W,4.1,126.4,A,,,,,,
Wed Aug 07 20:28:01 2013,07-Aug-2013,232801,48 44.021500 N,063 8.663900 W,4.1,126.2,A,Primary,Headline,3.530612,D,S,40589.000000
Wed Aug 07 20:28:01 2013,07-Aug-2013,232802,48 44.020900 N,063 8.662600 W,4.1,126.1,A,Primary,Headline,3.530612,D,S,40589.000000
Wed Aug 07 20:28:01 2013,07-Aug-2013,232803,48 44.020300 N,063 8.661300 W,4.1,126.0,A,Primary,Headline,3.530612,D,S,40589.000000
Wed Aug 07 20:28:01 2013,07-Aug-2013,232804,48 44.019700 N,063 8.660000 W,4.0,125.7,A,Primary,Headline,3.530612,D,S,40589.000000
Wed Aug 07 20:28:01 2013,07-Aug-2013,232805,48 44.019200 N,063 8.658700 W,4.0,125.4,A,Primary,Headline,3.530612,D,S,40589.000000
Wed Aug 07 20:28:06 2013,07-Aug-2013,232806,48 44.018600 N,063 8.657500 W,4.0,125.2,A,DoorSpread,DoorMaster,4.350000,D,S,29869.000000
Wed Aug 07 20:28:06 2013,07-Aug-2013,232807,48 44.018100 N,063 8.656200 W,3.9,125.0,A,DoorSpread,DoorMaster,4.350000,D,S,29869.000000
Wed Aug 07 20:28:06 2013,07-Aug-2013,232808,48 44.017600 N,063 8.655000 W,3.9,124.7,A,DoorSpread,DoorMaster,4.350000,D,S,29869.000000
Wed Aug 07 20:28:06 2013,07-Aug-2013,232809,48 44.017100 N,063 8.653700 W,3.8,124.2,A,DoorSpread,DoorMaster,4.350000,D,S,29869.000000
Wed Aug 07 20:28:06 2013,07-Aug-2013,232810,48 44.016600 N,063 8.652500 W,3.8,123.9,A,DoorSpread,DoorMaster,4.350000,D,S,29869.000000
Wed Aug 07 20:28:11 2013,07-Aug-2013,232811,48 44.016100 N,063 8.651300 W,3.7,123.7,A,DoorSpread,DoorMaster,1.375000,D,S,33414.000000
Wed Aug 07 20:28:11 2013,07-Aug-2013,232812,48 44.015600 N,063 8.650100 W,3.6,123.5,A,DoorSpread,DoorMaster,1.375000,D,S,33414.000000
Wed Aug 07 20:28:11 2013,07-Aug-2013,232813,48 44.015100 N,063 8.649000 W,3.6,123.3,A,DoorSpread,DoorMaster,1.375000,D,S,33414.000000
Wed Aug 07 20:28:11 2013,07-Aug-2013,232814,48 44.014700 N,063 8.647900 W,3.5,123.1,A,DoorSpread,DoorMaster,1.375000,D,S,33414.000000
Wed Aug 07 20:28:11 2013,07-Aug-2013,232815,48 44.014200 N,063 8.646800 W,3.5,122.8,A,DoorSpread,DoorMaster,1.375000,D,S,33414.000000
Wed Aug 07 20:28:16 2013,07-Aug-2013,232816,48 44.013800 N,063 8.645700 W,3.4,122.5,A,Primary,Headline,3.122449,D,S,6686.000000
Wed Aug 07 20:28:17 2013,07-Aug-2013,232817,48 44.013400 N,063 8.644600 W,3.4,122.2,A,DoorSpread,DoorMaster,2.650000,D,S,128214.000000
Wed Aug 07 20:28:17 2013,07-Aug-2013,232818,48 44.013000 N,063 8.643500 W,3.3,122.1,A,DoorSpread,DoorMaster,2.650000,D,S,128214.000000
Wed Aug 07 20:28:17 2013,07-Aug-2013,232819,48 44.012500 N,063 8.642400 W,3.3,121.8,A,DoorSpread,DoorMaster,2.650000,D,S,128214.000000
Wed Aug 07 20:28:17 2013,07-Aug-2013,232820,48 44.012100 N,063 8.641300 W,3.2,121.8,A,DoorSpread,DoorMaster,2.650000,D,S,128214.000000
Wed Aug 07 20:28:17 2013,07-Aug-2013,232821,48 44.011700 N,063 8.640200 W,3.2,121.8,A,DoorSpread,DoorMaster,2.650000,D,S,128214.000000
Wed Aug 07 20:28:22 2013,07-Aug-2013,232822,48 44.011300 N,063 8.639100 W,3.2,121.8,A,DoorSpread,DoorMaster,3.975000,D,S,39599.000000
Wed Aug 07 20:28:22 2013,07-Aug-2013,232823,48 44.010800 N,063 8.638000 W,3.1,121.6,A,DoorSpread,DoorMaster,3.975000,D,S,39599.000000
Wed Aug 07 20:28:22 2013,07-Aug-2013,232824,48 44.010400 N,063 8.637000 W,3.1,121.5,A,DoorSpread,DoorMaster,3.975000,D,S,39599.000000
Wed Aug 07 20:28:22 2013,07-Aug-2013,232825,48 44.009900 N,063 8.635900 W,3.1,121.5,A,DoorSpread,DoorMaster,3.975000,D,S,39599.000000
Wed Aug 07 20:28:22 2013,07-Aug-2013,232826,48 44.009500 N,063 8.634900 W,3.0,121.6,A,DoorSpread,DoorMaster,3.975000,D,S,39599.000000
Wed Aug 07 20:28:27 2013,07-Aug-2013,232827,48 44.009100 N,063 8.633900 W,3.0,121.5,A,DoorSpread,DoorMaster,2.975000,D,S,78023.000000
Wed Aug 07 20:28:27 2013,07-Aug-2013,232828,48 44.008600 N,063 8.632900 W,3.0,121.3,A,DoorSpread,DoorMaster,2.975000,D,S,78023.000000
Wed Aug 07 20:28:27 2013,07-Aug-2013,232829,48 44.008100 N,063 8.631800 W,3.0,121.2,A,DoorSpread,DoorMaster,2.975000,D,S,78023.000000
Wed Aug 07 20:28:27 2013,07-Aug-2013,232830,48 44.007800 N,063 8.630900 W,2.9,121.2,A,DoorSpread,DoorMaster,2.975000,D,S,78023.000000
Wed Aug 07 20:28:27 2013,07-Aug-2013,232831,48 44.007400 N,063 8.629900 W,2.9,121.1,A,DoorSpread,DoorMaster,2.975000,D,S,78023.000000
Wed Aug 07 20:28:32 2013,07-Aug-2013,232832,48 44.006900 N,063 8.629000 W,2.9,121.2,A,Depth,Depth,3.703704,D,S,16984.000000
Wed Aug 07 20:28:32 2013,07-Aug-2013,232833,48 44.006500 N,063 8.628000 W,2.8,121.3,A,Depth,Depth,3.703704,D,S,16984.000000
Wed Aug 07 20:28:32 2013,07-Aug-2013,232834,48 44.006100 N,063 8.627100 W,2.8,121.3,A,Depth,Depth,3.703704,D,S,16984.000000
Wed Aug 07 20:28:32 2013,07-Aug-2013,232835,48 44.005700 N,063 8.626100 W,2.8,121.1,A,Depth,Depth,3.703704,D,S,16984.000000
Wed Aug 07 20:28:36 2013,07-Aug-2013,232836,48 44.005300 N,063 8.625100 W,2.8,120.9,A,Primary,Headline,2.489796,D,S,115491.000000
Wed Aug 07 20:28:37 2013,07-Aug-2013,232837,48 44.004900 N,063 8.624100 W,2.7,120.9,A,DoorSpread,DoorMaster,3.200000,D,S,218704.000000
Wed Aug 07 20:28:37 2013,07-Aug-2013,232838,48 44.004600 N,063 8.623200 W,2.7,120.8,A,DoorSpread,DoorMaster,3.200000,D,S,218704.000000
Wed Aug 07 20:28:39 2013,07-Aug-2013,232839,48 44.004100 N,063 8.622300 W,2.7,120.6,A,Depth,Depth,4.074074,D,S,75307.000000
Wed Aug 07 20:28:39 2013,07-Aug-2013,232840,48 44.003900 N,063 8.621300 W,2.7,120.1,A,Depth,Depth,4.074074,D,S,75307.000000
Wed Aug 07 20:28:42 2013,07-Aug-2013,232841,48 44.003600 N,063 8.620300 W,2.7,119.9,A,Primary,Headline,2.897959,D,S,160927.000000
Wed Aug 07 20:28:42 2013,07-Aug-2013,232842,48 44.003200 N,063 8.619400 W,2.6,120.1,A,Primary,Headline,2.897959,D,S,160927.000000
Wed Aug 07 20:28:43 2013,07-Aug-2013,232843,48 44.002800 N,063 8.618500 W,2.6,120.1,A,DoorSpread,DoorMaster,2.875000,D,S,264271.000000
Wed Aug 07 20:28:43 2013,07-Aug-2013,232844,48 44.002500 N,063 8.617500 W,2.6,120.0,A,DoorSpread,DoorMaster,2.875000,D,S,264271.000000
Wed Aug 07 20:28:43 2013,07-Aug-2013,232845,48 44.002200 N,063 8.616500 W,2.6,119.9,A,DoorSpread,DoorMaster,2.875000,D,S,264271.000000
Wed Aug 07 20:28:46 2013,07-Aug-2013,232846,48 44.001800 N,063 8.615600 W,2.6,120.0,A,Depth,Depth,7.037037,D,S,139265.000000
Wed Aug 07 20:28:47 2013,07-Aug-2013,232847,48 44.001500 N,063 8.614600 W,2.6,120.0,A,Primary,Headline,2.653061,D,S,126029.000000
Wed Aug 07 20:28:48 2013,07-Aug-2013,232848,48 44.001200 N,063 8.613700 W,2.6,120.0,A,DoorSpread,DoorMaster,2.725000,D,S,310757.000000
Wed Aug 07 20:28:48 2013,07-Aug-2013,232849,48 44.000900 N,063 8.612700 W,2.6,119.9,A,DoorSpread,DoorMaster,2.725000,D,S,310757.000000
Wed Aug 07 20:28:48 2013,07-Aug-2013,232850,48 44.000500 N,063 8.611800 W,2.5,119.9,A,DoorSpread,DoorMaster,2.725000,D,S,310757.000000
Wed Aug 07 20:28:48 2013,07-Aug-2013,232851,48 44.000200 N,063 8.610900 W,2.5,119.8,A,DoorSpread,DoorMaster,2.725000,D,S,310757.000000
Wed Aug 07 20:28:52 2013,07-Aug-2013,232852,48 43.999900 N,063 8.609900 W,2.5,119.9,A,Primary,Headline,2.693878,D,S,190161.000000
Wed Aug 07 20:28:53 2013,07-Aug-2013,232853,48 43.999600 N,063 8.609100 W,2.5,119.9,A,Depth,Depth,12.592593,D,S,142136.000000
Wed Aug 07 20:28:53 2013,07-Aug-2013,232854,48 43.999300 N,063 8.608200 W,2.5,119.9,A,Depth,Depth,12.592593,D,S,142136.000000
Wed Aug 07 20:28:53 2013,07-Aug-2013,232855,48 43.999000 N,063 8.607300 W,2.5,119.8,A,Depth,Depth,12.592593,D,S,142136.000000
Wed Aug 07 20:28:53 2013,07-Aug-2013,232856,48 43.998700 N,063 8.606400 W,2.5,119.9,A,Depth,Depth,12.592593,D,S,142136.000000
Wed Aug 07 20:28:57 2013,07-Aug-2013,232857,48 43.998400 N,063 8.605500 W,2.5,119.6,A,Primary,Headline,2.632653,D,S,375400.000000
Wed Aug 07 20:28:58 2013,07-Aug-2013,232858,48 43.998200 N,063 8.604600 W,2.5,119.6,A,DoorSpread,DoorMaster,2.400000,D,S,344077.000000
Wed Aug 07 20:28:58 2013,07-Aug-2013,232859,48 43.997800 N,063 8.603700 W,2.5,119.6,A,DoorSpread,DoorMaster,2.400000,D,S,344077.000000
Wed Aug 07 20:29:01 2013,07-Aug-2013,232900,48 43.997500 N,063 8.602700 W,2.5,119.6,A,Depth,Depth,11.481481,D,S,283080.000000
Wed Aug 07 20:29:01 2013,07-Aug-2013,232901,48 43.997200 N,063 8.601900 W,2.5,119.7,A,Depth,Depth,11.481481,D,S,283080.000000
Wed Aug 07 20:29:02 2013,07-Aug-2013,232902,48 43.996900 N,063 8.601000 W,2.4,119.7,A,Primary,Headline,2.714286,D,S,362554.000000
Wed Aug 07 20:29:04 2013,07-Aug-2013,232903,48 43.996600 N,063 8.600100 W,2.4,119.7,A,DoorSpread,DoorMaster,2.200000,D,S,505701.000000
Wed Aug 07 20:29:04 2013,07-Aug-2013,232904,48 43.996300 N,063 8.599200 W,2.4,119.7,A,DoorSpread,DoorMaster,2.200000,D,S,505701.000000
Wed Aug 07 20:29:04 2013,07-Aug-2013,232905,48 43.996000 N,063 8.598300 W,2.4,119.7,A,DoorSpread,DoorMaster,2.200000,D,S,505701.000000
Wed Aug 07 20:29:04 2013,07-Aug-2013,232906,48 43.995700 N,063 8.597400 W,2.4,119.6,A,DoorSpread,DoorMaster,2.200000,D,S,505701.000000
