Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,3
Comments
"ZONE 12 SAVAGE HARBOUR PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,12-Sep-2013,114046,46 39.237900 N,062 48.681300 W,3.8,90.2,A,,,,,,
Thu Sep 12 08:40:46 2013,12-Sep-2013,114047,46 39.237900 N,062 48.679800 W,3.8,90.1,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114048,46 39.237900 N,062 48.678200 W,3.8,89.9,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114049,46 39.237800 N,062 48.676800 W,3.8,90.1,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114050,46 39.237800 N,062 48.675300 W,3.8,90.3,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114051,46 39.237800 N,062 48.673800 W,3.8,90.0,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114052,46 39.237900 N,062 48.672300 W,3.7,89.3,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:46 2013,12-Sep-2013,114053,46 39.237900 N,062 48.670800 W,3.7,89.0,A,Depth,Depth,0.000000,D,S,105324.000000
Thu Sep 12 08:40:53 2013,12-Sep-2013,114054,46 39.238000 N,062 48.669400 W,3.7,88.9,A,Depth,Depth,35.925926,D,S,72384.000000
Thu Sep 12 08:40:53 2013,12-Sep-2013,114055,46 39.238000 N,062 48.668000 W,3.7,89.0,A,Depth,Depth,35.925926,D,S,72384.000000
Thu Sep 12 08:40:53 2013,12-Sep-2013,114056,46 39.238000 N,062 48.666600 W,3.6,88.9,A,Depth,Depth,35.925926,D,S,72384.000000
Thu Sep 12 08:40:53 2013,12-Sep-2013,114057,46 39.238000 N,062 48.665200 W,3.6,88.8,A,Depth,Depth,35.925926,D,S,72384.000000
Thu Sep 12 08:40:53 2013,12-Sep-2013,114058,46 39.238000 N,062 48.663800 W,3.6,88.3,A,Depth,Depth,35.925926,D,S,72384.000000
Thu Sep 12 08:40:58 2013,12-Sep-2013,114059,46 39.238100 N,062 48.662400 W,3.6,87.7,A,DoorSpread,DoorMaster,2.550000,D,S,65544.000000
Thu Sep 12 08:40:58 2013,12-Sep-2013,114100,46 39.238200 N,062 48.661100 W,3.5,87.4,A,DoorSpread,DoorMaster,2.550000,D,S,65544.000000
Thu Sep 12 08:41:00 2013,12-Sep-2013,114101,46 39.238200 N,062 48.659700 W,3.5,87.5,A,Depth,Depth,75.185185,D,S,35413.000000
Thu Sep 12 08:41:00 2013,12-Sep-2013,114102,46 39.238200 N,062 48.658400 W,3.5,87.8,A,Depth,Depth,75.185185,D,S,35413.000000
Thu Sep 12 08:41:00 2013,12-Sep-2013,114103,46 39.238200 N,062 48.657100 W,3.4,87.8,A,Depth,Depth,75.185185,D,S,35413.000000
Thu Sep 12 08:41:04 2013,12-Sep-2013,114104,46 39.238400 N,062 48.655800 W,3.4,87.4,A,DoorSpread,DoorMaster,2.400000,D,S,86028.000000
Thu Sep 12 08:41:05 2013,12-Sep-2013,114105,46 39.238500 N,062 48.654600 W,3.4,87.1,A,Secondary,Headline,0.000000,E,S,39060.000000
Thu Sep 12 08:41:05 2013,12-Sep-2013,114106,46 39.238600 N,062 48.653300 W,3.4,86.9,A,Secondary,Headline,0.000000,E,S,39060.000000
Thu Sep 12 08:41:05 2013,12-Sep-2013,114107,46 39.238700 N,062 48.652000 W,3.4,86.9,A,Secondary,Headline,0.000000,E,S,39060.000000
Thu Sep 12 08:41:07 2013,12-Sep-2013,114108,46 39.238800 N,062 48.650600 W,3.4,87.0,A,Depth,Depth,2.592593,D,S,40235.000000
Thu Sep 12 08:41:09 2013,12-Sep-2013,114109,46 39.238700 N,062 48.649200 W,3.3,87.1,A,DoorSpread,DoorMaster,4.250000,D,S,63629.000000
Thu Sep 12 08:41:09 2013,12-Sep-2013,114110,46 39.238700 N,062 48.647900 W,3.3,87.2,A,DoorSpread,DoorMaster,4.250000,D,S,63629.000000
Thu Sep 12 08:41:10 2013,12-Sep-2013,114111,46 39.238800 N,062 48.646600 W,3.3,87.2,A,Primary,Headline,34.775510,D,S,38942.000000
Thu Sep 12 08:41:10 2013,12-Sep-2013,114112,46 39.238900 N,062 48.645300 W,3.3,86.8,A,Primary,Headline,34.775510,D,S,38942.000000
Thu Sep 12 08:41:10 2013,12-Sep-2013,114113,46 39.239000 N,062 48.644000 W,3.3,86.4,A,Primary,Headline,34.775510,D,S,38942.000000
Thu Sep 12 08:41:10 2013,12-Sep-2013,114114,46 39.239100 N,062 48.642700 W,3.3,86.3,A,Primary,Headline,34.775510,D,S,38942.000000
Thu Sep 12 08:41:10 2013,12-Sep-2013,114115,46 39.239100 N,062 48.641400 W,3.3,86.7,A,Primary,Headline,34.775510,D,S,38942.000000
Thu Sep 12 08:41:15 2013,12-Sep-2013,114116,46 39.239100 N,062 48.640200 W,3.3,87.1,A,Secondary,Headline,0.000000,E,S,45189.000000
Thu Sep 12 08:41:15 2013,12-Sep-2013,114117,46 39.239200 N,062 48.638900 W,3.3,87.1,A,Secondary,Headline,0.000000,E,S,45189.000000
Thu Sep 12 08:41:15 2013,12-Sep-2013,114118,46 39.239300 N,062 48.637600 W,3.3,86.7,A,Secondary,Headline,0.000000,E,S,45189.000000
Thu Sep 12 08:41:15 2013,12-Sep-2013,114119,46 39.239400 N,062 48.636300 W,3.2,86.2,A,Secondary,Headline,0.000000,E,S,45189.000000
Thu Sep 12 08:41:19 2013,12-Sep-2013,114120,46 39.239400 N,062 48.635100 W,3.2,86.2,A,DoorSpread,DoorMaster,6.600000,D,S,66233.000000
Thu Sep 12 08:41:21 2013,12-Sep-2013,114121,46 39.239500 N,062 48.634000 W,3.2,86.3,A,Primary,Headline,15.081633,D,S,40480.000000
Thu Sep 12 08:41:21 2013,12-Sep-2013,114122,46 39.239500 N,062 48.632600 W,3.2,86.6,A,Primary,Headline,15.081633,D,S,40480.000000
Thu Sep 12 08:41:21 2013,12-Sep-2013,114123,46 39.239600 N,062 48.631400 W,3.2,86.9,A,Primary,Headline,15.081633,D,S,40480.000000
