Ship Number,Trip Number,Tow Number
JEANMATHIEU,3,10
Comments
"ZONE 12 NORD BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,03-Aug-2013,212923,48 4.333000 N,062 55.886500 W,4.1,114.0,A,,,,,,
Sat Aug 03 18:29:34 2013,03-Aug-2013,212924,48 4.332700 N,062 55.884900 W,4.1,114.0,A,DoorSpread,DoorMaster,0.000000,E,S,78790.000000
Sat Aug 03 18:29:34 2013,03-Aug-2013,212925,48 4.332300 N,062 55.883300 W,4.1,113.1,A,DoorSpread,DoorMaster,0.000000,E,S,78790.000000
Sat Aug 03 18:29:34 2013,03-Aug-2013,212926,48 4.331900 N,062 55.881800 W,4.0,112.6,A,DoorSpread,DoorMaster,0.000000,E,S,78790.000000
Sat Aug 03 18:29:34 2013,03-Aug-2013,212927,48 4.331400 N,062 55.880200 W,4.0,113.0,A,DoorSpread,DoorMaster,0.000000,E,S,78790.000000
Sat Aug 03 18:29:34 2013,03-Aug-2013,212928,48 4.330900 N,062 55.878600 W,4.0,113.3,A,DoorSpread,DoorMaster,0.000000,E,S,78790.000000
Sat Aug 03 18:29:39 2013,03-Aug-2013,212929,48 4.330500 N,062 55.877100 W,4.0,113.2,A,DoorSpread,DoorMaster,0.000000,E,S,81421.000000
Sat Aug 03 18:29:39 2013,03-Aug-2013,212930,48 4.330100 N,062 55.875500 W,4.0,112.7,A,DoorSpread,DoorMaster,0.000000,E,S,81421.000000
Sat Aug 03 18:29:39 2013,03-Aug-2013,212931,48 4.329700 N,062 55.873900 W,4.0,111.9,A,DoorSpread,DoorMaster,0.000000,E,S,81421.000000
Sat Aug 03 18:29:39 2013,03-Aug-2013,212932,48 4.329300 N,062 55.872400 W,3.9,111.6,A,DoorSpread,DoorMaster,0.000000,E,S,81421.000000
Sat Aug 03 18:29:39 2013,03-Aug-2013,212933,48 4.328900 N,062 55.870900 W,3.9,111.9,A,DoorSpread,DoorMaster,0.000000,E,S,81421.000000
Sat Aug 03 18:29:44 2013,03-Aug-2013,212934,48 4.328500 N,062 55.869400 W,3.9,111.9,A,DoorSpread,DoorMaster,0.000000,E,S,76810.000000
Sat Aug 03 18:29:44 2013,03-Aug-2013,212935,48 4.328100 N,062 55.867900 W,3.9,111.6,A,DoorSpread,DoorMaster,0.000000,E,S,76810.000000
Sat Aug 03 18:29:44 2013,03-Aug-2013,212936,48 4.327800 N,062 55.866400 W,3.9,111.2,A,DoorSpread,DoorMaster,0.000000,E,S,76810.000000
Sat Aug 03 18:29:48 2013,03-Aug-2013,212937,48 4.327400 N,062 55.864900 W,3.8,110.8,A,Primary,Headline,1.979592,D,S,48168.000000
Sat Aug 03 18:29:48 2013,03-Aug-2013,212938,48 4.327100 N,062 55.863400 W,3.8,110.8,A,Primary,Headline,1.979592,D,S,48168.000000
Sat Aug 03 18:29:49 2013,03-Aug-2013,212939,48 4.326700 N,062 55.861900 W,3.8,111.0,A,DoorSpread,DoorMaster,0.000000,E,S,60020.000000
Sat Aug 03 18:29:49 2013,03-Aug-2013,212940,48 4.326300 N,062 55.860400 W,3.8,110.9,A,DoorSpread,DoorMaster,0.000000,E,S,60020.000000
Sat Aug 03 18:29:49 2013,03-Aug-2013,212941,48 4.326000 N,062 55.858900 W,3.8,110.4,A,DoorSpread,DoorMaster,0.000000,E,S,60020.000000
Sat Aug 03 18:29:49 2013,03-Aug-2013,212942,48 4.325700 N,062 55.857400 W,3.8,110.2,A,DoorSpread,DoorMaster,0.000000,E,S,60020.000000
Sat Aug 03 18:29:53 2013,03-Aug-2013,212943,48 4.325300 N,062 55.855900 W,3.8,110.3,A,Primary,Headline,3.897959,D,S,52143.000000
Sat Aug 03 18:29:54 2013,03-Aug-2013,212944,48 4.325000 N,062 55.854400 W,3.8,110.1,A,DoorSpread,DoorMaster,3.100000,D,S,80394.000000
Sat Aug 03 18:29:54 2013,03-Aug-2013,212945,48 4.324600 N,062 55.852900 W,3.8,109.9,A,DoorSpread,DoorMaster,3.100000,D,S,80394.000000
Sat Aug 03 18:29:54 2013,03-Aug-2013,212946,48 4.324300 N,062 55.851500 W,3.8,109.8,A,DoorSpread,DoorMaster,3.100000,D,S,80394.000000
Sat Aug 03 18:29:54 2013,03-Aug-2013,212947,48 4.323900 N,062 55.850100 W,3.7,110.1,A,DoorSpread,DoorMaster,3.100000,D,S,80394.000000
Sat Aug 03 18:29:58 2013,03-Aug-2013,212948,48 4.323600 N,062 55.848700 W,3.7,110.3,A,Primary,Headline,2.346939,D,S,82461.000000
Sat Aug 03 18:29:59 2013,03-Aug-2013,212949,48 4.323300 N,062 55.847300 W,3.7,109.8,A,Depth,Depth,1.481481,D,S,32166.000000
Sat Aug 03 18:30:00 2013,03-Aug-2013,212950,48 4.323100 N,062 55.846000 W,3.6,109.3,A,DoorSpread,DoorMaster,2.500000,D,S,98290.000000
Sat Aug 03 18:30:00 2013,03-Aug-2013,212951,48 4.322800 N,062 55.844700 W,3.5,109.6,A,DoorSpread,DoorMaster,2.500000,D,S,98290.000000
Sat Aug 03 18:30:00 2013,03-Aug-2013,212952,48 4.322500 N,062 55.843500 W,3.5,110.1,A,DoorSpread,DoorMaster,2.500000,D,S,98290.000000
