Ship Number,Trip Number,Tow Number
JeanMathieu,1,12
Comments
"Zone 12 est Banc des Orphelin"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Tue Jul 09 20:17:31 2013,09-Jul-2013,231732,48 15.577700 N,062 47.158000 W,4.1,353.5,A,DoorSpread,DoorMaster,0.000000,E,S,59156.000000
Tue Jul 09 20:17:31 2013,09-Jul-2013,231733,48 15.578700 N,062 47.158100 W,4.1,353.5,A,DoorSpread,DoorMaster,0.000000,E,S,59156.000000
Tue Jul 09 20:17:31 2013,09-Jul-2013,231734,48 15.579700 N,062 47.158300 W,4.0,353.4,A,DoorSpread,DoorMaster,0.000000,E,S,59156.000000
Tue Jul 09 20:17:31 2013,09-Jul-2013,231735,48 15.580700 N,062 47.158400 W,4.0,353.4,A,DoorSpread,DoorMaster,0.000000,E,S,59156.000000
Tue Jul 09 20:17:36 2013,09-Jul-2013,231736,48 15.581700 N,062 47.158600 W,3.9,353.4,A,DoorSpread,DoorMaster,0.375000,D,S,17819.000000
Tue Jul 09 20:17:36 2013,09-Jul-2013,231737,48 15.582800 N,062 47.158700 W,3.9,353.2,A,DoorSpread,DoorMaster,0.375000,D,S,17819.000000
Tue Jul 09 20:17:36 2013,09-Jul-2013,231738,48 15.583800 N,062 47.158900 W,3.9,353.1,A,DoorSpread,DoorMaster,0.375000,D,S,17819.000000
Tue Jul 09 20:17:36 2013,09-Jul-2013,231739,48 15.584800 N,062 47.159100 W,3.8,353.0,A,DoorSpread,DoorMaster,0.375000,D,S,17819.000000
Tue Jul 09 20:17:36 2013,09-Jul-2013,231740,48 15.585800 N,062 47.159200 W,3.8,352.7,A,DoorSpread,DoorMaster,0.375000,D,S,17819.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231741,48 15.586800 N,062 47.159500 W,3.8,352.4,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231742,48 15.587700 N,062 47.159700 W,3.7,352.1,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231743,48 15.588600 N,062 47.159800 W,3.7,352.0,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231744,48 15.589500 N,062 47.160100 W,3.6,352.0,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231745,48 15.590600 N,062 47.160200 W,3.6,351.8,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:41 2013,09-Jul-2013,231746,48 15.591400 N,062 47.160400 W,3.6,351.6,A,DoorSpread,DoorMaster,3.425000,D,S,50333.000000
Tue Jul 09 20:17:46 2013,09-Jul-2013,231747,48 15.592400 N,062 47.160600 W,3.5,351.4,A,DoorSpread,DoorMaster,5.900000,D,S,30900.000000
Tue Jul 09 20:17:46 2013,09-Jul-2013,231748,48 15.593200 N,062 47.160900 W,3.5,351.5,A,DoorSpread,DoorMaster,5.900000,D,S,30900.000000
Tue Jul 09 20:17:46 2013,09-Jul-2013,231749,48 15.594200 N,062 47.161200 W,3.5,351.6,A,DoorSpread,DoorMaster,5.900000,D,S,30900.000000
Tue Jul 09 20:17:46 2013,09-Jul-2013,231750,48 15.595100 N,062 47.161400 W,3.4,351.4,A,DoorSpread,DoorMaster,5.900000,D,S,30900.000000
