Ship Number,Trip Number,Tow Number
JEANMATHIEU,5,8
Comments
"ZONE 12 OUEST CAP AUX MEULES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Tue Aug 27 13:52:54 2013,27-Aug-2013,165255,47 28.781300 N,062 34.960300 W,3.1,26.7,A,Primary,Headline,1.693878,D,S,33271.000000
Tue Aug 27 13:52:54 2013,27-Aug-2013,165256,47 28.782400 N,062 34.959800 W,3.1,24.5,A,Primary,Headline,1.693878,D,S,33271.000000
Tue Aug 27 13:52:54 2013,27-Aug-2013,165257,47 28.783300 N,062 34.959500 W,3.2,22.4,A,Primary,Headline,1.693878,D,S,33271.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165258,47 28.784200 N,062 34.959200 W,3.2,20.4,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165259,47 28.785100 N,062 34.958900 W,3.2,18.4,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165300,47 28.786000 N,062 34.958700 W,3.2,16.9,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165301,47 28.787000 N,062 34.958600 W,3.3,15.3,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165302,47 28.788000 N,062 34.958500 W,3.3,13.2,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:52:58 2013,27-Aug-2013,165303,47 28.788900 N,062 34.958500 W,3.3,10.9,A,Primary,Headline,3.040816,D,S,49948.000000
Tue Aug 27 13:53:03 2013,27-Aug-2013,165304,47 28.789900 N,062 34.958600 W,3.3,8.9,A,Primary,Headline,15.163265,D,S,63111.000000
Tue Aug 27 13:53:03 2013,27-Aug-2013,165305,47 28.791000 N,062 34.958500 W,3.3,7.7,A,Primary,Headline,15.163265,D,S,63111.000000
Tue Aug 27 13:53:05 2013,27-Aug-2013,165306,47 28.791900 N,062 34.958400 W,3.4,6.8,A,DoorSpread,DoorMaster,2.375000,D,S,37239.000000
Tue Aug 27 13:53:05 2013,27-Aug-2013,165307,47 28.792900 N,062 34.958400 W,3.4,5.8,A,DoorSpread,DoorMaster,2.375000,D,S,37239.000000
Tue Aug 27 13:53:05 2013,27-Aug-2013,165308,47 28.793900 N,062 34.958500 W,3.4,4.7,A,DoorSpread,DoorMaster,2.375000,D,S,37239.000000
Tue Aug 27 13:53:05 2013,27-Aug-2013,165309,47 28.794900 N,062 34.958600 W,3.4,3.8,A,DoorSpread,DoorMaster,2.375000,D,S,37239.000000
Tue Aug 27 13:53:05 2013,27-Aug-2013,165310,47 28.795900 N,062 34.958700 W,3.4,3.0,A,DoorSpread,DoorMaster,2.375000,D,S,37239.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165311,47 28.796900 N,062 34.958600 W,3.5,2.8,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165312,47 28.798000 N,062 34.958500 W,3.5,2.8,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165313,47 28.799000 N,062 34.958500 W,3.5,2.7,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165314,47 28.800000 N,062 34.958400 W,3.5,2.6,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165315,47 28.801100 N,062 34.958200 W,3.5,2.8,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165316,47 28.802100 N,062 34.958200 W,3.6,3.2,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165317,47 28.803100 N,062 34.957900 W,3.6,3.6,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165318,47 28.804100 N,062 34.957700 W,3.6,4.2,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165319,47 28.805100 N,062 34.957400 W,3.6,5.2,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:10 2013,27-Aug-2013,165320,47 28.806200 N,062 34.957000 W,3.7,6.5,A,DoorSpread,DoorMaster,4.350000,D,S,42681.000000
Tue Aug 27 13:53:21 2013,27-Aug-2013,165321,47 28.807200 N,062 34.956600 W,3.7,7.8,A,DoorSpread,DoorMaster,1.975000,D,S,63892.000000
