Ship Number,Trip Number,Tow Number
JEANMATHIEU,5,2
Comments
"EST DU BANC BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Aug 31 15:01:53 2013,31-Aug-2013,180152,47 38.471600 N,062 8.270400 W,3.9,89.8,A,DoorSpread,DoorMaster,0.000000,E,S,266512.000000
Sat Aug 31 15:01:53 2013,31-Aug-2013,180153,47 38.471500 N,062 8.268900 W,3.8,90.5,A,DoorSpread,DoorMaster,0.000000,E,S,266512.000000
Sat Aug 31 15:01:53 2013,31-Aug-2013,180154,47 38.471400 N,062 8.267400 W,3.8,90.4,A,DoorSpread,DoorMaster,0.000000,E,S,266512.000000
Sat Aug 31 15:01:53 2013,31-Aug-2013,180155,47 38.471400 N,062 8.266000 W,3.7,90.0,A,DoorSpread,DoorMaster,0.000000,E,S,266512.000000
Sat Aug 31 15:01:57 2013,31-Aug-2013,180156,47 38.471300 N,062 8.264700 W,3.6,90.5,A,DoorSpread,DoorMaster,1.350000,D,S,130053.000000
Sat Aug 31 15:01:57 2013,31-Aug-2013,180157,47 38.471200 N,062 8.263200 W,3.6,91.8,A,DoorSpread,DoorMaster,1.350000,D,S,130053.000000
Sat Aug 31 15:01:57 2013,31-Aug-2013,180158,47 38.471200 N,062 8.262000 W,3.5,92.1,A,DoorSpread,DoorMaster,1.350000,D,S,130053.000000
Sat Aug 31 15:01:57 2013,31-Aug-2013,180159,47 38.471300 N,062 8.260800 W,3.4,91.4,A,DoorSpread,DoorMaster,1.350000,D,S,130053.000000
Sat Aug 31 15:01:57 2013,31-Aug-2013,180200,47 38.471300 N,062 8.259500 W,3.4,91.1,A,DoorSpread,DoorMaster,1.350000,D,S,130053.000000
Sat Aug 31 15:02:02 2013,31-Aug-2013,180201,47 38.471400 N,062 8.258300 W,3.3,91.1,A,DoorSpread,DoorMaster,1.775000,D,S,121946.000000
Sat Aug 31 15:02:02 2013,31-Aug-2013,180202,47 38.471300 N,062 8.257000 W,3.2,91.6,A,DoorSpread,DoorMaster,1.775000,D,S,121946.000000
Sat Aug 31 15:02:02 2013,31-Aug-2013,180203,47 38.471300 N,062 8.255900 W,3.2,92.0,A,DoorSpread,DoorMaster,1.775000,D,S,121946.000000
Sat Aug 31 15:02:02 2013,31-Aug-2013,180204,47 38.471300 N,062 8.254700 W,3.1,92.0,A,DoorSpread,DoorMaster,1.775000,D,S,121946.000000
Sat Aug 31 15:02:02 2013,31-Aug-2013,180205,47 38.471300 N,062 8.253500 W,3.1,91.5,A,DoorSpread,DoorMaster,1.775000,D,S,121946.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180206,47 38.471400 N,062 8.252400 W,3.0,90.9,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180207,47 38.471400 N,062 8.251400 W,2.9,91.1,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180208,47 38.471300 N,062 8.250300 W,2.9,92.2,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180209,47 38.471300 N,062 8.249100 W,2.9,92.6,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180210,47 38.471200 N,062 8.248100 W,2.8,92.2,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180211,47 38.471200 N,062 8.247200 W,2.7,91.5,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180212,47 38.471300 N,062 8.246200 W,2.7,90.9,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180213,47 38.471300 N,062 8.245000 W,2.7,91.6,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180214,47 38.471200 N,062 8.244000 W,2.7,93.1,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180215,47 38.471100 N,062 8.243000 W,2.6,93.0,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:07 2013,31-Aug-2013,180216,47 38.471200 N,062 8.242100 W,2.5,91.9,A,DoorSpread,DoorMaster,1.725000,D,S,98872.000000
Sat Aug 31 15:02:18 2013,31-Aug-2013,180217,47 38.471200 N,062 8.241000 W,2.5,91.5,A,DoorSpread,DoorMaster,1.650000,D,S,89950.000000
Sat Aug 31 15:02:18 2013,31-Aug-2013,180218,47 38.471200 N,062 8.240000 W,2.5,92.3,A,DoorSpread,DoorMaster,1.650000,D,S,89950.000000
Sat Aug 31 15:02:18 2013,31-Aug-2013,180219,47 38.471200 N,062 8.239100 W,2.4,92.9,A,DoorSpread,DoorMaster,1.650000,D,S,89950.000000
Sat Aug 31 15:02:18 2013,31-Aug-2013,180220,47 38.471300 N,062 8.238000 W,2.4,92.6,A,DoorSpread,DoorMaster,1.650000,D,S,89950.000000
Sat Aug 31 15:02:18 2013,31-Aug-2013,180221,47 38.471300 N,062 8.237100 W,2.4,92.2,A,DoorSpread,DoorMaster,1.650000,D,S,89950.000000
Sat Aug 31 15:02:23 2013,31-Aug-2013,180222,47 38.471300 N,062 8.236100 W,2.4,92.4,A,DoorSpread,DoorMaster,2.175000,D,S,152201.000000
Sat Aug 31 15:02:24 2013,31-Aug-2013,180223,47 38.471300 N,062 8.235200 W,2.3,92.9,A,Depth,Depth,6.666667,D,S,314312.000000
Sat Aug 31 15:02:24 2013,31-Aug-2013,180224,47 38.471300 N,062 8.234100 W,2.4,92.6,A,Depth,Depth,6.666667,D,S,314312.000000
Sat Aug 31 15:02:24 2013,31-Aug-2013,180225,47 38.471300 N,062 8.233100 W,2.4,92.1,A,Depth,Depth,6.666667,D,S,314312.000000
Sat Aug 31 15:02:24 2013,31-Aug-2013,180226,47 38.471300 N,062 8.232300 W,2.3,92.0,A,Depth,Depth,6.666667,D,S,314312.000000
