Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,10
Comments
"ZONE 12 CANAL DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,12-Sep-2013,195433,46 50.655800 N,062 0.902400 W,4.2,97.7,A,,,,,,
,12-Sep-2013,195434,46 50.655500 N,062 0.900800 W,4.1,97.8,A,,,,,,
,12-Sep-2013,195435,46 50.655300 N,062 0.899200 W,4.1,97.7,A,,,,,,
,12-Sep-2013,195436,46 50.655100 N,062 0.897600 W,4.0,97.7,A,,,,,,
,12-Sep-2013,195437,46 50.654800 N,062 0.896000 W,4.0,98.0,A,,,,,,
Thu Sep 12 16:54:38 2013,12-Sep-2013,195438,46 50.654600 N,062 0.894400 W,3.9,98.3,A,Primary,Headline,47.897959,D,S,21235.000000
Thu Sep 12 16:54:38 2013,12-Sep-2013,195439,46 50.654300 N,062 0.892900 W,3.9,98.1,A,Primary,Headline,47.897959,D,S,21235.000000
Thu Sep 12 16:54:38 2013,12-Sep-2013,195440,46 50.654200 N,062 0.891400 W,3.8,97.9,A,Primary,Headline,47.897959,D,S,21235.000000
Thu Sep 12 16:54:38 2013,12-Sep-2013,195441,46 50.653900 N,062 0.889800 W,3.8,98.0,A,Primary,Headline,47.897959,D,S,21235.000000
Thu Sep 12 16:54:38 2013,12-Sep-2013,195442,46 50.653700 N,062 0.888400 W,3.7,98.3,A,Primary,Headline,47.897959,D,S,21235.000000
Thu Sep 12 16:54:43 2013,12-Sep-2013,195443,46 50.653500 N,062 0.886900 W,3.6,98.2,A,DoorSpread,DoorMaster,2.125000,D,S,67416.000000
Thu Sep 12 16:54:43 2013,12-Sep-2013,195444,46 50.653300 N,062 0.885600 W,3.5,98.0,A,DoorSpread,DoorMaster,2.125000,D,S,67416.000000
Thu Sep 12 16:54:43 2013,12-Sep-2013,195445,46 50.653100 N,062 0.884300 W,3.5,98.2,A,DoorSpread,DoorMaster,2.125000,D,S,67416.000000
Thu Sep 12 16:54:43 2013,12-Sep-2013,195446,46 50.652900 N,062 0.883200 W,3.4,98.4,A,DoorSpread,DoorMaster,2.125000,D,S,67416.000000
