Ship Number,Trip Number,Tow Number
JEANMATHIEU,5,2
Comments
"OUEST DE LA GROSSE ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Sep 01 07:49:18 2013,01-Sep-2013,104919,47 45.866600 N,061 51.903800 W,4.0,7.9,A,DoorSpread,DoorMaster,0.000000,D,S,193529.000000
Sun Sep 01 07:49:18 2013,01-Sep-2013,104920,47 45.867700 N,061 51.903500 W,4.0,7.9,A,DoorSpread,DoorMaster,0.000000,D,S,193529.000000
Sun Sep 01 07:49:18 2013,01-Sep-2013,104921,47 45.868800 N,061 51.903300 W,4.0,7.4,A,DoorSpread,DoorMaster,0.000000,D,S,193529.000000
Sun Sep 01 07:49:18 2013,01-Sep-2013,104922,47 45.869800 N,061 51.903100 W,3.9,7.3,A,DoorSpread,DoorMaster,0.000000,D,S,193529.000000
Sun Sep 01 07:49:18 2013,01-Sep-2013,104923,47 45.870800 N,061 51.902800 W,3.9,7.6,A,DoorSpread,DoorMaster,0.000000,D,S,193529.000000
Sun Sep 01 07:49:23 2013,01-Sep-2013,104924,47 45.871800 N,061 51.902600 W,3.9,8.0,A,DoorSpread,DoorMaster,3.650000,D,S,127226.000000
Sun Sep 01 07:49:23 2013,01-Sep-2013,104925,47 45.872800 N,061 51.902500 W,3.8,8.0,A,DoorSpread,DoorMaster,3.650000,D,S,127226.000000
Sun Sep 01 07:49:23 2013,01-Sep-2013,104926,47 45.873800 N,061 51.902200 W,3.8,7.6,A,DoorSpread,DoorMaster,3.650000,D,S,127226.000000
Sun Sep 01 07:49:23 2013,01-Sep-2013,104927,47 45.874800 N,061 51.901900 W,3.8,7.7,A,DoorSpread,DoorMaster,3.650000,D,S,127226.000000
Sun Sep 01 07:49:23 2013,01-Sep-2013,104928,47 45.875800 N,061 51.901700 W,3.7,7.9,A,DoorSpread,DoorMaster,3.650000,D,S,127226.000000
Sun Sep 01 07:49:28 2013,01-Sep-2013,104929,47 45.876700 N,061 51.901500 W,3.7,8.0,A,DoorSpread,DoorMaster,2.425000,D,S,132179.000000
Sun Sep 01 07:49:28 2013,01-Sep-2013,104930,47 45.877700 N,061 51.901500 W,3.7,7.7,A,DoorSpread,DoorMaster,2.425000,D,S,132179.000000
Sun Sep 01 07:49:28 2013,01-Sep-2013,104931,47 45.878700 N,061 51.901300 W,3.6,7.3,A,DoorSpread,DoorMaster,2.425000,D,S,132179.000000
Sun Sep 01 07:49:28 2013,01-Sep-2013,104932,47 45.879600 N,061 51.901200 W,3.6,7.1,A,DoorSpread,DoorMaster,2.425000,D,S,132179.000000
Sun Sep 01 07:49:28 2013,01-Sep-2013,104933,47 45.880600 N,061 51.901100 W,3.6,7.3,A,DoorSpread,DoorMaster,2.425000,D,S,132179.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104934,47 45.881500 N,061 51.900900 W,3.6,7.4,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104935,47 45.882400 N,061 51.900900 W,3.5,6.8,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104936,47 45.883400 N,061 51.900800 W,3.5,6.2,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104937,47 45.884300 N,061 51.900700 W,3.5,6.3,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104938,47 45.885200 N,061 51.900400 W,3.5,7.0,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:33 2013,01-Sep-2013,104939,47 45.886100 N,061 51.900100 W,3.5,6.9,A,DoorSpread,DoorMaster,0.000000,E,S,160911.000000
Sun Sep 01 07:49:38 2013,01-Sep-2013,104940,47 45.887100 N,061 51.900100 W,3.5,6.6,A,DoorSpread,DoorMaster,1.275000,D,S,271962.000000
Sun Sep 01 07:49:38 2013,01-Sep-2013,104941,47 45.888000 N,061 51.900000 W,3.5,6.4,A,DoorSpread,DoorMaster,1.275000,D,S,271962.000000
Sun Sep 01 07:49:38 2013,01-Sep-2013,104942,47 45.889000 N,061 51.899700 W,3.5,6.8,A,DoorSpread,DoorMaster,1.275000,D,S,271962.000000
Sun Sep 01 07:49:38 2013,01-Sep-2013,104943,47 45.889900 N,061 51.899600 W,3.4,6.9,A,DoorSpread,DoorMaster,1.275000,D,S,271962.000000
Sun Sep 01 07:49:38 2013,01-Sep-2013,104944,47 45.890800 N,061 51.899500 W,3.4,6.5,A,DoorSpread,DoorMaster,1.275000,D,S,271962.000000
Sun Sep 01 07:49:44 2013,01-Sep-2013,104945,47 45.891800 N,061 51.899500 W,3.5,6.0,A,DoorSpread,DoorMaster,2.650000,D,S,184064.000000
Sun Sep 01 07:49:44 2013,01-Sep-2013,104946,47 45.892700 N,061 51.899200 W,3.4,6.0,A,DoorSpread,DoorMaster,2.650000,D,S,184064.000000
