Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,6
Comments
"ZONE 12 MABOU"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Sep 28 13:24:56 2013,28-Sep-2013,162458,46 6.540000 N,061 38.610700 W,3.4,96.0,A,Secondary,Headline,0.000000,E,S,79019.000000
Sat Sep 28 13:24:58 2013,28-Sep-2013,162459,46 6.539900 N,061 38.609200 W,3.4,95.9,A,DoorSpread,DoorMaster,2.950000,D,S,62841.000000
Sat Sep 28 13:24:58 2013,28-Sep-2013,162500,46 6.539800 N,061 38.607900 W,3.4,95.5,A,DoorSpread,DoorMaster,2.950000,D,S,62841.000000
Sat Sep 28 13:25:00 2013,28-Sep-2013,162501,46 6.539800 N,061 38.606500 W,3.4,95.0,A,Primary,Headline,4.918367,D,S,11752.000000
Sat Sep 28 13:25:00 2013,28-Sep-2013,162502,46 6.539700 N,061 38.605100 W,3.4,94.6,A,Primary,Headline,4.918367,D,S,11752.000000
Sat Sep 28 13:25:00 2013,28-Sep-2013,162503,46 6.539500 N,061 38.603700 W,3.4,95.2,A,Primary,Headline,4.918367,D,S,11752.000000
Sat Sep 28 13:25:03 2013,28-Sep-2013,162504,46 6.539300 N,061 38.602400 W,3.3,96.3,A,DoorSpread,DoorMaster,7.550000,D,S,55997.000000
Sat Sep 28 13:25:03 2013,28-Sep-2013,162505,46 6.539100 N,061 38.601000 W,3.3,96.5,A,DoorSpread,DoorMaster,7.550000,D,S,55997.000000
Sat Sep 28 13:25:05 2013,28-Sep-2013,162506,46 6.539100 N,061 38.599700 W,3.3,95.3,A,Secondary,Headline,0.000000,E,S,95995.000000
Sat Sep 28 13:25:05 2013,28-Sep-2013,162507,46 6.539100 N,061 38.598500 W,3.3,94.5,A,Secondary,Headline,0.000000,E,S,95995.000000
Sat Sep 28 13:25:05 2013,28-Sep-2013,162508,46 6.538800 N,061 38.597200 W,3.3,95.6,A,Secondary,Headline,0.000000,E,S,95995.000000
Sat Sep 28 13:25:08 2013,28-Sep-2013,162509,46 6.538600 N,061 38.596000 W,3.3,97.5,A,DoorSpread,DoorMaster,2.800000,D,S,57635.000000
Sat Sep 28 13:25:08 2013,28-Sep-2013,162510,46 6.538400 N,061 38.594700 W,3.3,98.0,A,DoorSpread,DoorMaster,2.800000,D,S,57635.000000
Sat Sep 28 13:25:10 2013,28-Sep-2013,162511,46 6.538400 N,061 38.593300 W,3.3,96.8,A,Primary,Headline,6.489796,D,S,48586.000000
Sat Sep 28 13:25:10 2013,28-Sep-2013,162512,46 6.538300 N,061 38.592100 W,3.3,95.5,A,Primary,Headline,6.489796,D,S,48586.000000
Sat Sep 28 13:25:10 2013,28-Sep-2013,162513,46 6.538100 N,061 38.590800 W,3.3,95.7,A,Primary,Headline,6.489796,D,S,48586.000000
Sat Sep 28 13:25:13 2013,28-Sep-2013,162514,46 6.537900 N,061 38.589600 W,3.3,97.2,A,DoorSpread,DoorMaster,2.525000,D,S,44935.000000
Sat Sep 28 13:25:13 2013,28-Sep-2013,162515,46 6.537500 N,061 38.588200 W,3.3,98.1,A,DoorSpread,DoorMaster,2.525000,D,S,44935.000000
Sat Sep 28 13:25:15 2013,28-Sep-2013,162516,46 6.537500 N,061 38.586900 W,3.3,97.6,A,Secondary,Headline,0.000000,E,S,93767.000000
Sat Sep 28 13:25:15 2013,28-Sep-2013,162517,46 6.537500 N,061 38.585700 W,3.3,96.7,A,Secondary,Headline,0.000000,E,S,93767.000000
Sat Sep 28 13:25:15 2013,28-Sep-2013,162518,46 6.537400 N,061 38.584500 W,3.2,96.5,A,Secondary,Headline,0.000000,E,S,93767.000000
Sat Sep 28 13:25:15 2013,28-Sep-2013,162519,46 6.537300 N,061 38.583200 W,3.2,96.8,A,Secondary,Headline,0.000000,E,S,93767.000000
Sat Sep 28 13:25:18 2013,28-Sep-2013,162520,46 6.537200 N,061 38.581900 W,3.2,97.0,A,DoorSpread,DoorMaster,4.775000,D,S,126426.000000
Sat Sep 28 13:25:20 2013,28-Sep-2013,162521,46 6.537000 N,061 38.580600 W,3.2,97.4,A,Primary,Headline,10.693878,D,S,53860.000000
Sat Sep 28 13:25:20 2013,28-Sep-2013,162522,46 6.536900 N,061 38.579400 W,3.2,97.8,A,Primary,Headline,10.693878,D,S,53860.000000
Sat Sep 28 13:25:21 2013,28-Sep-2013,162523,46 6.536800 N,061 38.578000 W,3.2,97.2,A,Depth,Depth,7.777778,D,S,23614.000000
Sat Sep 28 13:25:21 2013,28-Sep-2013,162524,46 6.536800 N,061 38.576700 W,3.2,95.8,A,Depth,Depth,7.777778,D,S,23614.000000
Sat Sep 28 13:25:24 2013,28-Sep-2013,162525,46 6.536700 N,061 38.575500 W,3.2,95.8,A,DoorSpread,DoorMaster,1.925000,D,S,112297.000000
Sat Sep 28 13:25:25 2013,28-Sep-2013,162526,46 6.536500 N,061 38.574200 W,3.2,96.9,A,Secondary,Headline,0.000000,E,S,91595.000000
Sat Sep 28 13:25:25 2013,28-Sep-2013,162527,46 6.536400 N,061 38.572900 W,3.2,97.3,A,Secondary,Headline,0.000000,E,S,91595.000000
Sat Sep 28 13:25:25 2013,28-Sep-2013,162528,46 6.536400 N,061 38.571600 W,3.2,96.6,A,Secondary,Headline,0.000000,E,S,91595.000000
Sat Sep 28 13:25:25 2013,28-Sep-2013,162529,46 6.536300 N,061 38.570400 W,3.2,96.3,A,Secondary,Headline,0.000000,E,S,91595.000000
Sat Sep 28 13:25:29 2013,28-Sep-2013,162530,46 6.536200 N,061 38.569200 W,3.2,96.7,A,DoorSpread,DoorMaster,0.000000,E,S,148700.000000
Sat Sep 28 13:25:30 2013,28-Sep-2013,162531,46 6.536000 N,061 38.568000 W,3.2,96.8,A,Primary,Headline,5.795918,D,S,37235.000000
Sat Sep 28 13:25:30 2013,28-Sep-2013,162532,46 6.536000 N,061 38.566700 W,3.2,96.5,A,Primary,Headline,5.795918,D,S,37235.000000
Sat Sep 28 13:25:30 2013,28-Sep-2013,162533,46 6.535800 N,061 38.565400 W,3.2,96.7,A,Primary,Headline,5.795918,D,S,37235.000000
Sat Sep 28 13:25:30 2013,28-Sep-2013,162534,46 6.535600 N,061 38.564300 W,3.2,97.5,A,Primary,Headline,5.795918,D,S,37235.000000
Sat Sep 28 13:25:34 2013,28-Sep-2013,162535,46 6.535500 N,061 38.563100 W,3.2,97.5,A,DoorSpread,DoorMaster,0.000000,E,S,74145.000000
Sat Sep 28 13:25:35 2013,28-Sep-2013,162536,46 6.535500 N,061 38.561800 W,3.2,97.1,A,Secondary,Headline,0.000000,E,S,19606.000000
Sat Sep 28 13:25:35 2013,28-Sep-2013,162537,46 6.535300 N,061 38.560800 W,3.2,97.2,A,Depth,Depth,1.851852,D,S,43517.000000
Sat Sep 28 13:25:35 2013,28-Sep-2013,162538,46 6.535200 N,061 38.559500 W,3.1,97.6,A,Depth,Depth,1.851852,D,S,43517.000000
Sat Sep 28 13:25:35 2013,28-Sep-2013,162539,46 6.535100 N,061 38.558300 W,3.1,97.7,A,Depth,Depth,1.851852,D,S,43517.000000
Sat Sep 28 13:25:39 2013,28-Sep-2013,162540,46 6.534900 N,061 38.557000 W,3.1,97.6,A,DoorSpread,DoorMaster,0.000000,E,S,96502.000000
Sat Sep 28 13:25:40 2013,28-Sep-2013,162541,46 6.534800 N,061 38.555800 W,3.1,97.7,A,Primary,Headline,5.734694,D,S,72693.000000
Sat Sep 28 13:25:40 2013,28-Sep-2013,162542,46 6.534800 N,061 38.554500 W,3.1,97.6,A,Primary,Headline,5.734694,D,S,72693.000000
Sat Sep 28 13:25:40 2013,28-Sep-2013,162543,46 6.534700 N,061 38.553300 W,3.1,97.4,A,Primary,Headline,5.734694,D,S,72693.000000
Sat Sep 28 13:25:42 2013,28-Sep-2013,162544,46 6.534500 N,061 38.551900 W,3.1,97.6,A,Depth,Depth,29.629630,D,S,15785.000000
Sat Sep 28 13:25:44 2013,28-Sep-2013,162545,46 6.534400 N,061 38.550600 W,3.2,98.2,A,DoorSpread,DoorMaster,0.000000,E,S,66255.000000
Sat Sep 28 13:25:45 2013,28-Sep-2013,162546,46 6.534200 N,061 38.549300 W,3.1,98.3,A,Secondary,Headline,0.000000,E,S,39291.000000
Sat Sep 28 13:25:45 2013,28-Sep-2013,162547,46 6.534100 N,061 38.547900 W,3.2,98.3,A,Secondary,Headline,0.000000,E,S,39291.000000
Sat Sep 28 13:25:45 2013,28-Sep-2013,162548,46 6.534000 N,061 38.546600 W,3.2,98.2,A,Secondary,Headline,0.000000,E,S,39291.000000
Sat Sep 28 13:25:45 2013,28-Sep-2013,162549,46 6.533900 N,061 38.545100 W,3.2,97.8,A,Secondary,Headline,0.000000,E,S,39291.000000
Sat Sep 28 13:25:49 2013,28-Sep-2013,162550,46 6.533800 N,061 38.543800 W,3.2,97.7,A,DoorSpread,DoorMaster,0.000000,E,S,110374.000000
Sat Sep 28 13:25:50 2013,28-Sep-2013,162551,46 6.533700 N,061 38.542500 W,3.2,98.1,A,Primary,Headline,9.918367,D,S,44575.000000
Sat Sep 28 13:25:50 2013,28-Sep-2013,162552,46 6.533500 N,061 38.541200 W,3.2,98.7,A,Primary,Headline,9.918367,D,S,44575.000000
Sat Sep 28 13:25:50 2013,28-Sep-2013,162553,46 6.533400 N,061 38.539800 W,3.2,98.4,A,Primary,Headline,9.918367,D,S,44575.000000
Sat Sep 28 13:25:50 2013,28-Sep-2013,162554,46 6.533300 N,061 38.538400 W,3.2,97.9,A,Primary,Headline,9.918367,D,S,44575.000000
Sat Sep 28 13:25:54 2013,28-Sep-2013,162555,46 6.533200 N,061 38.537200 W,3.2,97.9,A,DoorSpread,DoorMaster,0.000000,E,S,81137.000000
Sat Sep 28 13:25:55 2013,28-Sep-2013,162556,46 6.533100 N,061 38.535900 W,3.2,98.2,A,Secondary,Headline,0.000000,E,S,84672.000000
Sat Sep 28 13:25:55 2013,28-Sep-2013,162557,46 6.533000 N,061 38.534600 W,3.2,98.4,A,Secondary,Headline,0.000000,E,S,84672.000000
Sat Sep 28 13:25:55 2013,28-Sep-2013,162558,46 6.532800 N,061 38.533200 W,3.2,98.5,A,Secondary,Headline,0.000000,E,S,84672.000000
Sat Sep 28 13:25:55 2013,28-Sep-2013,162559,46 6.532700 N,061 38.532000 W,3.2,98.5,A,Secondary,Headline,0.000000,E,S,84672.000000
Sat Sep 28 13:25:59 2013,28-Sep-2013,162600,46 6.532600 N,061 38.530900 W,3.2,98.1,A,DoorSpread,DoorMaster,0.000000,E,S,72935.000000
Sat Sep 28 13:26:00 2013,28-Sep-2013,162601,46 6.532500 N,061 38.529600 W,3.2,97.7,A,Primary,Headline,11.081633,D,S,74894.000000
Sat Sep 28 13:26:00 2013,28-Sep-2013,162602,46 6.532300 N,061 38.528300 W,3.2,97.7,A,Primary,Headline,11.081633,D,S,74894.000000
Sat Sep 28 13:26:00 2013,28-Sep-2013,162603,46 6.532000 N,061 38.527000 W,3.2,98.5,A,Primary,Headline,11.081633,D,S,74894.000000
Sat Sep 28 13:26:00 2013,28-Sep-2013,162604,46 6.531700 N,061 38.525800 W,3.2,99.3,A,Primary,Headline,11.081633,D,S,74894.000000
Sat Sep 28 13:26:04 2013,28-Sep-2013,162605,46 6.531600 N,061 38.524600 W,3.1,99.1,A,DoorSpread,DoorMaster,0.000000,E,S,100647.000000
Sat Sep 28 13:26:05 2013,28-Sep-2013,162606,46 6.531600 N,061 38.523200 W,3.2,98.5,A,Secondary,Headline,0.000000,E,S,95137.000000
Sat Sep 28 13:26:05 2013,28-Sep-2013,162607,46 6.531500 N,061 38.522000 W,3.2,97.8,A,Secondary,Headline,0.000000,E,S,95137.000000
Sat Sep 28 13:26:05 2013,28-Sep-2013,162608,46 6.531400 N,061 38.520700 W,3.2,98.1,A,Secondary,Headline,0.000000,E,S,95137.000000
Sat Sep 28 13:26:05 2013,28-Sep-2013,162609,46 6.531200 N,061 38.519500 W,3.2,99.1,A,Secondary,Headline,0.000000,E,S,95137.000000
Sat Sep 28 13:26:09 2013,28-Sep-2013,162610,46 6.531000 N,061 38.518300 W,3.2,100.2,A,DoorSpread,DoorMaster,0.000000,E,S,83158.000000
Sat Sep 28 13:26:10 2013,28-Sep-2013,162611,46 6.530900 N,061 38.517100 W,3.2,100.1,A,Primary,Headline,9.632653,D,S,55099.000000
Sat Sep 28 13:26:10 2013,28-Sep-2013,162612,46 6.530900 N,061 38.515800 W,3.1,98.4,A,Primary,Headline,9.632653,D,S,55099.000000
Sat Sep 28 13:26:10 2013,28-Sep-2013,162613,46 6.530900 N,061 38.514500 W,3.1,96.8,A,Primary,Headline,9.632653,D,S,55099.000000
Sat Sep 28 13:26:10 2013,28-Sep-2013,162614,46 6.530800 N,061 38.513300 W,3.1,97.5,A,Primary,Headline,9.632653,D,S,55099.000000
Sat Sep 28 13:26:14 2013,28-Sep-2013,162615,46 6.530500 N,061 38.512200 W,3.0,99.3,A,DoorSpread,DoorMaster,0.000000,E,S,124734.000000
Sat Sep 28 13:26:15 2013,28-Sep-2013,162616,46 6.530300 N,061 38.511100 W,3.0,99.9,A,Secondary,Headline,0.000000,E,S,92262.000000
Sat Sep 28 13:26:15 2013,28-Sep-2013,162617,46 6.530400 N,061 38.510000 W,2.9,98.5,A,Secondary,Headline,0.000000,E,S,92262.000000
Sat Sep 28 13:26:15 2013,28-Sep-2013,162618,46 6.530400 N,061 38.509000 W,2.9,97.5,A,Secondary,Headline,0.000000,E,S,92262.000000
Sat Sep 28 13:26:15 2013,28-Sep-2013,162619,46 6.530200 N,061 38.508100 W,2.8,98.4,A,Secondary,Headline,0.000000,E,S,92262.000000
Sat Sep 28 13:26:19 2013,28-Sep-2013,162620,46 6.530100 N,061 38.507100 W,2.7,99.2,A,DoorSpread,DoorMaster,0.000000,E,S,162916.000000
Sat Sep 28 13:26:20 2013,28-Sep-2013,162621,46 6.530000 N,061 38.506200 W,2.6,98.8,A,Primary,Headline,13.081633,D,S,50922.000000
Sat Sep 28 13:26:20 2013,28-Sep-2013,162622,46 6.530000 N,061 38.505300 W,2.6,98.0,A,Primary,Headline,13.081633,D,S,50922.000000
Sat Sep 28 13:26:20 2013,28-Sep-2013,162623,46 6.529900 N,061 38.504200 W,2.6,97.6,A,Primary,Headline,13.081633,D,S,50922.000000
Sat Sep 28 13:26:20 2013,28-Sep-2013,162624,46 6.529800 N,061 38.503000 W,2.7,97.6,A,Primary,Headline,13.081633,D,S,50922.000000
Sat Sep 28 13:26:24 2013,28-Sep-2013,162625,46 6.529700 N,061 38.501800 W,2.7,97.9,A,DoorSpread,DoorMaster,0.000000,E,S,94196.000000
Sat Sep 28 13:26:25 2013,28-Sep-2013,162626,46 6.529600 N,061 38.500400 W,2.8,97.7,A,Secondary,Headline,0.000000,E,S,103502.000000
Sat Sep 28 13:26:25 2013,28-Sep-2013,162627,46 6.529400 N,061 38.498900 W,3.0,97.3,A,Secondary,Headline,0.000000,E,S,103502.000000
