Ship Number,Trip Number,Tow Number
JeanMathieu,1,11
Comments
"Zone 12 nord brion"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Jul 13 17:55:33 2013,13-Jul-2013,205532,48 5.354600 N,061 25.090000 W,4.1,56.8,A,Primary,Headline,3.163265,D,S,41357.000000
Sat Jul 13 17:55:33 2013,13-Jul-2013,205533,48 5.355100 N,061 25.088800 W,4.0,57.0,A,Primary,Headline,3.163265,D,S,41357.000000
Sat Jul 13 17:55:33 2013,13-Jul-2013,205534,48 5.355600 N,061 25.087600 W,3.9,57.5,A,Primary,Headline,3.163265,D,S,41357.000000
Sat Jul 13 17:55:33 2013,13-Jul-2013,205535,48 5.356100 N,061 25.086500 W,3.8,57.8,A,Primary,Headline,3.163265,D,S,41357.000000
Sat Jul 13 17:55:33 2013,13-Jul-2013,205536,48 5.356500 N,061 25.085500 W,3.7,58.2,A,Primary,Headline,3.163265,D,S,41357.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205537,48 5.357000 N,061 25.084400 W,3.6,58.8,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205538,48 5.357400 N,061 25.083300 W,3.5,59.2,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205539,48 5.357800 N,061 25.082300 W,3.4,59.5,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205540,48 5.358200 N,061 25.081300 W,3.3,59.5,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205541,48 5.358600 N,061 25.080400 W,3.2,59.7,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205542,48 5.359000 N,061 25.079300 W,3.2,60.4,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205543,48 5.359300 N,061 25.078400 W,3.1,61.2,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205544,48 5.359600 N,061 25.077500 W,3.0,61.4,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205545,48 5.360000 N,061 25.076600 W,2.9,61.2,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205546,48 5.360400 N,061 25.075600 W,2.9,61.3,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205547,48 5.360600 N,061 25.074700 W,2.8,62.0,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205548,48 5.360900 N,061 25.073800 W,2.8,62.3,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205549,48 5.361200 N,061 25.072900 W,2.7,62.5,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205550,48 5.361400 N,061 25.071900 W,2.7,63.1,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205551,48 5.361700 N,061 25.071000 W,2.7,64.0,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:38 2013,13-Jul-2013,205552,48 5.361900 N,061 25.070000 W,2.7,64.7,A,Primary,Headline,5.775510,D,S,14452.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205553,48 5.362200 N,061 25.069000 W,2.7,65.1,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205554,48 5.362500 N,061 25.068100 W,2.6,65.2,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205555,48 5.362700 N,061 25.067100 W,2.6,65.2,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205556,48 5.363000 N,061 25.066200 W,2.6,65.2,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205557,48 5.363300 N,061 25.065100 W,2.7,65.3,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205558,48 5.363600 N,061 25.064000 W,2.7,65.5,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205559,48 5.363800 N,061 25.062900 W,2.7,65.5,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205600,48 5.364200 N,061 25.061800 W,2.8,65.1,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:55:55 2013,13-Jul-2013,205601,48 5.364500 N,061 25.060600 W,2.8,64.8,A,DoorSpread,DoorMaster,2.175000,D,S,44747.000000
Sat Jul 13 17:56:04 2013,13-Jul-2013,205602,48 5.364900 N,061 25.059400 W,2.9,64.5,A,Primary,Headline,3.306122,D,S,33564.000000
Sat Jul 13 17:56:05 2013,13-Jul-2013,205603,48 5.365200 N,061 25.058200 W,2.9,64.0,A,DoorSpread,DoorMaster,3.450000,D,S,43453.000000
Sat Jul 13 17:56:05 2013,13-Jul-2013,205604,48 5.365700 N,061 25.057000 W,3.0,63.7,A,DoorSpread,DoorMaster,3.450000,D,S,43453.000000
Sat Jul 13 17:56:05 2013,13-Jul-2013,205605,48 5.366100 N,061 25.055800 W,3.0,63.2,A,DoorSpread,DoorMaster,3.450000,D,S,43453.000000
Sat Jul 13 17:56:05 2013,13-Jul-2013,205606,48 5.366500 N,061 25.054500 W,3.1,62.9,A,DoorSpread,DoorMaster,3.450000,D,S,43453.000000
Sat Jul 13 17:56:09 2013,13-Jul-2013,205607,48 5.367000 N,061 25.053300 W,3.1,62.3,A,Primary,Headline,4.612245,D,S,18695.000000
Sat Jul 13 17:56:09 2013,13-Jul-2013,205608,48 5.367500 N,061 25.052000 W,3.2,61.4,A,Primary,Headline,4.612245,D,S,18695.000000
Sat Jul 13 17:56:10 2013,13-Jul-2013,205609,48 5.368000 N,061 25.050800 W,3.2,60.7,A,DoorSpread,DoorMaster,1.825000,D,S,47264.000000
Sat Jul 13 17:56:10 2013,13-Jul-2013,205610,48 5.368400 N,061 25.049500 W,3.3,60.5,A,DoorSpread,DoorMaster,1.825000,D,S,47264.000000
Sat Jul 13 17:56:10 2013,13-Jul-2013,205611,48 5.368900 N,061 25.048300 W,3.3,60.0,A,DoorSpread,DoorMaster,1.825000,D,S,47264.000000
Sat Jul 13 17:56:10 2013,13-Jul-2013,205612,48 5.369400 N,061 25.047100 W,3.3,59.2,A,DoorSpread,DoorMaster,1.825000,D,S,47264.000000
Sat Jul 13 17:56:10 2013,13-Jul-2013,205613,48 5.369900 N,061 25.045800 W,3.4,58.7,A,DoorSpread,DoorMaster,1.825000,D,S,47264.000000
Sat Jul 13 17:56:15 2013,13-Jul-2013,205614,48 5.370400 N,061 25.044600 W,3.4,58.4,A,DoorSpread,DoorMaster,2.525000,D,S,48994.000000
Sat Jul 13 17:56:15 2013,13-Jul-2013,205615,48 5.371000 N,061 25.043300 W,3.4,58.0,A,DoorSpread,DoorMaster,2.525000,D,S,48994.000000
Sat Jul 13 17:56:18 2013,13-Jul-2013,205616,48 5.371600 N,061 25.042100 W,3.4,57.5,A,Depth,Depth,0.370370,D,S,60355.000000
Sat Jul 13 17:56:18 2013,13-Jul-2013,205617,48 5.372100 N,061 25.040900 W,3.5,57.4,A,Depth,Depth,0.370370,D,S,60355.000000
Sat Jul 13 17:56:18 2013,13-Jul-2013,205618,48 5.372600 N,061 25.039700 W,3.5,57.2,A,Depth,Depth,0.370370,D,S,60355.000000
Sat Jul 13 17:56:21 2013,13-Jul-2013,205619,48 5.373200 N,061 25.038500 W,3.5,56.8,A,DoorSpread,DoorMaster,10.800000,D,S,90991.000000
Sat Jul 13 17:56:21 2013,13-Jul-2013,205620,48 5.373700 N,061 25.037200 W,3.5,56.4,A,DoorSpread,DoorMaster,10.800000,D,S,90991.000000
Sat Jul 13 17:56:21 2013,13-Jul-2013,205621,48 5.374300 N,061 25.036100 W,3.5,56.2,A,DoorSpread,DoorMaster,10.800000,D,S,90991.000000
Sat Jul 13 17:56:24 2013,13-Jul-2013,205622,48 5.374900 N,061 25.034800 W,3.5,56.4,A,Primary,Headline,2.142857,D,S,89709.000000
Sat Jul 13 17:56:25 2013,13-Jul-2013,205623,48 5.375400 N,061 25.033500 W,3.5,56.6,A,Depth,Depth,1.481481,D,S,28191.000000
Sat Jul 13 17:56:26 2013,13-Jul-2013,205624,48 5.375900 N,061 25.032300 W,3.5,56.6,A,DoorSpread,DoorMaster,1.575000,D,S,84344.000000
Sat Jul 13 17:56:26 2013,13-Jul-2013,205625,48 5.376500 N,061 25.031100 W,3.5,56.4,A,DoorSpread,DoorMaster,1.575000,D,S,84344.000000
Sat Jul 13 17:56:26 2013,13-Jul-2013,205626,48 5.377200 N,061 25.029700 W,3.6,56.4,A,DoorSpread,DoorMaster,1.575000,D,S,84344.000000
Sat Jul 13 17:56:29 2013,13-Jul-2013,205627,48 5.377700 N,061 25.028500 W,3.6,56.6,A,Primary,Headline,3.224490,D,S,70059.000000
Sat Jul 13 17:56:29 2013,13-Jul-2013,205628,48 5.378300 N,061 25.027200 W,3.6,56.7,A,Primary,Headline,3.224490,D,S,70059.000000
Sat Jul 13 17:56:29 2013,13-Jul-2013,205629,48 5.378900 N,061 25.026000 W,3.6,56.3,A,Primary,Headline,3.224490,D,S,70059.000000
Sat Jul 13 17:56:31 2013,13-Jul-2013,205630,48 5.379500 N,061 25.024700 W,3.6,56.1,A,DoorSpread,DoorMaster,1.775000,D,S,131888.000000
Sat Jul 13 17:56:31 2013,13-Jul-2013,205631,48 5.380100 N,061 25.023400 W,3.6,56.4,A,DoorSpread,DoorMaster,1.775000,D,S,131888.000000
Sat Jul 13 17:56:34 2013,13-Jul-2013,205632,48 5.380600 N,061 25.022200 W,3.6,56.6,A,Primary,Headline,4.857143,D,S,78205.000000
Sat Jul 13 17:56:34 2013,13-Jul-2013,205633,48 5.381200 N,061 25.020900 W,3.6,56.5,A,Primary,Headline,4.857143,D,S,78205.000000
Sat Jul 13 17:56:34 2013,13-Jul-2013,205634,48 5.381800 N,061 25.019600 W,3.6,56.5,A,Primary,Headline,4.857143,D,S,78205.000000
Sat Jul 13 17:56:36 2013,13-Jul-2013,205635,48 5.382400 N,061 25.018400 W,3.7,56.6,A,DoorSpread,DoorMaster,0.000000,D,S,134548.000000
Sat Jul 13 17:56:36 2013,13-Jul-2013,205636,48 5.382900 N,061 25.017100 W,3.6,56.8,A,DoorSpread,DoorMaster,0.000000,D,S,134548.000000
Sat Jul 13 17:56:39 2013,13-Jul-2013,205637,48 5.383600 N,061 25.015800 W,3.7,56.7,A,Primary,Headline,1.306122,D,S,55222.000000
Sat Jul 13 17:56:39 2013,13-Jul-2013,205638,48 5.384300 N,061 25.014500 W,3.7,56.5,A,Primary,Headline,1.306122,D,S,55222.000000
Sat Jul 13 17:56:39 2013,13-Jul-2013,205639,48 5.384900 N,061 25.013300 W,3.7,56.3,A,Primary,Headline,1.306122,D,S,55222.000000
Sat Jul 13 17:56:42 2013,13-Jul-2013,205640,48 5.385500 N,061 25.012000 W,3.7,56.4,A,DoorSpread,DoorMaster,2.825000,D,S,83201.000000
Sat Jul 13 17:56:42 2013,13-Jul-2013,205641,48 5.386100 N,061 25.010700 W,3.7,56.6,A,DoorSpread,DoorMaster,2.825000,D,S,83201.000000
Sat Jul 13 17:56:42 2013,13-Jul-2013,205642,48 5.386800 N,061 25.009400 W,3.7,56.7,A,DoorSpread,DoorMaster,2.825000,D,S,83201.000000
Sat Jul 13 17:56:44 2013,13-Jul-2013,205643,48 5.387400 N,061 25.008100 W,3.7,56.7,A,Primary,Headline,4.571429,D,S,58586.000000
