Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,3
Comments
"ZONE 19 WHITE CAPES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Oct 02 09:39:08 2013,02-Oct-2013,123908,46 56.767500 N,061 0.226100 W,3.9,183.4,A,DoorSpread,DoorMaster,13.950000,D,S,9134.000000
Wed Oct 02 09:39:08 2013,02-Oct-2013,123909,46 56.766400 N,061 0.226300 W,3.9,183.1,A,Primary,Headline,1.734694,D,S,30320.000000
Wed Oct 02 09:39:08 2013,02-Oct-2013,123910,46 56.765400 N,061 0.226400 W,3.8,183.1,A,Primary,Headline,1.734694,D,S,30320.000000
Wed Oct 02 09:39:08 2013,02-Oct-2013,123911,46 56.764300 N,061 0.226500 W,3.8,182.9,A,Primary,Headline,1.734694,D,S,30320.000000
Wed Oct 02 09:39:08 2013,02-Oct-2013,123912,46 56.763300 N,061 0.226700 W,3.7,183.3,A,Primary,Headline,1.734694,D,S,30320.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123913,46 56.762300 N,061 0.226900 W,3.7,183.8,A,DoorSpread,DoorMaster,0.000000,E,S,16825.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123914,46 56.761300 N,061 0.227100 W,3.7,183.8,A,Primary,Headline,8.755102,D,S,23290.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123915,46 56.760300 N,061 0.227200 W,3.7,183.7,A,Primary,Headline,8.755102,D,S,23290.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123916,46 56.759300 N,061 0.227300 W,3.6,184.0,A,Primary,Headline,8.755102,D,S,23290.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123917,46 56.758300 N,061 0.227500 W,3.6,184.5,A,Primary,Headline,8.755102,D,S,23290.000000
Wed Oct 02 09:39:13 2013,02-Oct-2013,123918,46 56.757400 N,061 0.227700 W,3.6,184.8,A,Primary,Headline,8.755102,D,S,23290.000000
Wed Oct 02 09:39:18 2013,02-Oct-2013,123919,46 56.756500 N,061 0.227800 W,3.5,184.9,A,DoorSpread,DoorMaster,12.800000,D,S,38680.000000
Wed Oct 02 09:39:18 2013,02-Oct-2013,123920,46 56.755600 N,061 0.227900 W,3.5,185.3,A,DoorSpread,DoorMaster,12.800000,D,S,38680.000000
Wed Oct 02 09:39:18 2013,02-Oct-2013,123921,46 56.754600 N,061 0.228200 W,3.5,186.0,A,DoorSpread,DoorMaster,12.800000,D,S,38680.000000
Wed Oct 02 09:39:18 2013,02-Oct-2013,123922,46 56.753700 N,061 0.228500 W,3.5,186.3,A,DoorSpread,DoorMaster,12.800000,D,S,38680.000000
Wed Oct 02 09:39:18 2013,02-Oct-2013,123923,46 56.752700 N,061 0.228700 W,3.5,186.4,A,DoorSpread,DoorMaster,12.800000,D,S,38680.000000
Wed Oct 02 09:39:23 2013,02-Oct-2013,123924,46 56.751700 N,061 0.229000 W,3.5,186.4,A,DoorSpread,DoorMaster,1.150000,D,S,81980.000000
Wed Oct 02 09:39:23 2013,02-Oct-2013,123925,46 56.750900 N,061 0.229200 W,3.4,186.8,A,DoorSpread,DoorMaster,1.150000,D,S,81980.000000
Wed Oct 02 09:39:23 2013,02-Oct-2013,123926,46 56.749900 N,061 0.229400 W,3.4,187.0,A,DoorSpread,DoorMaster,1.150000,D,S,81980.000000
Wed Oct 02 09:39:23 2013,02-Oct-2013,123927,46 56.749000 N,061 0.229600 W,3.4,187.1,A,DoorSpread,DoorMaster,1.150000,D,S,81980.000000
Wed Oct 02 09:39:23 2013,02-Oct-2013,123928,46 56.748100 N,061 0.229800 W,3.4,186.9,A,DoorSpread,DoorMaster,1.150000,D,S,81980.000000
Wed Oct 02 09:39:28 2013,02-Oct-2013,123929,46 56.747200 N,061 0.230100 W,3.3,187.0,A,DoorSpread,DoorMaster,2.325000,D,S,61097.000000
Wed Oct 02 09:39:28 2013,02-Oct-2013,123930,46 56.746300 N,061 0.230400 W,3.3,187.6,A,DoorSpread,DoorMaster,2.325000,D,S,61097.000000
Wed Oct 02 09:39:28 2013,02-Oct-2013,123931,46 56.745400 N,061 0.230700 W,3.3,187.7,A,DoorSpread,DoorMaster,2.325000,D,S,61097.000000
Wed Oct 02 09:39:28 2013,02-Oct-2013,123932,46 56.744400 N,061 0.230800 W,3.3,186.9,A,DoorSpread,DoorMaster,2.325000,D,S,61097.000000
Wed Oct 02 09:39:28 2013,02-Oct-2013,123933,46 56.743600 N,061 0.230900 W,3.3,186.2,A,DoorSpread,DoorMaster,2.325000,D,S,61097.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123934,46 56.742700 N,061 0.231100 W,3.3,186.2,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123935,46 56.741800 N,061 0.231200 W,3.3,186.1,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123936,46 56.741000 N,061 0.231400 W,3.2,185.6,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123937,46 56.740100 N,061 0.231600 W,3.2,185.5,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123938,46 56.739300 N,061 0.231600 W,3.2,185.5,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123939,46 56.738400 N,061 0.231600 W,3.2,185.2,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
Wed Oct 02 09:39:34 2013,02-Oct-2013,123940,46 56.737500 N,061 0.231700 W,3.2,184.2,A,DoorSpread,DoorMaster,3.175000,D,S,32566.000000
