Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,10
Comments
"ZONE 19 KERRS POINT"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,01-Oct-2013,211550,47 0.280600 N,060 58.206400 W,4.1,73.9,A,,,,,,
,01-Oct-2013,211551,47 0.280900 N,060 58.204900 W,4.1,74.2,A,,,,,,
,01-Oct-2013,211552,47 0.281200 N,060 58.203300 W,4.1,74.4,A,,,,,,
,01-Oct-2013,211553,47 0.281500 N,060 58.201700 W,4.1,74.8,A,,,,,,
,01-Oct-2013,211554,47 0.281700 N,060 58.200100 W,4.1,75.1,A,,,,,,
,01-Oct-2013,211555,47 0.281900 N,060 58.198500 W,4.1,75.6,A,,,,,,
,01-Oct-2013,211556,47 0.282200 N,060 58.196800 W,4.1,76.0,A,,,,,,
,01-Oct-2013,211557,47 0.282400 N,060 58.195100 W,4.1,76.3,A,,,,,,
,01-Oct-2013,211558,47 0.282600 N,060 58.193500 W,4.1,76.6,A,,,,,,
,01-Oct-2013,211559,47 0.282900 N,060 58.191900 W,4.1,76.8,A,,,,,,
,01-Oct-2013,211600,47 0.283100 N,060 58.190300 W,4.1,76.9,A,,,,,,
,01-Oct-2013,211601,47 0.283400 N,060 58.188700 W,4.0,77.0,A,,,,,,
,01-Oct-2013,211602,47 0.283500 N,060 58.187000 W,4.0,77.3,A,,,,,,
,01-Oct-2013,211603,47 0.283700 N,060 58.185300 W,4.0,77.6,A,,,,,,
,01-Oct-2013,211604,47 0.283800 N,060 58.183700 W,4.0,77.5,A,,,,,,
,01-Oct-2013,211605,47 0.284000 N,060 58.182100 W,4.0,77.5,A,,,,,,
,01-Oct-2013,211606,47 0.284300 N,060 58.180500 W,4.0,77.6,A,,,,,,
,01-Oct-2013,211607,47 0.284500 N,060 58.178900 W,4.0,77.7,A,,,,,,
,01-Oct-2013,211608,47 0.284700 N,060 58.177300 W,4.0,77.4,A,,,,,,
,01-Oct-2013,211609,47 0.284900 N,060 58.175700 W,4.0,77.3,A,,,,,,
,01-Oct-2013,211610,47 0.285200 N,060 58.174200 W,4.0,77.2,A,,,,,,
,01-Oct-2013,211611,47 0.285400 N,060 58.172600 W,4.0,77.1,A,,,,,,
,01-Oct-2013,211612,47 0.285700 N,060 58.171100 W,3.9,77.0,A,,,,,,
,01-Oct-2013,211613,47 0.285900 N,060 58.169600 W,3.9,77.0,A,,,,,,
,01-Oct-2013,211614,47 0.286300 N,060 58.167900 W,3.9,76.9,A,,,,,,
,01-Oct-2013,211615,47 0.286500 N,060 58.166300 W,3.9,76.8,A,,,,,,
,01-Oct-2013,211616,47 0.286800 N,060 58.164800 W,3.9,76.7,A,,,,,,
,01-Oct-2013,211617,47 0.287000 N,060 58.163200 W,3.9,76.6,A,,,,,,
,01-Oct-2013,211618,47 0.287300 N,060 58.161800 W,3.9,76.3,A,,,,,,
,01-Oct-2013,211619,47 0.287500 N,060 58.160300 W,3.9,76.0,A,,,,,,
,01-Oct-2013,211620,47 0.287800 N,060 58.158700 W,3.9,75.9,A,,,,,,
,01-Oct-2013,211621,47 0.288100 N,060 58.157300 W,3.9,75.6,A,,,,,,
,01-Oct-2013,211622,47 0.288400 N,060 58.155700 W,3.8,75.5,A,,,,,,
,01-Oct-2013,211623,47 0.288700 N,060 58.154300 W,3.8,75.3,A,,,,,,
,01-Oct-2013,211624,47 0.289000 N,060 58.152700 W,3.8,75.2,A,,,,,,
,01-Oct-2013,211625,47 0.289200 N,060 58.151300 W,3.8,75.0,A,,,,,,
,01-Oct-2013,211626,47 0.289500 N,060 58.149800 W,3.8,74.8,A,,,,,,
,01-Oct-2013,211627,47 0.289800 N,060 58.148300 W,3.8,74.8,A,,,,,,
,01-Oct-2013,211628,47 0.290000 N,060 58.146700 W,3.8,74.7,A,,,,,,
,01-Oct-2013,211629,47 0.290300 N,060 58.145100 W,3.8,74.6,A,,,,,,
,01-Oct-2013,211630,47 0.290600 N,060 58.143600 W,3.8,74.5,A,,,,,,
,01-Oct-2013,211631,47 0.290900 N,060 58.142100 W,3.8,74.6,A,,,,,,
,01-Oct-2013,211632,47 0.291100 N,060 58.140600 W,3.8,74.8,A,,,,,,
