Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,4
Comments
"ZONE 19 A COTER DE LA 12"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Sep 14 16:32:27 2013,14-Sep-2013,193228,47 16.146500 N,060 51.524300 W,3.6,284.1,A,DoorSpread,DoorMaster,4.650000,D,S,42878.000000
Sat Sep 14 16:32:28 2013,14-Sep-2013,193229,47 16.146800 N,060 51.525800 W,3.6,285.0,A,DoorSpread,DoorMaster,3.100000,D,S,60888.000000
Sat Sep 14 16:32:28 2013,14-Sep-2013,193230,47 16.147100 N,060 51.527100 W,3.6,285.1,A,DoorSpread,DoorMaster,3.100000,D,S,60888.000000
Sat Sep 14 16:32:28 2013,14-Sep-2013,193231,47 16.147300 N,060 51.528600 W,3.5,284.4,A,DoorSpread,DoorMaster,3.100000,D,S,60888.000000
Sat Sep 14 16:32:28 2013,14-Sep-2013,193232,47 16.147500 N,060 51.530000 W,3.6,283.9,A,DoorSpread,DoorMaster,3.100000,D,S,60888.000000
Sat Sep 14 16:32:28 2013,14-Sep-2013,193233,47 16.147700 N,060 51.531500 W,3.6,284.5,A,DoorSpread,DoorMaster,3.100000,D,S,60888.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193234,47 16.148000 N,060 51.532900 W,3.6,284.9,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193235,47 16.148100 N,060 51.534200 W,3.6,284.5,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193236,47 16.148200 N,060 51.535600 W,3.5,283.9,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193237,47 16.148400 N,060 51.536900 W,3.5,284.0,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193238,47 16.148600 N,060 51.538200 W,3.5,284.6,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193239,47 16.148800 N,060 51.539600 W,3.5,284.6,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193240,47 16.149000 N,060 51.541000 W,3.5,284.0,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193241,47 16.149200 N,060 51.542200 W,3.4,283.5,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193242,47 16.149300 N,060 51.543600 W,3.4,283.2,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193243,47 16.149500 N,060 51.544900 W,3.4,282.8,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193244,47 16.149700 N,060 51.546300 W,3.4,282.5,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193245,47 16.149800 N,060 51.547600 W,3.4,282.3,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193246,47 16.150000 N,060 51.548900 W,3.3,281.9,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193247,47 16.150100 N,060 51.550200 W,3.3,280.8,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:33 2013,14-Sep-2013,193248,47 16.150100 N,060 51.551500 W,3.3,279.8,A,DoorSpread,DoorMaster,2.550000,D,S,35367.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193249,47 16.150300 N,060 51.552900 W,3.3,279.2,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193250,47 16.150500 N,060 51.554300 W,3.3,279.3,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193251,47 16.150700 N,060 51.555600 W,3.3,280.0,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193252,47 16.150900 N,060 51.556900 W,3.3,280.2,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193253,47 16.151000 N,060 51.558300 W,3.3,279.4,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193254,47 16.151000 N,060 51.559500 W,3.2,278.3,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193255,47 16.151100 N,060 51.560800 W,3.2,277.6,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193256,47 16.151200 N,060 51.562200 W,3.2,277.6,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193257,47 16.151400 N,060 51.563600 W,3.3,277.9,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193258,47 16.151500 N,060 51.564900 W,3.2,278.0,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:49 2013,14-Sep-2013,193259,47 16.151700 N,060 51.566200 W,3.2,278.4,A,DoorSpread,DoorMaster,1.725000,D,S,62265.000000
Sat Sep 14 16:32:59 2013,14-Sep-2013,193300,47 16.151900 N,060 51.567600 W,3.3,278.8,A,DoorSpread,DoorMaster,7.275000,D,S,54756.000000
Sat Sep 14 16:32:59 2013,14-Sep-2013,193301,47 16.151900 N,060 51.568800 W,3.2,278.4,A,DoorSpread,DoorMaster,7.275000,D,S,54756.000000
Sat Sep 14 16:33:01 2013,14-Sep-2013,193302,47 16.152000 N,060 51.570100 W,3.2,277.5,A,Secondary,Headline,0.000000,E,S,20207.000000
Sat Sep 14 16:33:01 2013,14-Sep-2013,193303,47 16.152100 N,060 51.571400 W,3.2,277.3,A,Secondary,Headline,0.000000,E,S,20207.000000
Sat Sep 14 16:33:01 2013,14-Sep-2013,193304,47 16.152300 N,060 51.572700 W,3.2,277.9,A,Secondary,Headline,0.000000,E,S,20207.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193305,47 16.152500 N,060 51.574100 W,3.2,278.7,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193306,47 16.152700 N,060 51.575400 W,3.3,279.0,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193307,47 16.152800 N,060 51.576700 W,3.2,279.0,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193308,47 16.152900 N,060 51.577900 W,3.2,278.6,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193309,47 16.153000 N,060 51.579100 W,3.1,278.1,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193310,47 16.153200 N,060 51.580300 W,3.1,278.3,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193311,47 16.153500 N,060 51.581300 W,3.0,279.4,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193312,47 16.153700 N,060 51.582300 W,2.9,280.4,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193313,47 16.153900 N,060 51.583400 W,2.9,280.6,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193314,47 16.154000 N,060 51.584600 W,2.9,280.1,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:04 2013,14-Sep-2013,193315,47 16.154200 N,060 51.585700 W,2.8,279.9,A,DoorSpread,DoorMaster,2.000000,D,S,55872.000000
Sat Sep 14 16:33:15 2013,14-Sep-2013,193316,47 16.154400 N,060 51.586700 W,2.8,280.6,A,DoorSpread,DoorMaster,2.500000,D,S,63934.000000
Sat Sep 14 16:33:16 2013,14-Sep-2013,193317,47 16.154700 N,060 51.587600 W,2.7,282.3,A,Primary,Headline,16.836735,D,S,35943.000000
Sat Sep 14 16:33:16 2013,14-Sep-2013,193318,47 16.154800 N,060 51.588600 W,2.7,282.7,A,Primary,Headline,16.836735,D,S,35943.000000
Sat Sep 14 16:33:18 2013,14-Sep-2013,193319,47 16.155000 N,060 51.589700 W,2.7,282.1,A,Depth,Depth,0.000000,D,S,75744.000000
