Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,7
Comments
"ZONE 19 CAP ST LAWRENCE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,01-Oct-2013,174749,47 2.912600 N,060 46.172500 W,3.5,81.2,A,,,,,,
,01-Oct-2013,174750,47 2.912700 N,060 46.171300 W,3.4,81.1,A,,,,,,
,01-Oct-2013,174751,47 2.912800 N,060 46.170000 W,3.3,81.0,A,,,,,,
,01-Oct-2013,174752,47 2.913000 N,060 46.168800 W,3.3,80.9,A,,,,,,
,01-Oct-2013,174753,47 2.913100 N,060 46.167700 W,3.2,80.8,A,,,,,,
,01-Oct-2013,174754,47 2.913200 N,060 46.166500 W,3.2,80.6,A,,,,,,
,01-Oct-2013,174755,47 2.913400 N,060 46.165400 W,3.1,80.4,A,,,,,,
,01-Oct-2013,174756,47 2.913500 N,060 46.164200 W,3.0,80.1,A,,,,,,
,01-Oct-2013,174757,47 2.913700 N,060 46.163100 W,3.0,79.8,A,,,,,,
,01-Oct-2013,174758,47 2.913800 N,060 46.162000 W,2.9,79.7,A,,,,,,
,01-Oct-2013,174759,47 2.914000 N,060 46.160900 W,2.9,79.7,A,,,,,,
,01-Oct-2013,174800,47 2.914100 N,060 46.159900 W,2.8,79.5,A,,,,,,
,01-Oct-2013,174801,47 2.914200 N,060 46.158900 W,2.8,79.5,A,,,,,,
,01-Oct-2013,174802,47 2.914400 N,060 46.157800 W,2.8,79.2,A,,,,,,
,01-Oct-2013,174803,47 2.914500 N,060 46.156800 W,2.7,79.0,A,,,,,,
,01-Oct-2013,174804,47 2.914700 N,060 46.155800 W,2.7,78.8,A,,,,,,
Tue Oct 01 14:48:05 2013,01-Oct-2013,174805,47 2.914800 N,060 46.154900 W,2.6,78.9,A,DoorSpread,DoorMaster,2.100000,D,S,84.000000
Tue Oct 01 14:48:05 2013,01-Oct-2013,174806,47 2.915000 N,060 46.153900 W,2.6,78.7,A,DoorSpread,DoorMaster,2.100000,D,S,84.000000
Tue Oct 01 14:48:05 2013,01-Oct-2013,174807,47 2.915100 N,060 46.153000 W,2.6,78.5,A,DoorSpread,DoorMaster,2.100000,D,S,84.000000
Tue Oct 01 14:48:05 2013,01-Oct-2013,174808,47 2.915200 N,060 46.152000 W,2.5,78.1,A,DoorSpread,DoorMaster,2.100000,D,S,84.000000
Tue Oct 01 14:48:05 2013,01-Oct-2013,174809,47 2.915400 N,060 46.151100 W,2.5,77.9,A,DoorSpread,DoorMaster,2.100000,D,S,84.000000
Tue Oct 01 14:48:10 2013,01-Oct-2013,174810,47 2.915500 N,060 46.150200 W,2.5,78.0,A,DoorSpread,DoorMaster,3.375000,D,S,205.000000
Tue Oct 01 14:48:10 2013,01-Oct-2013,174811,47 2.915600 N,060 46.149200 W,2.4,78.0,A,DoorSpread,DoorMaster,3.375000,D,S,205.000000
Tue Oct 01 14:48:10 2013,01-Oct-2013,174812,47 2.915800 N,060 46.148300 W,2.4,77.8,A,DoorSpread,DoorMaster,3.375000,D,S,205.000000
Tue Oct 01 14:48:10 2013,01-Oct-2013,174813,47 2.916000 N,060 46.147400 W,2.4,77.4,A,DoorSpread,DoorMaster,3.375000,D,S,205.000000
Tue Oct 01 14:48:10 2013,01-Oct-2013,174814,47 2.916100 N,060 46.146600 W,2.4,77.1,A,DoorSpread,DoorMaster,3.375000,D,S,205.000000
Tue Oct 01 14:48:16 2013,01-Oct-2013,174815,47 2.916200 N,060 46.145700 W,2.3,77.1,A,Primary,Headline,30.918367,D,S,84.000000
Tue Oct 01 14:48:16 2013,01-Oct-2013,174816,47 2.916400 N,060 46.144800 W,2.3,77.1,A,Primary,Headline,30.918367,D,S,84.000000
Tue Oct 01 14:48:16 2013,01-Oct-2013,174817,47 2.916600 N,060 46.144000 W,2.3,77.2,A,Primary,Headline,30.918367,D,S,84.000000
Tue Oct 01 14:48:16 2013,01-Oct-2013,174818,47 2.916700 N,060 46.143100 W,2.3,77.2,A,Primary,Headline,30.918367,D,S,84.000000
Tue Oct 01 14:48:16 2013,01-Oct-2013,174819,47 2.916800 N,060 46.142300 W,2.3,77.1,A,Primary,Headline,30.918367,D,S,84.000000
Tue Oct 01 14:48:21 2013,01-Oct-2013,174820,47 2.917000 N,060 46.141400 W,2.2,77.2,A,DoorSpread,DoorMaster,3.350000,D,S,145.000000
Tue Oct 01 14:48:21 2013,01-Oct-2013,174821,47 2.917100 N,060 46.140600 W,2.2,77.1,A,DoorSpread,DoorMaster,3.350000,D,S,145.000000
Tue Oct 01 14:48:21 2013,01-Oct-2013,174822,47 2.917300 N,060 46.139800 W,2.2,76.8,A,DoorSpread,DoorMaster,3.350000,D,S,145.000000
Tue Oct 01 14:48:21 2013,01-Oct-2013,174823,47 2.917400 N,060 46.139000 W,2.2,76.7,A,DoorSpread,DoorMaster,3.350000,D,S,145.000000
Tue Oct 01 14:48:21 2013,01-Oct-2013,174824,47 2.917600 N,060 46.138100 W,2.2,76.6,A,DoorSpread,DoorMaster,3.350000,D,S,145.000000
Tue Oct 01 14:48:26 2013,01-Oct-2013,174825,47 2.917700 N,060 46.137300 W,2.2,76.6,A,DoorSpread,DoorMaster,2.125000,D,S,0.000000
Tue Oct 01 14:48:26 2013,01-Oct-2013,174826,47 2.917900 N,060 46.136400 W,2.1,76.6,A,DoorSpread,DoorMaster,2.125000,D,S,0.000000
Tue Oct 01 14:48:26 2013,01-Oct-2013,174827,47 2.918000 N,060 46.135600 W,2.1,76.6,A,DoorSpread,DoorMaster,2.125000,D,S,0.000000
Tue Oct 01 14:48:26 2013,01-Oct-2013,174828,47 2.918100 N,060 46.134800 W,2.1,76.7,A,DoorSpread,DoorMaster,2.125000,D,S,0.000000
Tue Oct 01 14:48:26 2013,01-Oct-2013,174829,47 2.918200 N,060 46.133900 W,2.1,76.6,A,DoorSpread,DoorMaster,2.125000,D,S,0.000000
