Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,5
Comments
"ZONE 12F "
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Mon Sep 30 11:28:10 2013,30-Sep-2013,142810,47 32.698000 N,060 27.967600 W,3.8,51.9,A,DoorSpread,DoorMaster,1.750000,D,S,18828.000000
Mon Sep 30 11:28:11 2013,30-Sep-2013,142811,47 32.698600 N,060 27.966300 W,3.9,52.1,A,Primary,Headline,27.020408,D,S,12286.000000
Mon Sep 30 11:28:11 2013,30-Sep-2013,142812,47 32.699300 N,060 27.965000 W,3.8,52.2,A,Primary,Headline,27.020408,D,S,12286.000000
Mon Sep 30 11:28:11 2013,30-Sep-2013,142813,47 32.700000 N,060 27.963600 W,3.8,52.5,A,Primary,Headline,27.020408,D,S,12286.000000
Mon Sep 30 11:28:11 2013,30-Sep-2013,142814,47 32.700600 N,060 27.962400 W,3.8,52.7,A,Primary,Headline,27.020408,D,S,12286.000000
Mon Sep 30 11:28:15 2013,30-Sep-2013,142815,47 32.701500 N,060 27.961000 W,3.9,52.6,A,DoorSpread,DoorMaster,3.325000,D,S,23115.000000
Mon Sep 30 11:28:16 2013,30-Sep-2013,142816,47 32.702300 N,060 27.959800 W,3.8,52.4,A,Secondary,Headline,0.000000,E,S,28119.000000
Mon Sep 30 11:28:16 2013,30-Sep-2013,142817,47 32.703000 N,060 27.958500 W,3.8,52.2,A,Secondary,Headline,0.000000,E,S,28119.000000
Mon Sep 30 11:28:16 2013,30-Sep-2013,142818,47 32.703800 N,060 27.957200 W,3.8,52.4,A,Secondary,Headline,0.000000,E,S,28119.000000
Mon Sep 30 11:28:16 2013,30-Sep-2013,142819,47 32.704500 N,060 27.955900 W,3.8,52.4,A,Secondary,Headline,0.000000,E,S,28119.000000
Mon Sep 30 11:28:20 2013,30-Sep-2013,142820,47 32.705300 N,060 27.954600 W,3.8,52.3,A,DoorSpread,DoorMaster,0.975000,D,S,53831.000000
Mon Sep 30 11:28:21 2013,30-Sep-2013,142821,47 32.706100 N,060 27.953400 W,3.8,51.9,A,Depth,Depth,17.777778,D,S,2766.000000
Mon Sep 30 11:28:21 2013,30-Sep-2013,142822,47 32.706900 N,060 27.952100 W,3.8,51.6,A,Depth,Depth,17.777778,D,S,2766.000000
Mon Sep 30 11:28:21 2013,30-Sep-2013,142823,47 32.707600 N,060 27.950900 W,3.8,51.8,A,Depth,Depth,17.777778,D,S,2766.000000
Mon Sep 30 11:28:21 2013,30-Sep-2013,142824,47 32.708400 N,060 27.949600 W,3.8,52.0,A,Depth,Depth,17.777778,D,S,2766.000000
Mon Sep 30 11:28:25 2013,30-Sep-2013,142825,47 32.709100 N,060 27.948300 W,3.7,52.2,A,DoorSpread,DoorMaster,1.950000,D,S,36090.000000
Mon Sep 30 11:28:26 2013,30-Sep-2013,142826,47 32.709800 N,060 27.947100 W,3.7,52.2,A,Secondary,Headline,0.000000,E,S,24055.000000
