Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,5
Comments
"ZONE 12 PASPEBIAC"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Tue Aug 12 10:58:17 2014,12-Aug-2014,135817,47 53.898600 N,065 9.151100 W,4.7,113.6,A,DoorSpread,DoorMaster,0.000000,E,S,24469.000000
Tue Aug 12 10:58:17 2014,12-Aug-2014,135818,47 53.898200 N,065 9.149700 W,4.6,113.8,A,DoorSpread,DoorMaster,0.000000,E,S,24469.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135819,47 53.897700 N,065 9.148100 W,4.5,113.8,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135820,47 53.897300 N,065 9.146600 W,4.4,113.7,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135821,47 53.897000 N,065 9.145200 W,4.3,113.5,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135822,47 53.896600 N,065 9.143900 W,4.2,113.5,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135823,47 53.896200 N,065 9.142400 W,4.1,113.5,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135824,47 53.895800 N,065 9.141000 W,4.1,113.4,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135825,47 53.895300 N,065 9.139600 W,4.0,113.3,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135826,47 53.895000 N,065 9.138200 W,3.9,113.2,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135827,47 53.894600 N,065 9.136800 W,3.9,113.0,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135828,47 53.894200 N,065 9.135400 W,3.8,112.8,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135829,47 53.893900 N,065 9.134100 W,3.8,112.7,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135830,47 53.893500 N,065 9.132800 W,3.7,112.7,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135831,47 53.893200 N,065 9.131500 W,3.7,112.7,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:20 2014,12-Aug-2014,135832,47 53.892800 N,065 9.130200 W,3.6,112.9,A,DoorSpread,DoorMaster,0.000000,E,S,25017.000000
Tue Aug 12 10:58:34 2014,12-Aug-2014,135833,47 53.892400 N,065 9.128900 W,3.6,112.7,A,Depth,Depth,6.388889,D,S,39028.000000
Tue Aug 12 10:58:35 2014,12-Aug-2014,135834,47 53.892100 N,065 9.127600 W,3.6,112.6,A,DoorSpread,DoorMaster,3.245000,D,S,79625.000000
Tue Aug 12 10:58:35 2014,12-Aug-2014,135835,47 53.891700 N,065 9.126300 W,3.6,112.7,A,DoorSpread,DoorMaster,3.245000,D,S,79625.000000
Tue Aug 12 10:58:35 2014,12-Aug-2014,135836,47 53.891300 N,065 9.125000 W,3.5,113.0,A,DoorSpread,DoorMaster,3.245000,D,S,79625.000000
Tue Aug 12 10:58:35 2014,12-Aug-2014,135837,47 53.890900 N,065 9.123800 W,3.5,113.1,A,DoorSpread,DoorMaster,3.245000,D,S,79625.000000
Tue Aug 12 10:58:35 2014,12-Aug-2014,135838,47 53.890500 N,065 9.122500 W,3.5,113.1,A,DoorSpread,DoorMaster,3.245000,D,S,79625.000000
Tue Aug 12 10:58:41 2014,12-Aug-2014,135839,47 53.890200 N,065 9.121300 W,3.4,113.3,A,DoorSpread,DoorMaster,2.645000,D,S,54645.000000
Tue Aug 12 10:58:41 2014,12-Aug-2014,135840,47 53.889800 N,065 9.120000 W,3.4,113.5,A,DoorSpread,DoorMaster,2.645000,D,S,54645.000000
Tue Aug 12 10:58:41 2014,12-Aug-2014,135841,47 53.889500 N,065 9.118800 W,3.4,113.6,A,DoorSpread,DoorMaster,2.645000,D,S,54645.000000
Tue Aug 12 10:58:41 2014,12-Aug-2014,135842,47 53.889200 N,065 9.117600 W,3.4,113.5,A,DoorSpread,DoorMaster,2.645000,D,S,54645.000000
Tue Aug 12 10:58:41 2014,12-Aug-2014,135843,47 53.888900 N,065 9.116300 W,3.3,113.5,A,DoorSpread,DoorMaster,2.645000,D,S,54645.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135844,47 53.888500 N,065 9.115200 W,3.3,113.7,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135845,47 53.888200 N,065 9.114100 W,3.2,113.8,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135846,47 53.887900 N,065 9.112900 W,3.2,113.7,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135847,47 53.887600 N,065 9.111800 W,3.1,113.6,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135848,47 53.887300 N,065 9.110800 W,3.1,113.5,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:46 2014,12-Aug-2014,135849,47 53.887000 N,065 9.109700 W,3.0,113.7,A,DoorSpread,DoorMaster,0.000000,E,S,49353.000000
Tue Aug 12 10:58:51 2014,12-Aug-2014,135850,47 53.886700 N,065 9.108600 W,3.0,113.8,A,DoorSpread,DoorMaster,1.025000,D,S,70632.000000
Tue Aug 12 10:58:51 2014,12-Aug-2014,135851,47 53.886400 N,065 9.107600 W,2.9,113.8,A,DoorSpread,DoorMaster,1.025000,D,S,70632.000000
Tue Aug 12 10:58:51 2014,12-Aug-2014,135852,47 53.886100 N,065 9.106600 W,2.9,113.8,A,DoorSpread,DoorMaster,1.025000,D,S,70632.000000
Tue Aug 12 10:58:51 2014,12-Aug-2014,135853,47 53.885800 N,065 9.105700 W,2.8,113.5,A,DoorSpread,DoorMaster,1.025000,D,S,70632.000000
Tue Aug 12 10:58:55 2014,12-Aug-2014,135854,47 53.885600 N,065 9.104700 W,2.7,113.3,A,Depth,Depth,2.777778,D,S,35609.000000
Tue Aug 12 10:58:56 2014,12-Aug-2014,135855,47 53.885300 N,065 9.103900 W,2.7,113.3,A,DoorSpread,DoorMaster,2.245000,D,S,104292.000000
Tue Aug 12 10:58:56 2014,12-Aug-2014,135856,47 53.885100 N,065 9.103000 W,2.6,113.4,A,DoorSpread,DoorMaster,2.245000,D,S,104292.000000
Tue Aug 12 10:58:56 2014,12-Aug-2014,135857,47 53.884900 N,065 9.102200 W,2.6,113.2,A,DoorSpread,DoorMaster,2.245000,D,S,104292.000000
Tue Aug 12 10:58:56 2014,12-Aug-2014,135858,47 53.884700 N,065 9.101400 W,2.5,112.8,A,DoorSpread,DoorMaster,2.245000,D,S,104292.000000
Tue Aug 12 10:59:00 2014,12-Aug-2014,135859,47 53.884500 N,065 9.100600 W,2.4,112.7,A,Primary,Headline,1.061224,D,S,46486.000000
Tue Aug 12 10:59:02 2014,12-Aug-2014,135900,47 53.884300 N,065 9.099800 W,2.4,112.7,A,DoorSpread,DoorMaster,2.765000,D,S,142815.000000
Tue Aug 12 10:59:02 2014,12-Aug-2014,135901,47 53.884100 N,065 9.099000 W,2.3,112.5,A,Depth,Depth,2.129630,D,S,59910.000000
Tue Aug 12 10:59:02 2014,12-Aug-2014,135902,47 53.883900 N,065 9.098300 W,2.2,112.5,A,Depth,Depth,2.129630,D,S,59910.000000
Tue Aug 12 10:59:02 2014,12-Aug-2014,135903,47 53.883700 N,065 9.097600 W,2.2,112.3,A,Depth,Depth,2.129630,D,S,59910.000000
Tue Aug 12 10:59:05 2014,12-Aug-2014,135904,47 53.883600 N,065 9.096800 W,2.1,111.9,A,Primary,Headline,3.346939,D,S,37643.000000
Tue Aug 12 10:59:05 2014,12-Aug-2014,135905,47 53.883400 N,065 9.096000 W,2.1,111.7,A,Primary,Headline,3.346939,D,S,37643.000000
Tue Aug 12 10:59:07 2014,12-Aug-2014,135906,47 53.883200 N,065 9.095200 W,2.1,111.7,A,DoorSpread,DoorMaster,2.850000,D,S,106214.000000
Tue Aug 12 10:59:07 2014,12-Aug-2014,135907,47 53.882900 N,065 9.094300 W,2.2,111.7,A,DoorSpread,DoorMaster,2.850000,D,S,106214.000000
Tue Aug 12 10:59:09 2014,12-Aug-2014,135908,47 53.882600 N,065 9.093200 W,2.3,111.6,A,Depth,Depth,14.537037,D,S,31998.000000
Tue Aug 12 10:59:10 2014,12-Aug-2014,135909,47 53.882300 N,065 9.092100 W,2.4,111.5,A,Primary,Headline,11.346939,D,S,18742.000000
Tue Aug 12 10:59:10 2014,12-Aug-2014,135910,47 53.882000 N,065 9.090800 W,2.6,111.6,A,Primary,Headline,11.346939,D,S,18742.000000
Tue Aug 12 10:59:12 2014,12-Aug-2014,135911,47 53.881600 N,065 9.089400 W,2.8,112.0,A,DoorSpread,DoorMaster,3.000000,D,S,136384.000000
Tue Aug 12 10:59:12 2014,12-Aug-2014,135912,47 53.881200 N,065 9.087800 W,3.0,112.3,A,DoorSpread,DoorMaster,3.000000,D,S,136384.000000
