Ship Number,Trip Number,Tow Number
JEANMATIEU,4,1
Comments
"ZONE 12 EST BANC AMERICAIN"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,16-Aug-2014,142640,48 38.101100 N,063 36.796700 W,4.2,341.3,A,,,,,,
,16-Aug-2014,142641,48 38.102400 N,063 36.797100 W,4.2,342.1,A,,,,,,
,16-Aug-2014,142642,48 38.103600 N,063 36.797500 W,4.3,343.1,A,,,,,,
,16-Aug-2014,142643,48 38.104800 N,063 36.798000 W,4.3,343.4,A,,,,,,
,16-Aug-2014,142644,48 38.106100 N,063 36.798700 W,4.3,342.7,A,,,,,,
,16-Aug-2014,142645,48 38.107200 N,063 36.799400 W,4.4,342.0,A,,,,,,
,16-Aug-2014,142646,48 38.108500 N,063 36.799900 W,4.4,342.0,A,,,,,,
,16-Aug-2014,142647,48 38.109700 N,063 36.800400 W,4.5,342.6,A,,,,,,
,16-Aug-2014,142648,48 38.111000 N,063 36.800800 W,4.5,343.0,A,,,,,,
,16-Aug-2014,142649,48 38.112200 N,063 36.801400 W,4.5,343.0,A,,,,,,
,16-Aug-2014,142650,48 38.113400 N,063 36.802000 W,4.5,342.6,A,,,,,,
,16-Aug-2014,142651,48 38.114600 N,063 36.802700 W,4.5,342.2,A,,,,,,
,16-Aug-2014,142652,48 38.115900 N,063 36.803300 W,4.6,342.0,A,,,,,,
,16-Aug-2014,142653,48 38.117200 N,063 36.803900 W,4.6,342.2,A,,,,,,
,16-Aug-2014,142654,48 38.118500 N,063 36.804500 W,4.6,342.3,A,,,,,,
,16-Aug-2014,142655,48 38.119700 N,063 36.805200 W,4.6,341.7,A,,,,,,
,16-Aug-2014,142656,48 38.120900 N,063 36.805900 W,4.6,341.0,A,,,,,,
,16-Aug-2014,142657,48 38.122000 N,063 36.806600 W,4.6,340.7,A,,,,,,
,16-Aug-2014,142658,48 38.123200 N,063 36.807200 W,4.6,340.8,A,,,,,,
,16-Aug-2014,142659,48 38.124500 N,063 36.807800 W,4.6,341.2,A,,,,,,
,16-Aug-2014,142700,48 38.125800 N,063 36.808300 W,4.6,341.3,A,,,,,,
,16-Aug-2014,142701,48 38.127100 N,063 36.809000 W,4.7,341.0,A,,,,,,
,16-Aug-2014,142702,48 38.128300 N,063 36.809700 W,4.7,341.1,A,,,,,,
,16-Aug-2014,142703,48 38.129500 N,063 36.810200 W,4.6,341.9,A,,,,,,
,16-Aug-2014,142704,48 38.130700 N,063 36.810600 W,4.6,342.5,A,,,,,,
,16-Aug-2014,142705,48 38.131900 N,063 36.811200 W,4.6,342.6,A,,,,,,
,16-Aug-2014,142706,48 38.133100 N,063 36.811800 W,4.6,342.3,A,,,,,,
,16-Aug-2014,142707,48 38.134300 N,063 36.812500 W,4.6,341.5,A,,,,,,
,16-Aug-2014,142708,48 38.135500 N,063 36.813100 W,4.6,341.3,A,,,,,,
,16-Aug-2014,142709,48 38.136700 N,063 36.813600 W,4.6,342.2,A,,,,,,
,16-Aug-2014,142710,48 38.138000 N,063 36.813900 W,4.6,343.5,A,,,,,,
,16-Aug-2014,142711,48 38.139300 N,063 36.814300 W,4.6,343.7,A,,,,,,
,16-Aug-2014,142712,48 38.140500 N,063 36.815100 W,4.6,342.5,A,,,,,,
,16-Aug-2014,142713,48 38.141600 N,063 36.816000 W,4.6,341.2,A,,,,,,
,16-Aug-2014,142714,48 38.142900 N,063 36.816600 W,4.6,341.2,A,,,,,,
,16-Aug-2014,142715,48 38.144100 N,063 36.817000 W,4.6,341.7,A,,,,,,
,16-Aug-2014,142716,48 38.145300 N,063 36.817600 W,4.6,342.0,A,,,,,,
,16-Aug-2014,142717,48 38.146400 N,063 36.818200 W,4.6,341.9,A,,,,,,
,16-Aug-2014,142718,48 38.147700 N,063 36.818800 W,4.6,341.9,A,,,,,,
