Ship Number,Trip Number,Tow Number
JEANMATHIEU,3,1
Comments
"ZONE 12 NORD BANC DES ORPHELIN"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Aug 06 05:32:04 2014,06-Aug-2014,083204,48 41.757700 N,063 26.426200 W,3.5,302.5,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083205,48 41.758300 N,063 26.427400 W,3.5,302.5,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083206,48 41.758900 N,063 26.428600 W,3.5,302.7,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083207,48 41.759400 N,063 26.429800 W,3.5,303.0,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083208,48 41.760100 N,063 26.431000 W,3.5,303.3,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083209,48 41.760600 N,063 26.432100 W,3.5,303.1,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083210,48 41.761100 N,063 26.433300 W,3.4,302.7,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083211,48 41.761600 N,063 26.434600 W,3.4,302.6,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083212,48 41.762100 N,063 26.435800 W,3.4,302.8,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083213,48 41.762600 N,063 26.437100 W,3.4,302.9,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:04 2014,06-Aug-2014,083214,48 41.763100 N,063 26.438400 W,3.4,302.9,A,DoorSpread,DoorMaster,0.000000,E,S,37808.000000
Wed Aug 06 05:32:14 2014,06-Aug-2014,083215,48 41.763600 N,063 26.439600 W,3.4,302.8,A,DoorSpread,DoorMaster,2.515000,D,S,12149.000000
Wed Aug 06 05:32:14 2014,06-Aug-2014,083216,48 41.764200 N,063 26.440900 W,3.4,302.7,A,DoorSpread,DoorMaster,2.515000,D,S,12149.000000
Wed Aug 06 05:32:14 2014,06-Aug-2014,083217,48 41.764700 N,063 26.442200 W,3.4,302.7,A,DoorSpread,DoorMaster,2.515000,D,S,12149.000000
Wed Aug 06 05:32:14 2014,06-Aug-2014,083218,48 41.765100 N,063 26.443500 W,3.4,303.0,A,DoorSpread,DoorMaster,2.515000,D,S,12149.000000
