Ship Number,Trip Number,Tow Number
JEAN MATHIEU,7,3
Comments
"ZONE 12 NORD-EST DE NORTH CAPE PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Sep 10 09:25:15 2014,10-Sep-2014,122515,47 8.774600 N,063 23.556200 W,3.4,28.6,A,Depth,Depth,1.296296,D,S,69139.000000
Wed Sep 10 09:25:15 2014,10-Sep-2014,122516,47 8.775400 N,063 23.555600 W,3.3,28.5,A,Depth,Depth,1.296296,D,S,69139.000000
Wed Sep 10 09:25:15 2014,10-Sep-2014,122517,47 8.776200 N,063 23.554800 W,3.3,29.2,A,Depth,Depth,1.296296,D,S,69139.000000
Wed Sep 10 09:25:18 2014,10-Sep-2014,122518,47 8.777000 N,063 23.554000 W,3.3,29.6,A,DoorSpread,DoorMaster,2.700000,D,S,74651.000000
Wed Sep 10 09:25:18 2014,10-Sep-2014,122519,47 8.777800 N,063 23.553400 W,3.3,29.3,A,DoorSpread,DoorMaster,2.700000,D,S,74651.000000
Wed Sep 10 09:25:18 2014,10-Sep-2014,122520,47 8.778600 N,063 23.552800 W,3.3,28.9,A,DoorSpread,DoorMaster,2.700000,D,S,74651.000000
Wed Sep 10 09:25:18 2014,10-Sep-2014,122521,47 8.779400 N,063 23.552300 W,3.3,28.8,A,DoorSpread,DoorMaster,2.700000,D,S,74651.000000
Wed Sep 10 09:25:22 2014,10-Sep-2014,122522,47 8.780200 N,063 23.551600 W,3.2,29.0,A,Depth,Depth,0.000000,D,S,87164.000000
Wed Sep 10 09:25:22 2014,10-Sep-2014,122523,47 8.781000 N,063 23.550900 W,3.2,29.1,A,Depth,Depth,0.000000,D,S,87164.000000
Wed Sep 10 09:25:24 2014,10-Sep-2014,122524,47 8.781800 N,063 23.550300 W,3.2,29.0,A,DoorSpread,DoorMaster,2.590000,D,S,105288.000000
Wed Sep 10 09:25:24 2014,10-Sep-2014,122525,47 8.782500 N,063 23.549700 W,3.2,28.9,A,DoorSpread,DoorMaster,2.590000,D,S,105288.000000
Wed Sep 10 09:25:24 2014,10-Sep-2014,122526,47 8.783300 N,063 23.549200 W,3.2,28.4,A,DoorSpread,DoorMaster,2.590000,D,S,105288.000000
Wed Sep 10 09:25:24 2014,10-Sep-2014,122527,47 8.784000 N,063 23.548600 W,3.2,28.4,A,DoorSpread,DoorMaster,2.590000,D,S,105288.000000
Wed Sep 10 09:25:24 2014,10-Sep-2014,122528,47 8.784800 N,063 23.547900 W,3.2,28.8,A,DoorSpread,DoorMaster,2.590000,D,S,105288.000000
Wed Sep 10 09:25:29 2014,10-Sep-2014,122529,47 8.785500 N,063 23.547200 W,3.2,29.2,A,DoorSpread,DoorMaster,2.560000,D,S,80220.000000
Wed Sep 10 09:25:29 2014,10-Sep-2014,122530,47 8.786300 N,063 23.546700 W,3.1,28.5,A,DoorSpread,DoorMaster,2.560000,D,S,80220.000000
Wed Sep 10 09:25:29 2014,10-Sep-2014,122531,47 8.787100 N,063 23.546200 W,3.1,27.5,A,DoorSpread,DoorMaster,2.560000,D,S,80220.000000
Wed Sep 10 09:25:29 2014,10-Sep-2014,122532,47 8.787900 N,063 23.545600 W,3.1,27.5,A,DoorSpread,DoorMaster,2.560000,D,S,80220.000000
Wed Sep 10 09:25:29 2014,10-Sep-2014,122533,47 8.788600 N,063 23.544700 W,3.2,28.6,A,DoorSpread,DoorMaster,2.560000,D,S,80220.000000
Wed Sep 10 09:25:34 2014,10-Sep-2014,122534,47 8.789300 N,063 23.544100 W,3.2,28.8,A,Primary,Headline,3.734694,D,S,60377.000000
Wed Sep 10 09:25:34 2014,10-Sep-2014,122535,47 8.790100 N,063 23.543700 W,3.1,27.8,A,DoorSpread,DoorMaster,2.770000,D,S,76885.000000
Wed Sep 10 09:25:34 2014,10-Sep-2014,122536,47 8.790900 N,063 23.543200 W,3.1,27.2,A,DoorSpread,DoorMaster,2.770000,D,S,76885.000000
Wed Sep 10 09:25:34 2014,10-Sep-2014,122537,47 8.791600 N,063 23.542500 W,3.1,28.1,A,DoorSpread,DoorMaster,2.770000,D,S,76885.000000
Wed Sep 10 09:25:34 2014,10-Sep-2014,122538,47 8.792300 N,063 23.541700 W,3.1,29.2,A,DoorSpread,DoorMaster,2.770000,D,S,76885.000000
Wed Sep 10 09:25:39 2014,10-Sep-2014,122539,47 8.793100 N,063 23.541100 W,3.1,29.1,A,Primary,Headline,1.204082,D,S,32806.000000
Wed Sep 10 09:25:40 2014,10-Sep-2014,122540,47 8.793800 N,063 23.540700 W,3.1,28.2,A,DoorSpread,DoorMaster,3.060000,D,S,60161.000000
Wed Sep 10 09:25:40 2014,10-Sep-2014,122541,47 8.794600 N,063 23.540100 W,3.1,28.1,A,DoorSpread,DoorMaster,3.060000,D,S,60161.000000
Wed Sep 10 09:25:40 2014,10-Sep-2014,122542,47 8.795400 N,063 23.539400 W,3.1,29.0,A,DoorSpread,DoorMaster,3.060000,D,S,60161.000000
Wed Sep 10 09:25:40 2014,10-Sep-2014,122543,47 8.796100 N,063 23.538700 W,3.1,29.7,A,DoorSpread,DoorMaster,3.060000,D,S,60161.000000
Wed Sep 10 09:25:44 2014,10-Sep-2014,122544,47 8.796800 N,063 23.538100 W,3.1,29.5,A,Primary,Headline,1.204082,D,S,45874.000000
Wed Sep 10 09:25:45 2014,10-Sep-2014,122545,47 8.797500 N,063 23.537500 W,3.1,29.2,A,DoorSpread,DoorMaster,2.140000,D,S,127245.000000
Wed Sep 10 09:25:45 2014,10-Sep-2014,122546,47 8.798200 N,063 23.536900 W,3.1,29.6,A,DoorSpread,DoorMaster,2.140000,D,S,127245.000000
Wed Sep 10 09:25:45 2014,10-Sep-2014,122547,47 8.798900 N,063 23.536100 W,3.1,30.1,A,DoorSpread,DoorMaster,2.140000,D,S,127245.000000
Wed Sep 10 09:25:45 2014,10-Sep-2014,122548,47 8.799600 N,063 23.535400 W,3.1,30.4,A,DoorSpread,DoorMaster,2.140000,D,S,127245.000000
Wed Sep 10 09:25:49 2014,10-Sep-2014,122549,47 8.800400 N,063 23.534700 W,3.1,30.4,A,Primary,Headline,0.591837,D,S,44423.000000
Wed Sep 10 09:25:49 2014,10-Sep-2014,122550,47 8.801100 N,063 23.534100 W,3.1,30.0,A,Primary,Headline,0.591837,D,S,44423.000000
Wed Sep 10 09:25:50 2014,10-Sep-2014,122551,47 8.801700 N,063 23.533400 W,3.1,30.3,A,DoorSpread,DoorMaster,2.550000,D,S,106881.000000
Wed Sep 10 09:25:50 2014,10-Sep-2014,122552,47 8.802500 N,063 23.532700 W,3.1,30.7,A,DoorSpread,DoorMaster,2.550000,D,S,106881.000000
Wed Sep 10 09:25:50 2014,10-Sep-2014,122553,47 8.803200 N,063 23.532000 W,3.1,30.9,A,DoorSpread,DoorMaster,2.550000,D,S,106881.000000
Wed Sep 10 09:25:54 2014,10-Sep-2014,122554,47 8.803900 N,063 23.531400 W,3.1,30.8,A,Primary,Headline,3.632653,D,S,22243.000000
Wed Sep 10 09:25:54 2014,10-Sep-2014,122555,47 8.804600 N,063 23.530800 W,3.1,30.8,A,Primary,Headline,3.632653,D,S,22243.000000
Wed Sep 10 09:25:56 2014,10-Sep-2014,122556,47 8.805300 N,063 23.530100 W,3.1,31.0,A,DoorSpread,DoorMaster,1.020000,D,S,99981.000000
Wed Sep 10 09:25:56 2014,10-Sep-2014,122557,47 8.806000 N,063 23.529400 W,3.1,31.0,A,DoorSpread,DoorMaster,1.020000,D,S,99981.000000
Wed Sep 10 09:25:57 2014,10-Sep-2014,122558,47 8.806700 N,063 23.528800 W,3.1,30.8,A,Depth,Depth,23.148148,D,S,29908.000000
Wed Sep 10 09:25:57 2014,10-Sep-2014,122559,47 8.807400 N,063 23.528100 W,3.1,30.8,A,Depth,Depth,23.148148,D,S,29908.000000
Wed Sep 10 09:25:57 2014,10-Sep-2014,122600,47 8.808100 N,063 23.527500 W,3.1,30.8,A,Depth,Depth,23.148148,D,S,29908.000000
Wed Sep 10 09:26:01 2014,10-Sep-2014,122601,47 8.808900 N,063 23.526800 W,3.1,30.5,A,DoorSpread,DoorMaster,1.795000,D,S,110924.000000
Wed Sep 10 09:26:01 2014,10-Sep-2014,122602,47 8.809600 N,063 23.526300 W,3.1,30.3,A,DoorSpread,DoorMaster,1.795000,D,S,110924.000000
Wed Sep 10 09:26:01 2014,10-Sep-2014,122603,47 8.810300 N,063 23.525600 W,3.1,30.3,A,DoorSpread,DoorMaster,1.795000,D,S,110924.000000
Wed Sep 10 09:26:04 2014,10-Sep-2014,122604,47 8.811000 N,063 23.525000 W,3.1,30.2,A,Primary,Headline,1.000000,D,S,45120.000000
Wed Sep 10 09:26:04 2014,10-Sep-2014,122605,47 8.811700 N,063 23.524400 W,3.1,30.0,A,Depth,Depth,12.407407,D,S,30060.000000
Wed Sep 10 09:26:06 2014,10-Sep-2014,122606,47 8.812400 N,063 23.523800 W,3.0,29.7,A,DoorSpread,DoorMaster,2.105000,D,S,59567.000000
Wed Sep 10 09:26:06 2014,10-Sep-2014,122607,47 8.813100 N,063 23.523100 W,3.1,29.5,A,DoorSpread,DoorMaster,2.105000,D,S,59567.000000
Wed Sep 10 09:26:06 2014,10-Sep-2014,122608,47 8.813900 N,063 23.522500 W,3.1,29.4,A,DoorSpread,DoorMaster,2.105000,D,S,59567.000000
Wed Sep 10 09:26:09 2014,10-Sep-2014,122609,47 8.814600 N,063 23.522000 W,3.0,29.3,A,Primary,Headline,0.979592,D,S,85858.000000
Wed Sep 10 09:26:09 2014,10-Sep-2014,122610,47 8.815300 N,063 23.521300 W,3.0,29.5,A,Primary,Headline,0.979592,D,S,85858.000000
Wed Sep 10 09:26:09 2014,10-Sep-2014,122611,47 8.816000 N,063 23.520700 W,3.0,29.4,A,Primary,Headline,0.979592,D,S,85858.000000
Wed Sep 10 09:26:12 2014,10-Sep-2014,122612,47 8.816800 N,063 23.520200 W,3.0,29.1,A,DoorSpread,DoorMaster,2.615000,D,S,73896.000000
Wed Sep 10 09:26:12 2014,10-Sep-2014,122613,47 8.817500 N,063 23.519600 W,3.0,29.1,A,DoorSpread,DoorMaster,2.615000,D,S,73896.000000
Wed Sep 10 09:26:14 2014,10-Sep-2014,122614,47 8.818200 N,063 23.518900 W,3.0,29.5,A,Primary,Headline,1.734694,D,S,68115.000000
Wed Sep 10 09:26:14 2014,10-Sep-2014,122615,47 8.818900 N,063 23.518300 W,3.0,29.8,A,Primary,Headline,1.734694,D,S,68115.000000
Wed Sep 10 09:26:14 2014,10-Sep-2014,122616,47 8.819600 N,063 23.517800 W,3.0,29.9,A,Primary,Headline,1.734694,D,S,68115.000000
Wed Sep 10 09:26:17 2014,10-Sep-2014,122617,47 8.820200 N,063 23.517300 W,2.9,29.8,A,DoorSpread,DoorMaster,2.410000,D,S,88232.000000
Wed Sep 10 09:26:17 2014,10-Sep-2014,122618,47 8.820900 N,063 23.516700 W,2.8,30.1,A,DoorSpread,DoorMaster,2.410000,D,S,88232.000000
Wed Sep 10 09:26:19 2014,10-Sep-2014,122619,47 8.821400 N,063 23.516200 W,2.8,31.1,A,Primary,Headline,1.040816,D,S,87634.000000
Wed Sep 10 09:26:19 2014,10-Sep-2014,122620,47 8.821900 N,063 23.515700 W,2.7,31.8,A,Primary,Headline,1.040816,D,S,87634.000000
Wed Sep 10 09:26:19 2014,10-Sep-2014,122621,47 8.822400 N,063 23.515400 W,2.6,31.2,A,Primary,Headline,1.040816,D,S,87634.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122622,47 8.822900 N,063 23.515000 W,2.5,31.3,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122623,47 8.823200 N,063 23.514500 W,2.4,32.6,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122624,47 8.823600 N,063 23.514200 W,2.4,33.2,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122625,47 8.824100 N,063 23.513700 W,2.3,33.6,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122626,47 8.824500 N,063 23.513300 W,2.3,33.7,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
Wed Sep 10 09:26:22 2014,10-Sep-2014,122627,47 8.824800 N,063 23.513000 W,2.2,34.0,A,DoorSpread,DoorMaster,2.080000,D,S,289791.000000
