Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,4
Comments
"ZONE 12 NORD DU CANAL DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Aug 22 10:14:46 2014,22-Aug-2014,131447,48 2.493700 N,062 21.835000 W,2.2,232.7,A,DoorSpread,DoorMaster,2.265000,D,S,90770.000000
Fri Aug 22 10:14:46 2014,22-Aug-2014,131448,48 2.493300 N,062 21.835700 W,2.2,232.6,A,DoorSpread,DoorMaster,2.265000,D,S,90770.000000
Fri Aug 22 10:14:49 2014,22-Aug-2014,131449,48 2.493100 N,062 21.836200 W,2.1,233.4,A,Primary,Headline,0.000000,D,S,52988.000000
Fri Aug 22 10:14:50 2014,22-Aug-2014,131450,48 2.492900 N,062 21.836800 W,2.0,235.0,A,DoorSpread,DoorMaster,2.775000,D,S,132485.000000
Fri Aug 22 10:14:50 2014,22-Aug-2014,131451,48 2.492400 N,062 21.837200 W,2.0,235.4,A,DoorSpread,DoorMaster,2.775000,D,S,132485.000000
Fri Aug 22 10:14:50 2014,22-Aug-2014,131452,48 2.492000 N,062 21.837600 W,2.0,234.3,A,DoorSpread,DoorMaster,2.775000,D,S,132485.000000
Fri Aug 22 10:14:50 2014,22-Aug-2014,131453,48 2.491600 N,062 21.838000 W,1.9,233.5,A,DoorSpread,DoorMaster,2.775000,D,S,132485.000000
Fri Aug 22 10:14:54 2014,22-Aug-2014,131454,48 2.491100 N,062 21.838700 W,2.0,233.7,A,Primary,Headline,0.775510,D,S,109798.000000
Fri Aug 22 10:14:55 2014,22-Aug-2014,131455,48 2.490600 N,062 21.839600 W,2.1,234.0,A,DoorSpread,DoorMaster,0.000000,E,S,105080.000000
Fri Aug 22 10:14:55 2014,22-Aug-2014,131456,48 2.490000 N,062 21.840500 W,2.2,234.8,A,DoorSpread,DoorMaster,0.000000,E,S,105080.000000
Fri Aug 22 10:14:55 2014,22-Aug-2014,131457,48 2.489600 N,062 21.841500 W,2.4,235.3,A,DoorSpread,DoorMaster,0.000000,E,S,105080.000000
Fri Aug 22 10:14:55 2014,22-Aug-2014,131458,48 2.489000 N,062 21.842600 W,2.5,234.5,A,DoorSpread,DoorMaster,0.000000,E,S,105080.000000
Fri Aug 22 10:14:59 2014,22-Aug-2014,131459,48 2.488300 N,062 21.843700 W,2.7,233.6,A,Primary,Headline,3.020408,D,S,42412.000000
Fri Aug 22 10:15:00 2014,22-Aug-2014,131500,48 2.487600 N,062 21.845000 W,2.9,233.4,A,DoorSpread,DoorMaster,2.845000,D,S,94595.000000
Fri Aug 22 10:15:00 2014,22-Aug-2014,131501,48 2.486700 N,062 21.846400 W,3.2,233.0,A,DoorSpread,DoorMaster,2.845000,D,S,94595.000000
Fri Aug 22 10:15:00 2014,22-Aug-2014,131502,48 2.485800 N,062 21.847900 W,3.5,231.8,A,DoorSpread,DoorMaster,2.845000,D,S,94595.000000
Fri Aug 22 10:15:00 2014,22-Aug-2014,131503,48 2.484700 N,062 21.849400 W,3.7,230.4,A,DoorSpread,DoorMaster,2.845000,D,S,94595.000000
Fri Aug 22 10:15:04 2014,22-Aug-2014,131504,48 2.483700 N,062 21.850800 W,3.9,229.4,A,Primary,Headline,6.448980,D,S,86249.000000
Fri Aug 22 10:15:04 2014,22-Aug-2014,131505,48 2.482700 N,062 21.852300 W,4.1,229.0,A,Primary,Headline,6.448980,D,S,86249.000000
Fri Aug 22 10:15:06 2014,22-Aug-2014,131506,48 2.481900 N,062 21.853800 W,4.2,229.0,A,DoorSpread,DoorMaster,3.850000,D,S,35523.000000
Fri Aug 22 10:15:06 2014,22-Aug-2014,131507,48 2.480900 N,062 21.855300 W,4.3,228.9,A,DoorSpread,DoorMaster,3.850000,D,S,35523.000000
Fri Aug 22 10:15:06 2014,22-Aug-2014,131508,48 2.479900 N,062 21.857000 W,4.5,228.6,A,DoorSpread,DoorMaster,3.850000,D,S,35523.000000
Fri Aug 22 10:15:09 2014,22-Aug-2014,131509,48 2.478700 N,062 21.858800 W,4.7,228.2,A,Primary,Headline,2.244898,D,S,54193.000000
Fri Aug 22 10:15:09 2014,22-Aug-2014,131510,48 2.477500 N,062 21.860600 W,4.9,227.7,A,Primary,Headline,2.244898,D,S,54193.000000
Fri Aug 22 10:15:09 2014,22-Aug-2014,131511,48 2.476400 N,062 21.862400 W,5.1,227.5,A,Primary,Headline,2.244898,D,S,54193.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131512,48 2.475300 N,062 21.864100 W,5.2,227.5,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131513,48 2.474200 N,062 21.865800 W,5.2,227.4,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131514,48 2.473200 N,062 21.867500 W,5.3,227.5,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131515,48 2.472100 N,062 21.869200 W,5.3,227.6,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131516,48 2.471000 N,062 21.871100 W,5.4,227.6,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131517,48 2.469800 N,062 21.872900 W,5.5,227.3,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131518,48 2.468600 N,062 21.874600 W,5.6,226.8,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:12 2014,22-Aug-2014,131519,48 2.467500 N,062 21.876300 W,5.6,226.3,A,DoorSpread,DoorMaster,9.625000,D,S,58313.000000
Fri Aug 22 10:15:20 2014,22-Aug-2014,131520,48 2.466400 N,062 21.878000 W,5.6,226.2,A,Depth,Depth,7.037037,D,S,35791.000000
Fri Aug 22 10:15:20 2014,22-Aug-2014,131521,48 2.465300 N,062 21.880000 W,5.6,226.2,A,Depth,Depth,7.037037,D,S,35791.000000
Fri Aug 22 10:15:20 2014,22-Aug-2014,131522,48 2.464200 N,062 21.881700 W,5.6,226.0,A,Depth,Depth,7.037037,D,S,35791.000000
Fri Aug 22 10:15:20 2014,22-Aug-2014,131523,48 2.463100 N,062 21.883400 W,5.6,225.6,A,Depth,Depth,7.037037,D,S,35791.000000
