Ship Number,Trip Number,Tow Number
JEAN MATHIEU,6,3
Comments
"ZONE 12 AU LARGE DE PORT HOOD"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Thu Sep 04 09:22:45 2014,04-Sep-2014,122245,46 4.083200 N,061 53.218100 W,2.8,43.7,A,Primary,Headline,5.979592,D,S,38505.000000
Thu Sep 04 09:22:47 2014,04-Sep-2014,122246,46 4.083900 N,061 53.217100 W,3.0,44.1,A,Depth,Depth,11.018519,D,S,54072.000000
Thu Sep 04 09:22:47 2014,04-Sep-2014,122247,46 4.084700 N,061 53.215900 W,3.1,44.5,A,Depth,Depth,11.018519,D,S,54072.000000
Thu Sep 04 09:22:47 2014,04-Sep-2014,122248,46 4.085500 N,061 53.214600 W,3.3,44.8,A,Depth,Depth,11.018519,D,S,54072.000000
Thu Sep 04 09:22:50 2014,04-Sep-2014,122249,46 4.086400 N,061 53.213400 W,3.5,45.0,A,Primary,Headline,2.591837,D,S,53014.000000
Thu Sep 04 09:22:50 2014,04-Sep-2014,122250,46 4.087300 N,061 53.212000 W,3.7,45.5,A,Primary,Headline,2.591837,D,S,53014.000000
Thu Sep 04 09:22:52 2014,04-Sep-2014,122251,46 4.088100 N,061 53.210500 W,3.9,46.2,A,DoorSpread,DoorMaster,4.535000,D,S,85824.000000
Thu Sep 04 09:22:52 2014,04-Sep-2014,122252,46 4.089000 N,061 53.209000 W,4.1,46.8,A,DoorSpread,DoorMaster,4.535000,D,S,85824.000000
Thu Sep 04 09:22:52 2014,04-Sep-2014,122253,46 4.089900 N,061 53.207500 W,4.2,47.2,A,DoorSpread,DoorMaster,4.535000,D,S,85824.000000
Thu Sep 04 09:22:55 2014,04-Sep-2014,122254,46 4.090800 N,061 53.205900 W,4.4,47.5,A,Primary,Headline,2.306122,D,S,49994.000000
Thu Sep 04 09:22:55 2014,04-Sep-2014,122255,46 4.091800 N,061 53.204200 W,4.6,48.0,A,Primary,Headline,2.306122,D,S,49994.000000
Thu Sep 04 09:22:57 2014,04-Sep-2014,122256,46 4.092800 N,061 53.202500 W,4.7,48.4,A,DoorSpread,DoorMaster,0.000000,E,S,77610.000000
Thu Sep 04 09:22:57 2014,04-Sep-2014,122257,46 4.093800 N,061 53.200800 W,4.8,48.4,A,DoorSpread,DoorMaster,0.000000,E,S,77610.000000
Thu Sep 04 09:22:57 2014,04-Sep-2014,122258,46 4.094900 N,061 53.199100 W,5.0,48.5,A,DoorSpread,DoorMaster,0.000000,E,S,77610.000000
Thu Sep 04 09:23:00 2014,04-Sep-2014,122259,46 4.095900 N,061 53.197200 W,5.1,48.6,A,Primary,Headline,2.163265,D,S,34393.000000
Thu Sep 04 09:23:00 2014,04-Sep-2014,122300,46 4.097000 N,061 53.195400 W,5.3,48.7,A,Primary,Headline,2.163265,D,S,34393.000000
Thu Sep 04 09:23:02 2014,04-Sep-2014,122301,46 4.098100 N,061 53.193600 W,5.4,48.7,A,DoorSpread,DoorMaster,0.000000,E,S,83823.000000
Thu Sep 04 09:23:02 2014,04-Sep-2014,122302,46 4.099200 N,061 53.191700 W,5.5,48.9,A,DoorSpread,DoorMaster,0.000000,E,S,83823.000000
Thu Sep 04 09:23:02 2014,04-Sep-2014,122303,46 4.100300 N,061 53.189800 W,5.6,48.9,A,DoorSpread,DoorMaster,0.000000,E,S,83823.000000
Thu Sep 04 09:23:05 2014,04-Sep-2014,122304,46 4.101400 N,061 53.187900 W,5.7,48.9,A,Primary,Headline,4.714286,D,S,22097.000000
Thu Sep 04 09:23:05 2014,04-Sep-2014,122305,46 4.102500 N,061 53.186000 W,5.8,48.8,A,Primary,Headline,4.714286,D,S,22097.000000
Thu Sep 04 09:23:07 2014,04-Sep-2014,122306,46 4.103700 N,061 53.184100 W,5.9,48.7,A,DoorSpread,DoorMaster,0.000000,E,S,81456.000000
Thu Sep 04 09:23:07 2014,04-Sep-2014,122307,46 4.104900 N,061 53.182200 W,5.9,48.6,A,DoorSpread,DoorMaster,0.000000,E,S,81456.000000
Thu Sep 04 09:23:08 2014,04-Sep-2014,122308,46 4.106000 N,061 53.180300 W,6.0,48.5,A,Depth,Depth,9.907407,D,S,55929.000000
Thu Sep 04 09:23:08 2014,04-Sep-2014,122309,46 4.107200 N,061 53.178400 W,6.1,48.4,A,Depth,Depth,9.907407,D,S,55929.000000
