Ship Number,Trip Number,Tow Number
JEANMATHIEU,8,6
Comments
"ZONE 12 SUD DES ILES FOND GORGES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,01-Oct-2014,153601,46 55.695500 N,061 46.641800 W,3.6,259.1,A,,,,,,
Wed Oct 01 12:36:03 2014,01-Oct-2014,153602,46 55.695300 N,061 46.643200 W,3.5,258.7,A,Primary,Headline,0.938776,D,S,42685.000000
Wed Oct 01 12:36:03 2014,01-Oct-2014,153603,46 55.695000 N,061 46.644500 W,3.5,258.3,A,Primary,Headline,0.938776,D,S,42685.000000
Wed Oct 01 12:36:03 2014,01-Oct-2014,153604,46 55.694700 N,061 46.645700 W,3.4,257.5,A,Primary,Headline,0.938776,D,S,42685.000000
Wed Oct 01 12:36:03 2014,01-Oct-2014,153605,46 55.694600 N,061 46.647000 W,3.4,256.3,A,Primary,Headline,0.938776,D,S,42685.000000
Wed Oct 01 12:36:03 2014,01-Oct-2014,153606,46 55.694300 N,061 46.648100 W,3.3,255.2,A,Primary,Headline,0.938776,D,S,42685.000000
Wed Oct 01 12:36:09 2014,01-Oct-2014,153607,46 55.694000 N,061 46.649400 W,3.3,254.1,A,DoorSpread,DoorMaster,0.000000,E,S,105430.000000
Wed Oct 01 12:36:09 2014,01-Oct-2014,153608,46 55.693500 N,061 46.650600 W,3.3,252.9,A,DoorSpread,DoorMaster,0.000000,E,S,105430.000000
Wed Oct 01 12:36:09 2014,01-Oct-2014,153609,46 55.693000 N,061 46.651800 W,3.3,251.4,A,DoorSpread,DoorMaster,0.000000,E,S,105430.000000
Wed Oct 01 12:36:09 2014,01-Oct-2014,153610,46 55.692600 N,061 46.652900 W,3.2,249.8,A,DoorSpread,DoorMaster,0.000000,E,S,105430.000000
Wed Oct 01 12:36:13 2014,01-Oct-2014,153611,46 55.692200 N,061 46.654000 W,3.2,248.4,A,Depth,Depth,1.018519,D,S,104465.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153612,46 55.691700 N,061 46.655100 W,3.2,246.9,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153613,46 55.691300 N,061 46.656200 W,3.2,245.5,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153614,46 55.690800 N,061 46.657300 W,3.1,244.4,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153615,46 55.690400 N,061 46.658300 W,3.1,243.5,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153616,46 55.689900 N,061 46.659400 W,3.1,242.3,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:14 2014,01-Oct-2014,153617,46 55.689400 N,061 46.660400 W,3.1,241.0,A,DoorSpread,DoorMaster,1.715000,D,S,144252.000000
Wed Oct 01 12:36:20 2014,01-Oct-2014,153618,46 55.688900 N,061 46.661400 W,3.1,240.1,A,Depth,Depth,1.851852,D,S,55916.000000
Wed Oct 01 12:36:20 2014,01-Oct-2014,153619,46 55.688400 N,061 46.662500 W,3.1,239.3,A,Depth,Depth,1.851852,D,S,55916.000000
Wed Oct 01 12:36:20 2014,01-Oct-2014,153620,46 55.687900 N,061 46.663500 W,3.1,238.6,A,Depth,Depth,1.851852,D,S,55916.000000
Wed Oct 01 12:36:20 2014,01-Oct-2014,153621,46 55.687400 N,061 46.664500 W,3.1,237.9,A,Depth,Depth,1.851852,D,S,55916.000000
Wed Oct 01 12:36:20 2014,01-Oct-2014,153622,46 55.687000 N,061 46.665400 W,3.0,237.3,A,Depth,Depth,1.851852,D,S,55916.000000
Wed Oct 01 12:36:25 2014,01-Oct-2014,153623,46 55.686400 N,061 46.666400 W,3.0,236.8,A,DoorSpread,DoorMaster,2.845000,D,S,108389.000000
Wed Oct 01 12:36:25 2014,01-Oct-2014,153624,46 55.686000 N,061 46.667400 W,3.0,236.8,A,DoorSpread,DoorMaster,2.845000,D,S,108389.000000
Wed Oct 01 12:36:27 2014,01-Oct-2014,153625,46 55.685500 N,061 46.668400 W,3.0,236.9,A,Depth,Depth,0.000000,D,S,63537.000000
