Ship Number,Trip Number,Tow Number
JEANMATHIEU,8,8
Comments
"ZONE 12 SUD DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Oct 01 14:57:45 2014,01-Oct-2014,175743,46 52.789000 N,061 42.788400 W,3.4,216.0,A,DoorSpread,DoorMaster,1.900000,D,S,157165.000000
Wed Oct 01 14:57:45 2014,01-Oct-2014,175744,46 52.788200 N,061 42.789200 W,3.4,215.9,A,DoorSpread,DoorMaster,1.900000,D,S,157165.000000
Wed Oct 01 14:57:45 2014,01-Oct-2014,175745,46 52.787500 N,061 42.789900 W,3.4,215.8,A,DoorSpread,DoorMaster,1.900000,D,S,157165.000000
Wed Oct 01 14:57:45 2014,01-Oct-2014,175746,46 52.786800 N,061 42.790600 W,3.3,215.5,A,DoorSpread,DoorMaster,1.900000,D,S,157165.000000
Wed Oct 01 14:57:50 2014,01-Oct-2014,175747,46 52.786100 N,061 42.791300 W,3.3,215.4,A,DoorSpread,DoorMaster,2.255000,D,S,101592.000000
Wed Oct 01 14:57:50 2014,01-Oct-2014,175748,46 52.785400 N,061 42.792000 W,3.3,215.4,A,DoorSpread,DoorMaster,2.255000,D,S,101592.000000
Wed Oct 01 14:57:50 2014,01-Oct-2014,175749,46 52.784700 N,061 42.792700 W,3.3,215.2,A,DoorSpread,DoorMaster,2.255000,D,S,101592.000000
Wed Oct 01 14:57:50 2014,01-Oct-2014,175750,46 52.784100 N,061 42.793200 W,3.2,214.6,A,DoorSpread,DoorMaster,2.255000,D,S,101592.000000
Wed Oct 01 14:57:50 2014,01-Oct-2014,175751,46 52.783400 N,061 42.793800 W,3.1,214.2,A,DoorSpread,DoorMaster,2.255000,D,S,101592.000000
Wed Oct 01 14:57:55 2014,01-Oct-2014,175752,46 52.782800 N,061 42.794300 W,3.1,214.2,A,DoorSpread,DoorMaster,1.065000,D,S,95448.000000
Wed Oct 01 14:57:56 2014,01-Oct-2014,175753,46 52.782200 N,061 42.794900 W,3.0,214.6,A,Depth,Depth,5.092593,D,S,51273.000000
Wed Oct 01 14:57:56 2014,01-Oct-2014,175754,46 52.781600 N,061 42.795500 W,3.0,214.3,A,Depth,Depth,5.092593,D,S,51273.000000
Wed Oct 01 14:57:56 2014,01-Oct-2014,175755,46 52.781000 N,061 42.796000 W,2.9,213.9,A,Depth,Depth,5.092593,D,S,51273.000000
Wed Oct 01 14:57:56 2014,01-Oct-2014,175756,46 52.780300 N,061 42.796600 W,2.9,213.8,A,Depth,Depth,5.092593,D,S,51273.000000
Wed Oct 01 14:57:59 2014,01-Oct-2014,175757,46 52.779800 N,061 42.797200 W,2.8,213.8,A,Primary,Headline,1.693878,D,S,41946.000000
Wed Oct 01 14:58:00 2014,01-Oct-2014,175758,46 52.779200 N,061 42.797700 W,2.7,213.7,A,DoorSpread,DoorMaster,2.065000,D,S,54765.000000
Wed Oct 01 14:58:00 2014,01-Oct-2014,175759,46 52.778700 N,061 42.798200 W,2.6,213.6,A,DoorSpread,DoorMaster,2.065000,D,S,54765.000000
Wed Oct 01 14:58:03 2014,01-Oct-2014,175800,46 52.778200 N,061 42.798700 W,2.6,213.5,A,Depth,Depth,5.092593,D,S,37040.000000
Wed Oct 01 14:58:03 2014,01-Oct-2014,175801,46 52.777700 N,061 42.799200 W,2.5,213.4,A,Depth,Depth,5.092593,D,S,37040.000000
Wed Oct 01 14:58:04 2014,01-Oct-2014,175802,46 52.777200 N,061 42.799600 W,2.5,213.2,A,Primary,Headline,1.591837,D,S,25132.000000
Wed Oct 01 14:58:06 2014,01-Oct-2014,175803,46 52.776700 N,061 42.800100 W,2.4,213.3,A,DoorSpread,DoorMaster,2.275000,D,S,73768.000000
Wed Oct 01 14:58:06 2014,01-Oct-2014,175804,46 52.776200 N,061 42.800600 W,2.4,213.4,A,DoorSpread,DoorMaster,2.275000,D,S,73768.000000
Wed Oct 01 14:58:06 2014,01-Oct-2014,175805,46 52.775600 N,061 42.801100 W,2.3,213.1,A,DoorSpread,DoorMaster,2.275000,D,S,73768.000000
Wed Oct 01 14:58:06 2014,01-Oct-2014,175806,46 52.775200 N,061 42.801400 W,2.3,212.8,A,DoorSpread,DoorMaster,2.275000,D,S,73768.000000
Wed Oct 01 14:58:10 2014,01-Oct-2014,175807,46 52.774700 N,061 42.801900 W,2.2,212.7,A,Depth,Depth,6.388889,D,S,65152.000000
Wed Oct 01 14:58:11 2014,01-Oct-2014,175808,46 52.774200 N,061 42.802300 W,2.2,212.8,A,DoorSpread,DoorMaster,2.635000,D,S,180288.000000
Wed Oct 01 14:58:11 2014,01-Oct-2014,175809,46 52.773700 N,061 42.802800 W,2.2,212.8,A,DoorSpread,DoorMaster,2.635000,D,S,180288.000000
Wed Oct 01 14:58:11 2014,01-Oct-2014,175810,46 52.773300 N,061 42.803100 W,2.1,212.4,A,DoorSpread,DoorMaster,2.635000,D,S,180288.000000
