Ship Number,Trip Number,Tow Number
JEANMATHIEU,9,3
Comments
"ZONE 19 AU LARGE DE WHITE CAPES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Oct 12 09:50:35 2014,12-Oct-2014,125034,47 6.896400 N,061 3.606600 W,3.6,145.6,A,DoorSpread,DoorMaster,2.950000,D,S,54858.000000
Sun Oct 12 09:50:35 2014,12-Oct-2014,125035,47 6.895600 N,061 3.605700 W,3.6,145.3,A,DoorSpread,DoorMaster,2.950000,D,S,54858.000000
Sun Oct 12 09:50:35 2014,12-Oct-2014,125036,47 6.894800 N,061 3.604900 W,3.6,145.3,A,DoorSpread,DoorMaster,2.950000,D,S,54858.000000
Sun Oct 12 09:50:35 2014,12-Oct-2014,125037,47 6.894000 N,061 3.604100 W,3.5,145.2,A,DoorSpread,DoorMaster,2.950000,D,S,54858.000000
Sun Oct 12 09:50:39 2014,12-Oct-2014,125038,47 6.893200 N,061 3.603200 W,3.5,144.9,A,DoorSpread,DoorMaster,2.770000,D,S,117616.000000
Sun Oct 12 09:50:39 2014,12-Oct-2014,125039,47 6.892500 N,061 3.602400 W,3.5,144.8,A,DoorSpread,DoorMaster,2.770000,D,S,117616.000000
Sun Oct 12 09:50:39 2014,12-Oct-2014,125040,47 6.891700 N,061 3.601600 W,3.5,144.7,A,DoorSpread,DoorMaster,2.770000,D,S,117616.000000
Sun Oct 12 09:50:39 2014,12-Oct-2014,125041,47 6.890900 N,061 3.600800 W,3.5,144.7,A,DoorSpread,DoorMaster,2.770000,D,S,117616.000000
Sun Oct 12 09:50:39 2014,12-Oct-2014,125042,47 6.890100 N,061 3.600000 W,3.5,144.8,A,DoorSpread,DoorMaster,2.770000,D,S,117616.000000
Sun Oct 12 09:50:44 2014,12-Oct-2014,125043,47 6.889400 N,061 3.599100 W,3.5,144.5,A,DoorSpread,DoorMaster,2.930000,D,S,81281.000000
Sun Oct 12 09:50:44 2014,12-Oct-2014,125044,47 6.888600 N,061 3.598300 W,3.5,144.0,A,DoorSpread,DoorMaster,2.930000,D,S,81281.000000
Sun Oct 12 09:50:44 2014,12-Oct-2014,125045,47 6.887900 N,061 3.597500 W,3.5,143.9,A,DoorSpread,DoorMaster,2.930000,D,S,81281.000000
