Ship Number,Trip Number,Tow Number
JEANMATHIEU,8,1
Comments
"ZONE 19 AU LARGE DE WHITE CAPE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Oct 03 11:40:15 2014,03-Oct-2014,144016,46 49.334600 N,060 54.488200 W,3.8,27.2,A,DoorSpread,DoorMaster,0.910000,D,S,45677.000000
Fri Oct 03 11:40:15 2014,03-Oct-2014,144017,46 49.335500 N,060 54.487500 W,3.8,27.1,A,DoorSpread,DoorMaster,0.910000,D,S,45677.000000
Fri Oct 03 11:40:15 2014,03-Oct-2014,144018,46 49.336400 N,060 54.486800 W,3.8,27.0,A,DoorSpread,DoorMaster,0.910000,D,S,45677.000000
Fri Oct 03 11:40:15 2014,03-Oct-2014,144019,46 49.337300 N,060 54.486100 W,3.8,27.0,A,DoorSpread,DoorMaster,0.910000,D,S,45677.000000
Fri Oct 03 11:40:20 2014,03-Oct-2014,144020,46 49.338300 N,060 54.485400 W,3.8,27.1,A,DoorSpread,DoorMaster,3.835000,D,S,50537.000000
Fri Oct 03 11:40:20 2014,03-Oct-2014,144021,46 49.339200 N,060 54.484600 W,3.7,27.4,A,DoorSpread,DoorMaster,3.835000,D,S,50537.000000
Fri Oct 03 11:40:20 2014,03-Oct-2014,144022,46 49.340100 N,060 54.484000 W,3.7,27.7,A,DoorSpread,DoorMaster,3.835000,D,S,50537.000000
Fri Oct 03 11:40:20 2014,03-Oct-2014,144023,46 49.341100 N,060 54.483300 W,3.7,27.5,A,DoorSpread,DoorMaster,3.835000,D,S,50537.000000
Fri Oct 03 11:40:20 2014,03-Oct-2014,144024,46 49.342100 N,060 54.482700 W,3.7,27.5,A,DoorSpread,DoorMaster,3.835000,D,S,50537.000000
Fri Oct 03 11:40:25 2014,03-Oct-2014,144025,46 49.342900 N,060 54.481900 W,3.7,27.9,A,DoorSpread,DoorMaster,1.265000,D,S,51588.000000
Fri Oct 03 11:40:25 2014,03-Oct-2014,144026,46 49.343900 N,060 54.481200 W,3.7,28.1,A,DoorSpread,DoorMaster,1.265000,D,S,51588.000000
