Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,6
Comments
"ZONE 12 SHEDIAC VALLEY"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Thu Aug 06 11:28:10 2015,06-Aug-2015,142811,47 26.205000 N,063 59.702600 W,4.3,101.8,A,DoorSpread,DoorMaster,2.305000,D,S,164233.000000
Thu Aug 06 11:28:12 2015,06-Aug-2015,142812,47 26.204800 N,063 59.700900 W,4.3,101.8,A,Depth,Depth,1.296296,D,S,68028.000000
Thu Aug 06 11:28:12 2015,06-Aug-2015,142813,47 26.204600 N,063 59.699300 W,4.2,101.7,A,Depth,Depth,1.296296,D,S,68028.000000
Thu Aug 06 11:28:13 2015,06-Aug-2015,142814,47 26.204400 N,063 59.697700 W,4.2,101.6,A,DoorSpread,DoorMaster,2.770000,D,S,129480.000000
Thu Aug 06 11:28:13 2015,06-Aug-2015,142815,47 26.204200 N,063 59.696000 W,4.2,101.5,A,DoorSpread,DoorMaster,2.770000,D,S,129480.000000
Thu Aug 06 11:28:13 2015,06-Aug-2015,142816,47 26.204000 N,063 59.694400 W,4.2,101.4,A,DoorSpread,DoorMaster,2.770000,D,S,129480.000000
Thu Aug 06 11:28:13 2015,06-Aug-2015,142817,47 26.203800 N,063 59.692700 W,4.1,101.2,A,DoorSpread,DoorMaster,2.770000,D,S,129480.000000
Thu Aug 06 11:28:13 2015,06-Aug-2015,142818,47 26.203700 N,063 59.691100 W,4.1,101.3,A,DoorSpread,DoorMaster,2.770000,D,S,129480.000000
Thu Aug 06 11:28:18 2015,06-Aug-2015,142819,47 26.203400 N,063 59.689500 W,4.1,101.5,A,DoorSpread,DoorMaster,3.475000,D,S,161116.000000
Thu Aug 06 11:28:18 2015,06-Aug-2015,142820,47 26.203200 N,063 59.687900 W,4.1,101.6,A,DoorSpread,DoorMaster,3.475000,D,S,161116.000000
Thu Aug 06 11:28:18 2015,06-Aug-2015,142821,47 26.203000 N,063 59.686300 W,4.0,101.2,A,DoorSpread,DoorMaster,3.475000,D,S,161116.000000
Thu Aug 06 11:28:18 2015,06-Aug-2015,142822,47 26.202800 N,063 59.684700 W,4.0,101.2,A,DoorSpread,DoorMaster,3.475000,D,S,161116.000000
