Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,4
Comments
"ZONE 12 SHEDIAC VALLEY"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,06-Aug-2015,124059,47 21.024200 N,063 56.465800 W,4.1,112.4,A,,,,,,
,06-Aug-2015,124100,47 21.023800 N,063 56.463900 W,4.2,112.1,A,,,,,,
,06-Aug-2015,124101,47 21.023300 N,063 56.462000 W,4.3,112.1,A,,,,,,
,06-Aug-2015,124102,47 21.022700 N,063 56.460000 W,4.5,113.0,A,,,,,,
,06-Aug-2015,124103,47 21.021900 N,063 56.458000 W,4.6,115.0,A,,,,,,
,06-Aug-2015,124104,47 21.021000 N,063 56.456100 W,4.8,116.5,A,,,,,,
,06-Aug-2015,124105,47 21.020300 N,063 56.454100 W,4.9,116.9,A,,,,,,
,06-Aug-2015,124106,47 21.019600 N,063 56.451900 W,5.1,116.6,A,,,,,,
,06-Aug-2015,124107,47 21.019000 N,063 56.449700 W,5.2,116.4,A,,,,,,
,06-Aug-2015,124108,47 21.018000 N,063 56.447700 W,5.4,117.5,A,,,,,,
,06-Aug-2015,124109,47 21.016900 N,063 56.445600 W,5.5,119.6,A,,,,,,
,06-Aug-2015,124110,47 21.015800 N,063 56.443600 W,5.7,121.7,A,,,,,,
,06-Aug-2015,124111,47 21.014800 N,063 56.441500 W,5.8,122.7,A,,,,,,
,06-Aug-2015,124112,47 21.013700 N,063 56.439400 W,5.9,123.0,A,,,,,,
,06-Aug-2015,124113,47 21.012800 N,063 56.437100 W,6.0,122.8,A,,,,,,
,06-Aug-2015,124114,47 21.011900 N,063 56.434800 W,6.1,122.3,A,,,,,,
,06-Aug-2015,124115,47 21.011000 N,063 56.432400 W,6.2,121.8,A,,,,,,
,06-Aug-2015,124116,47 21.010000 N,063 56.430100 W,6.3,121.7,A,,,,,,
,06-Aug-2015,124117,47 21.009000 N,063 56.427800 W,6.4,122.1,A,,,,,,
,06-Aug-2015,124118,47 21.007900 N,063 56.425600 W,6.4,122.8,A,,,,,,
,06-Aug-2015,124119,47 21.006700 N,063 56.423500 W,6.5,123.7,A,,,,,,
,06-Aug-2015,124120,47 21.005600 N,063 56.421300 W,6.5,124.5,A,,,,,,
,06-Aug-2015,124121,47 21.004400 N,063 56.419100 W,6.6,124.9,A,,,,,,
,06-Aug-2015,124122,47 21.003300 N,063 56.416900 W,6.6,125.3,A,,,,,,
,06-Aug-2015,124123,47 21.002100 N,063 56.414800 W,6.6,125.8,A,,,,,,
,06-Aug-2015,124124,47 21.001000 N,063 56.412500 W,6.7,126.2,A,,,,,,
,06-Aug-2015,124125,47 20.999800 N,063 56.410300 W,6.7,126.4,A,,,,,,
