Ship Number,Trip Number,Tow Number
JEAN MATHIEU,7,5
Comments
"ZONE 12 NORD EST DE NORTH CAPE PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Thu Sep 17 11:48:42 2015,17-Sep-2015,144842,47 21.757300 N,063 29.709500 W,3.8,50.1,A,DoorSpread,DoorMaster,1.240000,D,S,50488.000000
Thu Sep 17 11:48:42 2015,17-Sep-2015,144843,47 21.758000 N,063 29.708400 W,3.8,49.5,A,DoorSpread,DoorMaster,1.240000,D,S,50488.000000
Thu Sep 17 11:48:45 2015,17-Sep-2015,144844,47 21.758700 N,063 29.707300 W,3.7,49.7,A,DoorSpread,DoorMaster,1.980000,D,S,65227.000000
Thu Sep 17 11:48:45 2015,17-Sep-2015,144845,47 21.759400 N,063 29.706000 W,3.7,50.5,A,DoorSpread,DoorMaster,1.980000,D,S,65227.000000
Thu Sep 17 11:48:45 2015,17-Sep-2015,144846,47 21.760000 N,063 29.704900 W,3.7,51.0,A,DoorSpread,DoorMaster,1.980000,D,S,65227.000000
Thu Sep 17 11:48:45 2015,17-Sep-2015,144847,47 21.760600 N,063 29.703900 W,3.6,50.7,A,DoorSpread,DoorMaster,1.980000,D,S,65227.000000
Thu Sep 17 11:48:45 2015,17-Sep-2015,144848,47 21.761200 N,063 29.702900 W,3.5,50.3,A,DoorSpread,DoorMaster,1.980000,D,S,65227.000000
Thu Sep 17 11:48:50 2015,17-Sep-2015,144849,47 21.761700 N,063 29.701800 W,3.5,50.6,A,DoorSpread,DoorMaster,0.000000,E,S,58711.000000
Thu Sep 17 11:48:50 2015,17-Sep-2015,144850,47 21.762200 N,063 29.700600 W,3.5,51.4,A,DoorSpread,DoorMaster,0.000000,E,S,58711.000000
Thu Sep 17 11:48:50 2015,17-Sep-2015,144851,47 21.762700 N,063 29.699600 W,3.5,52.1,A,DoorSpread,DoorMaster,0.000000,E,S,58711.000000
Thu Sep 17 11:48:50 2015,17-Sep-2015,144852,47 21.763300 N,063 29.698600 W,3.4,51.8,A,DoorSpread,DoorMaster,0.000000,E,S,58711.000000
Thu Sep 17 11:48:50 2015,17-Sep-2015,144853,47 21.763900 N,063 29.697700 W,3.4,50.6,A,DoorSpread,DoorMaster,0.000000,E,S,58711.000000
Thu Sep 17 11:48:55 2015,17-Sep-2015,144854,47 21.764600 N,063 29.696700 W,3.3,50.3,A,DoorSpread,DoorMaster,2.420000,D,S,9985.000000
Thu Sep 17 11:48:55 2015,17-Sep-2015,144855,47 21.765100 N,063 29.695600 W,3.3,51.2,A,DoorSpread,DoorMaster,2.420000,D,S,9985.000000
Thu Sep 17 11:48:55 2015,17-Sep-2015,144856,47 21.765800 N,063 29.694500 W,3.3,51.6,A,DoorSpread,DoorMaster,2.420000,D,S,9985.000000
