Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,6
Comments
"ZONE 12 EST DE NORTH CAPE PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,05-Aug-2015,151126,47 12.949200 N,063 36.709100 W,3.2,73.4,A,,,,,,
,05-Aug-2015,151127,47 12.949400 N,063 36.708000 W,3.1,73.6,A,,,,,,
,05-Aug-2015,151128,47 12.949700 N,063 36.707000 W,3.1,73.5,A,,,,,,
,05-Aug-2015,151129,47 12.949800 N,063 36.705900 W,3.0,73.8,A,,,,,,
,05-Aug-2015,151130,47 12.950000 N,063 36.704800 W,3.0,74.5,A,,,,,,
,05-Aug-2015,151131,47 12.950200 N,063 36.703800 W,2.9,74.7,A,,,,,,
,05-Aug-2015,151132,47 12.950400 N,063 36.702800 W,2.9,74.3,A,,,,,,
,05-Aug-2015,151133,47 12.950600 N,063 36.701800 W,2.8,74.0,A,,,,,,
,05-Aug-2015,151134,47 12.950700 N,063 36.700700 W,2.7,74.6,A,,,,,,
,05-Aug-2015,151135,47 12.950800 N,063 36.699700 W,2.7,75.4,A,,,,,,
,05-Aug-2015,151136,47 12.950900 N,063 36.698700 W,2.7,75.3,A,,,,,,
,05-Aug-2015,151137,47 12.951200 N,063 36.697700 W,2.6,74.6,A,,,,,,
,05-Aug-2015,151138,47 12.951400 N,063 36.696800 W,2.6,74.8,A,,,,,,
,05-Aug-2015,151139,47 12.951600 N,063 36.695800 W,2.5,75.1,A,,,,,,
,05-Aug-2015,151140,47 12.951900 N,063 36.694800 W,2.5,74.9,A,,,,,,
Wed Aug 05 12:11:40 2015,05-Aug-2015,151141,47 12.952200 N,063 36.693900 W,2.5,74.6,A,DoorSpread,DoorMaster,0.000000,E,S,87351.000000
Wed Aug 05 12:11:40 2015,05-Aug-2015,151142,47 12.952300 N,063 36.693100 W,2.4,74.9,A,DoorSpread,DoorMaster,0.000000,E,S,87351.000000
Wed Aug 05 12:11:40 2015,05-Aug-2015,151143,47 12.952500 N,063 36.692200 W,2.4,75.4,A,DoorSpread,DoorMaster,0.000000,E,S,87351.000000
Wed Aug 05 12:11:40 2015,05-Aug-2015,151144,47 12.952700 N,063 36.691300 W,2.4,75.3,A,DoorSpread,DoorMaster,0.000000,E,S,87351.000000
Wed Aug 05 12:11:44 2015,05-Aug-2015,151145,47 12.953000 N,063 36.690500 W,2.3,74.6,A,Primary,Headline,1.224490,D,S,58858.000000
Wed Aug 05 12:11:45 2015,05-Aug-2015,151146,47 12.953200 N,063 36.689700 W,2.3,74.2,A,DoorSpread,DoorMaster,0.000000,E,S,150905.000000
Wed Aug 05 12:11:45 2015,05-Aug-2015,151147,47 12.953300 N,063 36.688900 W,2.3,74.4,A,DoorSpread,DoorMaster,0.000000,E,S,150905.000000
Wed Aug 05 12:11:45 2015,05-Aug-2015,151148,47 12.953500 N,063 36.688000 W,2.3,74.5,A,DoorSpread,DoorMaster,0.000000,E,S,150905.000000
Wed Aug 05 12:11:48 2015,05-Aug-2015,151149,47 12.953700 N,063 36.687200 W,2.2,74.4,A,Depth,Depth,41.574074,D,S,8276.000000
Wed Aug 05 12:11:48 2015,05-Aug-2015,151150,47 12.953800 N,063 36.686500 W,2.2,73.7,A,Depth,Depth,41.574074,D,S,8276.000000
Wed Aug 05 12:11:50 2015,05-Aug-2015,151151,47 12.954000 N,063 36.685700 W,2.2,73.2,A,DoorSpread,DoorMaster,0.000000,E,S,178500.000000
Wed Aug 05 12:11:50 2015,05-Aug-2015,151152,47 12.954100 N,063 36.685000 W,2.2,73.4,A,DoorSpread,DoorMaster,0.000000,E,S,178500.000000
Wed Aug 05 12:11:50 2015,05-Aug-2015,151153,47 12.954200 N,063 36.684200 W,2.1,74.1,A,DoorSpread,DoorMaster,0.000000,E,S,178500.000000
Wed Aug 05 12:11:50 2015,05-Aug-2015,151154,47 12.954400 N,063 36.683400 W,2.1,74.0,A,DoorSpread,DoorMaster,0.000000,E,S,178500.000000
Wed Aug 05 12:11:54 2015,05-Aug-2015,151155,47 12.954600 N,063 36.682700 W,2.1,73.0,A,Primary,Headline,1.816327,D,S,32767.000000
Wed Aug 05 12:11:55 2015,05-Aug-2015,151156,47 12.954800 N,063 36.682000 W,2.1,72.5,A,DoorSpread,DoorMaster,0.000000,E,S,200493.000000
Wed Aug 05 12:11:55 2015,05-Aug-2015,151157,47 12.954800 N,063 36.681200 W,2.0,73.5,A,DoorSpread,DoorMaster,0.000000,E,S,200493.000000
Wed Aug 05 12:11:55 2015,05-Aug-2015,151158,47 12.955000 N,063 36.680400 W,2.1,74.2,A,DoorSpread,DoorMaster,0.000000,E,S,200493.000000
Wed Aug 05 12:11:55 2015,05-Aug-2015,151159,47 12.955200 N,063 36.679600 W,2.1,73.6,A,DoorSpread,DoorMaster,0.000000,E,S,200493.000000
Wed Aug 05 12:11:59 2015,05-Aug-2015,151200,47 12.955300 N,063 36.678900 W,2.0,72.4,A,Primary,Headline,3.102041,D,S,75846.000000
Wed Aug 05 12:11:59 2015,05-Aug-2015,151201,47 12.955500 N,063 36.678200 W,2.0,72.2,A,Primary,Headline,3.102041,D,S,75846.000000
Wed Aug 05 12:12:00 2015,05-Aug-2015,151202,47 12.955700 N,063 36.677400 W,2.0,72.1,A,DoorSpread,DoorMaster,4.045000,D,S,164441.000000
Wed Aug 05 12:12:00 2015,05-Aug-2015,151203,47 12.955900 N,063 36.676600 W,2.0,72.0,A,DoorSpread,DoorMaster,4.045000,D,S,164441.000000
Wed Aug 05 12:12:00 2015,05-Aug-2015,151204,47 12.956000 N,063 36.675900 W,2.0,72.3,A,DoorSpread,DoorMaster,4.045000,D,S,164441.000000
Wed Aug 05 12:12:04 2015,05-Aug-2015,151205,47 12.956200 N,063 36.675300 W,1.9,71.9,A,Primary,Headline,4.244898,D,S,54952.000000
Wed Aug 05 12:12:04 2015,05-Aug-2015,151206,47 12.956400 N,063 36.674700 W,1.9,71.6,A,Primary,Headline,4.244898,D,S,54952.000000
Wed Aug 05 12:12:05 2015,05-Aug-2015,151207,47 12.956700 N,063 36.674000 W,1.9,70.9,A,DoorSpread,DoorMaster,0.000000,E,S,56917.000000
