Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,4
Comments
"ZONE 12 HOG ISLAND PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Tue Aug 04 09:24:32 2015,04-Aug-2015,122433,46 57.213500 N,063 11.890100 W,2.1,2.0,A,Primary,Headline,2.714286,D,S,53000.000000
Tue Aug 04 09:24:32 2015,04-Aug-2015,122434,46 57.214000 N,063 11.890100 W,2.1,2.0,A,Primary,Headline,2.714286,D,S,53000.000000
Tue Aug 04 09:24:32 2015,04-Aug-2015,122435,46 57.214600 N,063 11.890100 W,2.1,2.0,A,Primary,Headline,2.714286,D,S,53000.000000
Tue Aug 04 09:24:32 2015,04-Aug-2015,122436,46 57.215200 N,063 11.890100 W,2.1,1.9,A,Primary,Headline,2.714286,D,S,53000.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122437,46 57.215800 N,063 11.890100 W,2.1,2.0,A,DoorSpread,DoorMaster,2.250000,D,S,106874.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122438,46 57.216300 N,063 11.890100 W,2.0,2.0,A,Secondary,Headline,0.000000,E,S,115304.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122439,46 57.216800 N,063 11.890100 W,2.0,1.9,A,Secondary,Headline,0.000000,E,S,115304.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122440,46 57.217400 N,063 11.890100 W,2.0,2.3,A,Secondary,Headline,0.000000,E,S,115304.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122441,46 57.218000 N,063 11.890000 W,2.0,2.5,A,Secondary,Headline,0.000000,E,S,115304.000000
Tue Aug 04 09:24:37 2015,04-Aug-2015,122442,46 57.218500 N,063 11.890000 W,2.0,2.1,A,Secondary,Headline,0.000000,E,S,115304.000000
Tue Aug 04 09:24:42 2015,04-Aug-2015,122443,46 57.219000 N,063 11.890000 W,2.0,1.6,A,Primary,Headline,0.061224,D,S,61538.000000
Tue Aug 04 09:24:42 2015,04-Aug-2015,122444,46 57.219600 N,063 11.890000 W,2.0,2.3,A,Primary,Headline,0.061224,D,S,61538.000000
Tue Aug 04 09:24:42 2015,04-Aug-2015,122445,46 57.220100 N,063 11.889900 W,2.0,2.7,A,Primary,Headline,0.061224,D,S,61538.000000
Tue Aug 04 09:24:42 2015,04-Aug-2015,122446,46 57.220700 N,063 11.890100 W,2.0,0.8,A,Primary,Headline,0.061224,D,S,61538.000000
Tue Aug 04 09:24:42 2015,04-Aug-2015,122447,46 57.221300 N,063 11.890200 W,2.0,359.8,A,Primary,Headline,0.061224,D,S,61538.000000
Tue Aug 04 09:24:47 2015,04-Aug-2015,122448,46 57.221700 N,063 11.890100 W,1.9,0.9,A,Primary,Headline,0.938776,D,S,90772.000000
Tue Aug 04 09:24:47 2015,04-Aug-2015,122449,46 57.222200 N,063 11.890000 W,2.0,2.1,A,Primary,Headline,0.938776,D,S,90772.000000
Tue Aug 04 09:24:49 2015,04-Aug-2015,122450,46 57.222800 N,063 11.889900 W,1.9,1.9,A,Depth,Depth,8.240741,D,S,221805.000000
Tue Aug 04 09:24:49 2015,04-Aug-2015,122451,46 57.223200 N,063 11.889900 W,1.9,1.1,A,Depth,Depth,8.240741,D,S,221805.000000
Tue Aug 04 09:24:49 2015,04-Aug-2015,122452,46 57.223700 N,063 11.889800 W,1.9,1.5,A,Depth,Depth,8.240741,D,S,221805.000000
Tue Aug 04 09:24:52 2015,04-Aug-2015,122453,46 57.224200 N,063 11.889600 W,1.9,3.0,A,DoorSpread,DoorMaster,5.190000,D,S,187352.000000
Tue Aug 04 09:24:52 2015,04-Aug-2015,122454,46 57.224800 N,063 11.889400 W,1.9,4.1,A,DoorSpread,DoorMaster,5.190000,D,S,187352.000000
Tue Aug 04 09:24:52 2015,04-Aug-2015,122455,46 57.225300 N,063 11.889400 W,1.9,3.7,A,DoorSpread,DoorMaster,5.190000,D,S,187352.000000
Tue Aug 04 09:24:52 2015,04-Aug-2015,122456,46 57.225700 N,063 11.889300 W,1.9,3.1,A,DoorSpread,DoorMaster,5.190000,D,S,187352.000000
Tue Aug 04 09:24:56 2015,04-Aug-2015,122457,46 57.226000 N,063 11.889200 W,1.9,3.0,A,Depth,Depth,10.740741,D,S,307080.000000
Tue Aug 04 09:24:57 2015,04-Aug-2015,122458,46 57.226400 N,063 11.889200 W,1.9,3.6,A,Primary,Headline,1.530612,D,S,124521.000000
Tue Aug 04 09:24:58 2015,04-Aug-2015,122459,46 57.227000 N,063 11.889100 W,1.9,3.8,A,DoorSpread,DoorMaster,1.515000,D,S,221083.000000
Tue Aug 04 09:24:58 2015,04-Aug-2015,122500,46 57.227500 N,063 11.889000 W,1.9,3.4,A,DoorSpread,DoorMaster,1.515000,D,S,221083.000000
Tue Aug 04 09:24:58 2015,04-Aug-2015,122501,46 57.227900 N,063 11.889100 W,1.8,3.2,A,DoorSpread,DoorMaster,1.515000,D,S,221083.000000
Tue Aug 04 09:24:58 2015,04-Aug-2015,122502,46 57.228300 N,063 11.889000 W,1.8,3.6,A,DoorSpread,DoorMaster,1.515000,D,S,221083.000000
Tue Aug 04 09:25:02 2015,04-Aug-2015,122503,46 57.228800 N,063 11.889000 W,1.9,4.1,A,Primary,Headline,0.959184,D,S,91832.000000
Tue Aug 04 09:25:03 2015,04-Aug-2015,122504,46 57.229300 N,063 11.888900 W,1.9,3.9,A,DoorSpread,DoorMaster,1.975000,D,S,68052.000000
Tue Aug 04 09:25:04 2015,04-Aug-2015,122505,46 57.229700 N,063 11.888900 W,1.8,3.7,A,Depth,Depth,11.481481,D,S,480791.000000
Tue Aug 04 09:25:04 2015,04-Aug-2015,122506,46 57.230100 N,063 11.888800 W,1.8,3.4,A,Depth,Depth,11.481481,D,S,480791.000000
Tue Aug 04 09:25:04 2015,04-Aug-2015,122507,46 57.230600 N,063 11.888800 W,1.8,3.2,A,Depth,Depth,11.481481,D,S,480791.000000
Tue Aug 04 09:25:07 2015,04-Aug-2015,122508,46 57.231200 N,063 11.888700 W,1.8,3.6,A,Primary,Headline,1.551020,D,S,54046.000000
Tue Aug 04 09:25:08 2015,04-Aug-2015,122509,46 57.231500 N,063 11.888500 W,1.8,4.3,A,DoorSpread,DoorMaster,0.000000,E,S,152296.000000
Tue Aug 04 09:25:08 2015,04-Aug-2015,122510,46 57.231800 N,063 11.888300 W,1.8,4.5,A,DoorSpread,DoorMaster,0.000000,E,S,152296.000000
Tue Aug 04 09:25:11 2015,04-Aug-2015,122511,46 57.232200 N,063 11.888500 W,1.8,4.5,A,Depth,Depth,14.722222,D,S,138059.000000
Tue Aug 04 09:25:11 2015,04-Aug-2015,122512,46 57.232600 N,063 11.888600 W,1.8,4.3,A,Depth,Depth,14.722222,D,S,138059.000000
Tue Aug 04 09:25:12 2015,04-Aug-2015,122513,46 57.233000 N,063 11.888300 W,1.7,4.6,A,Primary,Headline,2.367347,D,S,79005.000000
