Ship Number,Trip Number,Tow Number
JEAN MATHIEU,7,2
Comments
""
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Sep 23 08:36:20 2015,23-Sep-2015,113620,47 55.269300 N,063 11.650300 W,3.2,37.0,A,Depth,Depth,1.203704,D,S,45394.000000
Wed Sep 23 08:36:22 2015,23-Sep-2015,113621,47 55.270000 N,063 11.649500 W,3.1,37.0,A,DoorSpread,DoorMaster,3.005000,D,S,102616.000000
Wed Sep 23 08:36:22 2015,23-Sep-2015,113622,47 55.270700 N,063 11.648800 W,3.1,36.7,A,DoorSpread,DoorMaster,3.005000,D,S,102616.000000
Wed Sep 23 08:36:22 2015,23-Sep-2015,113623,47 55.271400 N,063 11.648000 W,3.1,36.7,A,DoorSpread,DoorMaster,3.005000,D,S,102616.000000
Wed Sep 23 08:36:24 2015,23-Sep-2015,113624,47 55.272100 N,063 11.647200 W,3.1,37.2,A,Primary,Headline,3.653061,D,S,72006.000000
Wed Sep 23 08:36:24 2015,23-Sep-2015,113625,47 55.272800 N,063 11.646500 W,3.0,37.7,A,Primary,Headline,3.653061,D,S,72006.000000
Wed Sep 23 08:36:24 2015,23-Sep-2015,113626,47 55.273400 N,063 11.645800 W,3.0,37.4,A,Primary,Headline,3.653061,D,S,72006.000000
Wed Sep 23 08:36:27 2015,23-Sep-2015,113627,47 55.274100 N,063 11.645200 W,3.0,36.7,A,DoorSpread,DoorMaster,2.475000,D,S,129410.000000
Wed Sep 23 08:36:27 2015,23-Sep-2015,113628,47 55.274800 N,063 11.644600 W,2.9,36.7,A,DoorSpread,DoorMaster,2.475000,D,S,129410.000000
Wed Sep 23 08:36:30 2015,23-Sep-2015,113629,47 55.275400 N,063 11.643900 W,2.8,37.5,A,Primary,Headline,3.653061,D,S,28548.000000
Wed Sep 23 08:36:30 2015,23-Sep-2015,113630,47 55.275900 N,063 11.643300 W,2.8,37.9,A,Primary,Headline,3.653061,D,S,28548.000000
Wed Sep 23 08:36:31 2015,23-Sep-2015,113631,47 55.276500 N,063 11.642700 W,2.8,37.3,A,Depth,Depth,6.481481,D,S,39419.000000
Wed Sep 23 08:36:33 2015,23-Sep-2015,113632,47 55.277100 N,063 11.642300 W,2.7,36.6,A,DoorSpread,DoorMaster,3.090000,D,S,216492.000000
Wed Sep 23 08:36:33 2015,23-Sep-2015,113633,47 55.277600 N,063 11.641700 W,2.6,37.0,A,DoorSpread,DoorMaster,3.090000,D,S,216492.000000
Wed Sep 23 08:36:35 2015,23-Sep-2015,113634,47 55.278100 N,063 11.641200 W,2.5,37.4,A,Primary,Headline,0.693878,D,S,25540.000000
Wed Sep 23 08:36:35 2015,23-Sep-2015,113635,47 55.278600 N,063 11.640700 W,2.5,37.5,A,Primary,Headline,0.693878,D,S,25540.000000
Wed Sep 23 08:36:35 2015,23-Sep-2015,113636,47 55.279000 N,063 11.640200 W,2.4,37.5,A,Primary,Headline,0.693878,D,S,25540.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113637,47 55.279500 N,063 11.639600 W,2.3,37.9,A,DoorSpread,DoorMaster,2.740000,D,P,168.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113638,47 55.280000 N,063 11.639000 W,2.3,38.3,A,Depth,Depth,0.555556,D,S,38323.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113639,47 55.280400 N,063 11.638500 W,2.3,38.3,A,Depth,Depth,0.555556,D,S,38323.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113640,47 55.280900 N,063 11.638000 W,2.2,38.1,A,Depth,Depth,0.555556,D,S,38323.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113641,47 55.281200 N,063 11.637400 W,2.1,38.5,A,Depth,Depth,0.555556,D,S,38323.000000
Wed Sep 23 08:36:38 2015,23-Sep-2015,113642,47 55.281600 N,063 11.636900 W,2.1,39.6,A,Depth,Depth,0.555556,D,S,38323.000000
Wed Sep 23 08:36:43 2015,23-Sep-2015,113643,47 55.282000 N,063 11.636400 W,2.0,40.2,A,DoorSpread,DoorMaster,2.945000,D,S,248685.000000
Wed Sep 23 08:36:43 2015,23-Sep-2015,113644,47 55.282400 N,063 11.635900 W,2.0,40.0,A,DoorSpread,DoorMaster,2.945000,D,S,248685.000000
Wed Sep 23 08:36:45 2015,23-Sep-2015,113645,47 55.282800 N,063 11.635500 W,1.9,39.6,A,Depth,Depth,5.740741,D,S,38270.000000
Wed Sep 23 08:36:45 2015,23-Sep-2015,113646,47 55.283100 N,063 11.635000 W,1.9,39.9,A,Depth,Depth,5.740741,D,S,38270.000000
Wed Sep 23 08:36:45 2015,23-Sep-2015,113647,47 55.283500 N,063 11.634500 W,1.9,39.8,A,Depth,Depth,5.740741,D,S,38270.000000
Wed Sep 23 08:36:49 2015,23-Sep-2015,113648,47 55.283900 N,063 11.634100 W,1.8,39.2,A,DoorSpread,DoorMaster,2.725000,D,S,182447.000000
Wed Sep 23 08:36:49 2015,23-Sep-2015,113649,47 55.284300 N,063 11.633600 W,1.8,39.6,A,DoorSpread,DoorMaster,2.725000,D,S,182447.000000
Wed Sep 23 08:36:49 2015,23-Sep-2015,113650,47 55.284600 N,063 11.633100 W,1.7,41.0,A,DoorSpread,DoorMaster,2.725000,D,S,182447.000000
