Ship Number,Trip Number,Tow Number
JEAN MATHIEU,7,6
Comments
"ZONE 12 WESTERN BRADELLE BANK"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Sep 19 11:52:54 2015,19-Sep-2015,145254,47 46.902600 N,062 57.303800 W,4.5,36.6,A,DoorSpread,DoorMaster,2.530000,D,S,79994.000000
Sat Sep 19 11:52:54 2015,19-Sep-2015,145255,47 46.903500 N,062 57.302800 W,4.4,36.4,A,DoorSpread,DoorMaster,2.530000,D,S,79994.000000
Sat Sep 19 11:52:54 2015,19-Sep-2015,145256,47 46.904400 N,062 57.301700 W,4.4,36.6,A,DoorSpread,DoorMaster,2.530000,D,S,79994.000000
Sat Sep 19 11:52:54 2015,19-Sep-2015,145257,47 46.905300 N,062 57.300600 W,4.4,37.3,A,DoorSpread,DoorMaster,2.530000,D,S,79994.000000
Sat Sep 19 11:52:58 2015,19-Sep-2015,145258,47 46.906200 N,062 57.299400 W,4.4,37.9,A,DoorSpread,DoorMaster,1.605000,D,S,15294.000000
Sat Sep 19 11:52:58 2015,19-Sep-2015,145259,47 46.907100 N,062 57.298300 W,4.3,38.1,A,DoorSpread,DoorMaster,1.605000,D,S,15294.000000
Sat Sep 19 11:52:58 2015,19-Sep-2015,145300,47 46.908000 N,062 57.297300 W,4.3,37.8,A,DoorSpread,DoorMaster,1.605000,D,S,15294.000000
Sat Sep 19 11:52:58 2015,19-Sep-2015,145301,47 46.908800 N,062 57.296400 W,4.3,37.7,A,DoorSpread,DoorMaster,1.605000,D,S,15294.000000
Sat Sep 19 11:52:58 2015,19-Sep-2015,145302,47 46.909700 N,062 57.295200 W,4.2,38.4,A,DoorSpread,DoorMaster,1.605000,D,S,15294.000000
Sat Sep 19 11:53:03 2015,19-Sep-2015,145303,47 46.910500 N,062 57.294100 W,4.2,39.3,A,DoorSpread,DoorMaster,2.785000,D,S,76003.000000
Sat Sep 19 11:53:03 2015,19-Sep-2015,145304,47 46.911300 N,062 57.293100 W,4.2,39.6,A,DoorSpread,DoorMaster,2.785000,D,S,76003.000000
Sat Sep 19 11:53:03 2015,19-Sep-2015,145305,47 46.912100 N,062 57.292100 W,4.1,39.1,A,DoorSpread,DoorMaster,2.785000,D,S,76003.000000
Sat Sep 19 11:53:03 2015,19-Sep-2015,145306,47 46.912900 N,062 57.291000 W,4.1,39.2,A,DoorSpread,DoorMaster,2.785000,D,S,76003.000000
Sat Sep 19 11:53:03 2015,19-Sep-2015,145307,47 46.913800 N,062 57.289900 W,4.1,39.9,A,DoorSpread,DoorMaster,2.785000,D,S,76003.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145308,47 46.914500 N,062 57.288700 W,4.1,40.7,A,Primary,Headline,2.530612,D,S,74013.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145309,47 46.915300 N,062 57.287700 W,4.1,40.6,A,DoorSpread,DoorMaster,5.345000,D,S,77329.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145310,47 46.916100 N,062 57.286700 W,4.1,40.2,A,DoorSpread,DoorMaster,5.345000,D,S,77329.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145311,47 46.917000 N,062 57.285600 W,4.0,40.0,A,DoorSpread,DoorMaster,5.345000,D,S,77329.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145312,47 46.917800 N,062 57.284500 W,4.0,40.2,A,DoorSpread,DoorMaster,5.345000,D,S,77329.000000
Sat Sep 19 11:53:09 2015,19-Sep-2015,145313,47 46.918700 N,062 57.283600 W,4.0,40.2,A,DoorSpread,DoorMaster,5.345000,D,S,77329.000000
