Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,9
Comments
"ZONE 12 SUD EST DU BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Aug 02 16:46:55 2015,02-Aug-2015,194655,46 59.410100 N,062 46.601000 W,4.5,92.4,A,DoorSpread,DoorMaster,2.905000,D,S,63973.000000
Sun Aug 02 16:46:55 2015,02-Aug-2015,194656,46 59.410000 N,062 46.599400 W,4.4,92.7,A,FishCount,Headline,7.527211,D,S,41912.000000
Sun Aug 02 16:46:55 2015,02-Aug-2015,194657,46 59.409900 N,062 46.597800 W,4.3,92.8,A,FishCount,Headline,7.527211,D,S,41912.000000
Sun Aug 02 16:46:55 2015,02-Aug-2015,194658,46 59.409800 N,062 46.596200 W,4.3,92.8,A,FishCount,Headline,7.527211,D,S,41912.000000
Sun Aug 02 16:46:55 2015,02-Aug-2015,194659,46 59.409700 N,062 46.594800 W,4.2,92.7,A,FishCount,Headline,7.527211,D,S,41912.000000
Sun Aug 02 16:46:55 2015,02-Aug-2015,194700,46 59.409700 N,062 46.593300 W,4.1,92.5,A,FishCount,Headline,7.527211,D,S,41912.000000
Sun Aug 02 16:47:00 2015,02-Aug-2015,194701,46 59.409800 N,062 46.591900 W,4.1,92.4,A,DoorSpread,DoorMaster,1.905000,D,S,58674.000000
Sun Aug 02 16:47:00 2015,02-Aug-2015,194702,46 59.409800 N,062 46.590500 W,4.0,92.5,A,DoorSpread,DoorMaster,1.905000,D,S,58674.000000
Sun Aug 02 16:47:00 2015,02-Aug-2015,194703,46 59.409700 N,062 46.589100 W,3.9,92.7,A,DoorSpread,DoorMaster,1.905000,D,S,58674.000000
Sun Aug 02 16:47:00 2015,02-Aug-2015,194704,46 59.409700 N,062 46.587700 W,3.9,92.6,A,DoorSpread,DoorMaster,1.905000,D,S,58674.000000
Sun Aug 02 16:47:00 2015,02-Aug-2015,194705,46 59.409700 N,062 46.586300 W,3.8,92.2,A,DoorSpread,DoorMaster,1.905000,D,S,58674.000000
Sun Aug 02 16:47:05 2015,02-Aug-2015,194706,46 59.409600 N,062 46.584900 W,3.8,92.2,A,DoorSpread,DoorMaster,1.855000,D,S,30283.000000
Sun Aug 02 16:47:05 2015,02-Aug-2015,194707,46 59.409500 N,062 46.583400 W,3.7,92.4,A,DoorSpread,DoorMaster,1.855000,D,S,30283.000000
Sun Aug 02 16:47:05 2015,02-Aug-2015,194708,46 59.409500 N,062 46.582000 W,3.7,92.7,A,DoorSpread,DoorMaster,1.855000,D,S,30283.000000
Sun Aug 02 16:47:05 2015,02-Aug-2015,194709,46 59.409400 N,062 46.580700 W,3.6,92.8,A,DoorSpread,DoorMaster,1.855000,D,S,30283.000000
Sun Aug 02 16:47:05 2015,02-Aug-2015,194710,46 59.409400 N,062 46.579400 W,3.6,92.7,A,DoorSpread,DoorMaster,1.855000,D,S,30283.000000
Sun Aug 02 16:47:11 2015,02-Aug-2015,194711,46 59.409400 N,062 46.578000 W,3.6,92.5,A,DoorSpread,DoorMaster,2.785000,D,S,44738.000000
Sun Aug 02 16:47:11 2015,02-Aug-2015,194712,46 59.409300 N,062 46.576700 W,3.6,92.6,A,DoorSpread,DoorMaster,2.785000,D,S,44738.000000
Sun Aug 02 16:47:11 2015,02-Aug-2015,194713,46 59.409300 N,062 46.575300 W,3.5,93.2,A,DoorSpread,DoorMaster,2.785000,D,S,44738.000000
Sun Aug 02 16:47:11 2015,02-Aug-2015,194714,46 59.409200 N,062 46.574000 W,3.5,93.7,A,DoorSpread,DoorMaster,2.785000,D,S,44738.000000
Sun Aug 02 16:47:11 2015,02-Aug-2015,194715,46 59.409100 N,062 46.572700 W,3.5,93.8,A,DoorSpread,DoorMaster,2.785000,D,S,44738.000000
Sun Aug 02 16:47:15 2015,02-Aug-2015,194716,46 59.409100 N,062 46.571400 W,3.4,93.7,A,Primary,Headline,0.061224,D,S,20879.000000
Sun Aug 02 16:47:16 2015,02-Aug-2015,194717,46 59.409000 N,062 46.570000 W,3.4,94.1,A,DoorSpread,DoorMaster,1.605000,D,S,79418.000000
Sun Aug 02 16:47:16 2015,02-Aug-2015,194718,46 59.408900 N,062 46.568600 W,3.4,94.7,A,DoorSpread,DoorMaster,1.605000,D,S,79418.000000
Sun Aug 02 16:47:16 2015,02-Aug-2015,194719,46 59.408700 N,062 46.567300 W,3.4,95.0,A,DoorSpread,DoorMaster,1.605000,D,S,79418.000000
Sun Aug 02 16:47:16 2015,02-Aug-2015,194720,46 59.408700 N,062 46.566000 W,3.3,95.0,A,DoorSpread,DoorMaster,1.605000,D,S,79418.000000
Sun Aug 02 16:47:21 2015,02-Aug-2015,194721,46 59.408600 N,062 46.564600 W,3.4,94.8,A,Primary,Headline,0.918367,D,S,78676.000000
Sun Aug 02 16:47:21 2015,02-Aug-2015,194722,46 59.408500 N,062 46.563300 W,3.3,94.9,A,DoorSpread,DoorMaster,2.130000,D,S,81804.000000
Sun Aug 02 16:47:21 2015,02-Aug-2015,194723,46 59.408400 N,062 46.562000 W,3.3,95.1,A,DoorSpread,DoorMaster,2.130000,D,S,81804.000000
