Ship Number,Trip Number,Tow Number
JEAN MATHIEU,6,4
Comments
"ZONE 12 NORD OUEST DU CORP MORT"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sun Sep 13 14:47:07 2015,13-Sep-2015,174707,47 26.299500 N,062 31.374400 W,2.5,193.9,A,Secondary,Headline,0.000000,E,S,76290.000000
Sun Sep 13 14:47:08 2015,13-Sep-2015,174708,47 26.298900 N,062 31.374800 W,2.5,194.3,A,DoorSpread,DoorMaster,0.000000,E,S,76147.000000
Sun Sep 13 14:47:08 2015,13-Sep-2015,174709,47 26.298300 N,062 31.375000 W,2.5,194.1,A,DoorSpread,DoorMaster,0.000000,E,S,76147.000000
Sun Sep 13 14:47:08 2015,13-Sep-2015,174710,47 26.297700 N,062 31.375200 W,2.4,193.0,A,DoorSpread,DoorMaster,0.000000,E,S,76147.000000
Sun Sep 13 14:47:08 2015,13-Sep-2015,174711,47 26.297100 N,062 31.375300 W,2.4,192.1,A,DoorSpread,DoorMaster,0.000000,E,S,76147.000000
Sun Sep 13 14:47:12 2015,13-Sep-2015,174712,47 26.296400 N,062 31.375500 W,2.4,192.3,A,Primary,Headline,4.938776,D,S,58164.000000
Sun Sep 13 14:47:14 2015,13-Sep-2015,174713,47 26.295900 N,062 31.375800 W,2.4,193.2,A,DoorSpread,DoorMaster,0.000000,E,S,60512.000000
Sun Sep 13 14:47:14 2015,13-Sep-2015,174714,47 26.295300 N,062 31.376000 W,2.4,193.1,A,DoorSpread,DoorMaster,0.000000,E,S,60512.000000
Sun Sep 13 14:47:14 2015,13-Sep-2015,174715,47 26.294600 N,062 31.376100 W,2.4,191.8,A,DoorSpread,DoorMaster,0.000000,E,S,60512.000000
Sun Sep 13 14:47:14 2015,13-Sep-2015,174716,47 26.294000 N,062 31.376300 W,2.4,191.3,A,DoorSpread,DoorMaster,0.000000,E,S,60512.000000
Sun Sep 13 14:47:17 2015,13-Sep-2015,174717,47 26.293500 N,062 31.376500 W,2.3,191.7,A,Primary,Headline,3.938776,D,S,80806.000000
Sun Sep 13 14:47:17 2015,13-Sep-2015,174718,47 26.292800 N,062 31.376800 W,2.3,191.9,A,Primary,Headline,3.938776,D,S,80806.000000
Sun Sep 13 14:47:19 2015,13-Sep-2015,174719,47 26.292300 N,062 31.377000 W,2.3,192.1,A,DoorSpread,DoorMaster,2.475000,D,S,92859.000000
Sun Sep 13 14:47:19 2015,13-Sep-2015,174720,47 26.291700 N,062 31.377100 W,2.3,191.7,A,DoorSpread,DoorMaster,2.475000,D,S,92859.000000
Sun Sep 13 14:47:19 2015,13-Sep-2015,174721,47 26.291000 N,062 31.377200 W,2.3,191.0,A,DoorSpread,DoorMaster,2.475000,D,S,92859.000000
Sun Sep 13 14:47:22 2015,13-Sep-2015,174722,47 26.290400 N,062 31.377300 W,2.3,191.0,A,Primary,Headline,0.000000,D,S,72805.000000
Sun Sep 13 14:47:22 2015,13-Sep-2015,174723,47 26.289900 N,062 31.377600 W,2.3,191.3,A,Primary,Headline,0.000000,D,S,72805.000000
Sun Sep 13 14:47:24 2015,13-Sep-2015,174724,47 26.289200 N,062 31.377700 W,2.3,191.4,A,DoorSpread,DoorMaster,2.775000,D,S,126109.000000
Sun Sep 13 14:47:24 2015,13-Sep-2015,174725,47 26.288600 N,062 31.377900 W,2.3,191.4,A,DoorSpread,DoorMaster,2.775000,D,S,126109.000000
Sun Sep 13 14:47:24 2015,13-Sep-2015,174726,47 26.288100 N,062 31.378000 W,2.2,191.4,A,DoorSpread,DoorMaster,2.775000,D,S,126109.000000
Sun Sep 13 14:47:28 2015,13-Sep-2015,174727,47 26.287400 N,062 31.378200 W,2.2,191.3,A,Primary,Headline,2.000000,D,S,42911.000000
Sun Sep 13 14:47:28 2015,13-Sep-2015,174728,47 26.286800 N,062 31.378400 W,2.2,191.4,A,Primary,Headline,2.000000,D,S,42911.000000
Sun Sep 13 14:47:29 2015,13-Sep-2015,174729,47 26.286300 N,062 31.378600 W,2.2,191.5,A,DoorSpread,DoorMaster,2.630000,D,S,381750.000000
Sun Sep 13 14:47:29 2015,13-Sep-2015,174730,47 26.285700 N,062 31.378700 W,2.2,191.3,A,DoorSpread,DoorMaster,2.630000,D,S,381750.000000
Sun Sep 13 14:47:29 2015,13-Sep-2015,174731,47 26.285100 N,062 31.378800 W,2.2,190.6,A,DoorSpread,DoorMaster,2.630000,D,S,381750.000000
Sun Sep 13 14:47:29 2015,13-Sep-2015,174732,47 26.284500 N,062 31.378900 W,2.2,189.9,A,DoorSpread,DoorMaster,2.630000,D,S,381750.000000
Sun Sep 13 14:47:33 2015,13-Sep-2015,174733,47 26.284000 N,062 31.379100 W,2.2,189.9,A,Primary,Headline,2.510204,D,S,88865.000000
Sun Sep 13 14:47:33 2015,13-Sep-2015,174734,47 26.283400 N,062 31.379200 W,2.2,189.9,A,Primary,Headline,2.510204,D,S,88865.000000
Sun Sep 13 14:47:35 2015,13-Sep-2015,174735,47 26.282800 N,062 31.379300 W,2.2,189.4,A,DoorSpread,DoorMaster,2.705000,D,S,410472.000000
Sun Sep 13 14:47:35 2015,13-Sep-2015,174736,47 26.282300 N,062 31.379400 W,2.2,188.7,A,DoorSpread,DoorMaster,2.705000,D,S,410472.000000
Sun Sep 13 14:47:35 2015,13-Sep-2015,174737,47 26.281700 N,062 31.379400 W,2.1,188.3,A,DoorSpread,DoorMaster,2.705000,D,S,410472.000000
Sun Sep 13 14:47:38 2015,13-Sep-2015,174738,47 26.281100 N,062 31.379500 W,2.1,188.1,A,Primary,Headline,4.530612,D,S,52758.000000
Sun Sep 13 14:47:38 2015,13-Sep-2015,174739,47 26.280500 N,062 31.379600 W,2.1,187.8,A,Primary,Headline,4.530612,D,S,52758.000000
Sun Sep 13 14:47:40 2015,13-Sep-2015,174740,47 26.280000 N,062 31.379700 W,2.1,187.5,A,DoorSpread,DoorMaster,2.580000,D,S,254450.000000
Sun Sep 13 14:47:40 2015,13-Sep-2015,174741,47 26.279400 N,062 31.379800 W,2.1,187.1,A,DoorSpread,DoorMaster,2.580000,D,S,254450.000000
Sun Sep 13 14:47:43 2015,13-Sep-2015,174742,47 26.278800 N,062 31.379800 W,2.1,186.4,A,Primary,Headline,3.795918,D,S,24876.000000
Sun Sep 13 14:47:43 2015,13-Sep-2015,174743,47 26.278300 N,062 31.379800 W,2.1,185.9,A,Primary,Headline,3.795918,D,S,24876.000000
Sun Sep 13 14:47:43 2015,13-Sep-2015,174744,47 26.277700 N,062 31.379900 W,2.1,186.1,A,Primary,Headline,3.795918,D,S,24876.000000
Sun Sep 13 14:47:46 2015,13-Sep-2015,174745,47 26.277100 N,062 31.380000 W,2.1,185.9,A,DoorSpread,DoorMaster,2.325000,D,S,481874.000000
