Ship Number,Trip Number,Tow Number
JEAN MATHIEU,2,10
Comments
"ZONE 12 SUD GRENADES SOUS MARINES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,25-Jul-2015,232111,48 8.192600 N,062 10.622500 W,4.1,319.5,A,,,,,,
,25-Jul-2015,232112,48 8.193400 N,062 10.623500 W,4.0,319.3,A,,,,,,
,25-Jul-2015,232113,48 8.194000 N,062 10.624500 W,3.9,318.2,A,,,,,,
,25-Jul-2015,232114,48 8.194700 N,062 10.625600 W,3.8,317.2,A,,,,,,
,25-Jul-2015,232115,48 8.195400 N,062 10.626500 W,3.8,317.4,A,,,,,,
,25-Jul-2015,232116,48 8.196300 N,062 10.627300 W,3.7,318.7,A,,,,,,
Sat Jul 25 20:21:20 2015,25-Jul-2015,232117,48 8.197100 N,062 10.628200 W,3.7,319.1,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:20 2015,25-Jul-2015,232118,48 8.197700 N,062 10.629200 W,3.6,318.0,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:20 2015,25-Jul-2015,232119,48 8.198200 N,062 10.630100 W,3.5,316.4,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:20 2015,25-Jul-2015,232120,48 8.198700 N,062 10.631100 W,3.5,315.8,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:20 2015,25-Jul-2015,232121,48 8.199400 N,062 10.631800 W,3.4,316.4,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:20 2015,25-Jul-2015,232122,48 8.200100 N,062 10.632700 W,3.4,316.8,A,DoorSpread,DoorMaster,4.130000,D,S,119515.000000
Sat Jul 25 20:21:25 2015,25-Jul-2015,232123,48 8.200600 N,062 10.633600 W,3.3,316.1,A,DoorSpread,DoorMaster,1.455000,D,S,90818.000000
Sat Jul 25 20:21:25 2015,25-Jul-2015,232124,48 8.201200 N,062 10.634600 W,3.3,314.7,A,DoorSpread,DoorMaster,1.455000,D,S,90818.000000
Sat Jul 25 20:21:25 2015,25-Jul-2015,232125,48 8.201700 N,062 10.635500 W,3.2,313.8,A,DoorSpread,DoorMaster,1.455000,D,S,90818.000000
Sat Jul 25 20:21:25 2015,25-Jul-2015,232126,48 8.202300 N,062 10.636300 W,3.2,314.4,A,DoorSpread,DoorMaster,1.455000,D,S,90818.000000
Sat Jul 25 20:21:25 2015,25-Jul-2015,232127,48 8.202900 N,062 10.637100 W,3.2,315.0,A,DoorSpread,DoorMaster,1.455000,D,S,90818.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232128,48 8.203400 N,062 10.638000 W,3.1,314.7,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232129,48 8.203900 N,062 10.638900 W,3.1,313.5,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232130,48 8.204300 N,062 10.639800 W,3.0,312.8,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232131,48 8.204900 N,062 10.640500 W,3.0,313.6,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232132,48 8.205500 N,062 10.641400 W,3.0,314.6,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:31 2015,25-Jul-2015,232133,48 8.206100 N,062 10.642200 W,3.0,314.3,A,DoorSpread,DoorMaster,3.355000,D,S,155059.000000
Sat Jul 25 20:21:36 2015,25-Jul-2015,232134,48 8.206500 N,062 10.643000 W,2.9,313.3,A,DoorSpread,DoorMaster,2.885000,D,S,47704.000000
Sat Jul 25 20:21:37 2015,25-Jul-2015,232135,48 8.207000 N,062 10.643900 W,2.9,312.6,A,Depth,Depth,5.092593,D,S,31037.000000
Sat Jul 25 20:21:37 2015,25-Jul-2015,232136,48 8.207500 N,062 10.644600 W,2.8,312.9,A,Depth,Depth,5.092593,D,S,31037.000000
Sat Jul 25 20:21:37 2015,25-Jul-2015,232137,48 8.208000 N,062 10.645400 W,2.8,313.7,A,Depth,Depth,5.092593,D,S,31037.000000
Sat Jul 25 20:21:37 2015,25-Jul-2015,232138,48 8.208600 N,062 10.646100 W,2.8,314.5,A,Depth,Depth,5.092593,D,S,31037.000000
Sat Jul 25 20:21:42 2015,25-Jul-2015,232139,48 8.209100 N,062 10.646800 W,2.8,314.2,A,DoorSpread,DoorMaster,2.380000,D,S,113969.000000
Sat Jul 25 20:21:42 2015,25-Jul-2015,232140,48 8.209500 N,062 10.647600 W,2.8,313.5,A,Primary,Headline,1.734694,D,S,40123.000000
Sat Jul 25 20:21:42 2015,25-Jul-2015,232141,48 8.210000 N,062 10.648300 W,2.7,313.7,A,Primary,Headline,1.734694,D,S,40123.000000
Sat Jul 25 20:21:44 2015,25-Jul-2015,232142,48 8.210600 N,062 10.648900 W,2.7,314.3,A,Depth,Depth,0.925926,D,S,13183.000000
Sat Jul 25 20:21:44 2015,25-Jul-2015,232143,48 8.211000 N,062 10.649600 W,2.7,314.4,A,Depth,Depth,0.925926,D,S,13183.000000
Sat Jul 25 20:21:47 2015,25-Jul-2015,232144,48 8.211500 N,062 10.650200 W,2.7,314.5,A,DoorSpread,DoorMaster,1.955000,D,S,151907.000000
Sat Jul 25 20:21:47 2015,25-Jul-2015,232145,48 8.212000 N,062 10.651000 W,2.7,315.0,A,Primary,Headline,1.857143,D,S,111421.000000
Sat Jul 25 20:21:47 2015,25-Jul-2015,232146,48 8.212500 N,062 10.651700 W,2.7,314.6,A,Primary,Headline,1.857143,D,S,111421.000000
Sat Jul 25 20:21:47 2015,25-Jul-2015,232147,48 8.212900 N,062 10.652400 W,2.7,314.1,A,Primary,Headline,1.857143,D,S,111421.000000
Sat Jul 25 20:21:47 2015,25-Jul-2015,232148,48 8.213400 N,062 10.653100 W,2.6,314.3,A,Primary,Headline,1.857143,D,S,111421.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232149,48 8.213900 N,062 10.653700 W,2.7,315.2,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232150,48 8.214400 N,062 10.654400 W,2.7,315.7,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232151,48 8.214900 N,062 10.655100 W,2.6,315.6,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232152,48 8.215300 N,062 10.655900 W,2.6,315.0,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232153,48 8.215800 N,062 10.656600 W,2.6,314.9,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:52 2015,25-Jul-2015,232154,48 8.216200 N,062 10.657200 W,2.6,315.4,A,DoorSpread,DoorMaster,1.815000,D,S,337174.000000
Sat Jul 25 20:21:58 2015,25-Jul-2015,232155,48 8.216600 N,062 10.657800 W,2.6,315.9,A,DoorSpread,DoorMaster,5.580000,D,S,35199.000000
Sat Jul 25 20:21:58 2015,25-Jul-2015,232156,48 8.217100 N,062 10.658500 W,2.5,315.9,A,DoorSpread,DoorMaster,5.580000,D,S,35199.000000
Sat Jul 25 20:21:58 2015,25-Jul-2015,232157,48 8.217400 N,062 10.659300 W,2.5,315.1,A,DoorSpread,DoorMaster,5.580000,D,S,35199.000000
Sat Jul 25 20:21:58 2015,25-Jul-2015,232158,48 8.217900 N,062 10.660000 W,2.5,314.5,A,DoorSpread,DoorMaster,5.580000,D,S,35199.000000
Sat Jul 25 20:21:58 2015,25-Jul-2015,232159,48 8.218400 N,062 10.660700 W,2.6,314.5,A,DoorSpread,DoorMaster,5.580000,D,S,35199.000000
