Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,6
Comments
"ZONE 12 EAST POINT PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Sat Aug 01 12:09:31 2015,01-Aug-2015,150933,46 35.186200 N,062 15.047100 W,2.2,88.6,A,Primary,Headline,3.428571,D,S,64823.000000
Sat Aug 01 12:09:31 2015,01-Aug-2015,150934,46 35.186300 N,062 15.046100 W,2.2,88.6,A,Primary,Headline,3.428571,D,S,64823.000000
Sat Aug 01 12:09:31 2015,01-Aug-2015,150935,46 35.186400 N,062 15.045100 W,2.2,88.9,A,Primary,Headline,3.428571,D,S,64823.000000
Sat Aug 01 12:09:31 2015,01-Aug-2015,150936,46 35.186400 N,062 15.044100 W,2.2,89.3,A,Primary,Headline,3.428571,D,S,64823.000000
Sat Aug 01 12:09:36 2015,01-Aug-2015,150937,46 35.186400 N,062 15.043100 W,2.2,89.7,A,Primary,Headline,0.224490,D,S,74167.000000
Sat Aug 01 12:09:36 2015,01-Aug-2015,150938,46 35.186500 N,062 15.041900 W,2.3,89.7,A,Primary,Headline,0.224490,D,S,74167.000000
Sat Aug 01 12:09:36 2015,01-Aug-2015,150939,46 35.186600 N,062 15.040800 W,2.3,89.5,A,Primary,Headline,0.224490,D,S,74167.000000
Sat Aug 01 12:09:36 2015,01-Aug-2015,150940,46 35.186600 N,062 15.039700 W,2.3,89.4,A,Primary,Headline,0.224490,D,S,74167.000000
Sat Aug 01 12:09:36 2015,01-Aug-2015,150941,46 35.186700 N,062 15.038700 W,2.4,89.3,A,Primary,Headline,0.224490,D,S,74167.000000
Sat Aug 01 12:09:41 2015,01-Aug-2015,150942,46 35.186700 N,062 15.037600 W,2.4,89.2,A,DoorSpread,DoorMaster,2.345000,D,S,891567.000000
Sat Aug 01 12:09:41 2015,01-Aug-2015,150943,46 35.186700 N,062 15.036500 W,2.5,89.3,A,DoorSpread,DoorMaster,2.345000,D,S,891567.000000
Sat Aug 01 12:09:41 2015,01-Aug-2015,150944,46 35.186600 N,062 15.035500 W,2.5,89.4,A,DoorSpread,DoorMaster,2.345000,D,S,891567.000000
Sat Aug 01 12:09:41 2015,01-Aug-2015,150945,46 35.186600 N,062 15.034400 W,2.5,89.6,A,DoorSpread,DoorMaster,2.345000,D,S,891567.000000
Sat Aug 01 12:09:41 2015,01-Aug-2015,150946,46 35.186700 N,062 15.033100 W,2.6,89.6,A,DoorSpread,DoorMaster,2.345000,D,S,891567.000000
Sat Aug 01 12:09:46 2015,01-Aug-2015,150947,46 35.186700 N,062 15.031900 W,2.7,89.4,A,DoorSpread,DoorMaster,2.370000,D,S,871638.000000
Sat Aug 01 12:09:46 2015,01-Aug-2015,150948,46 35.186700 N,062 15.030800 W,2.7,89.2,A,DoorSpread,DoorMaster,2.370000,D,S,871638.000000
Sat Aug 01 12:09:46 2015,01-Aug-2015,150949,46 35.186800 N,062 15.029600 W,2.7,89.3,A,DoorSpread,DoorMaster,2.370000,D,S,871638.000000
Sat Aug 01 12:09:46 2015,01-Aug-2015,150950,46 35.186700 N,062 15.028400 W,2.8,89.6,A,DoorSpread,DoorMaster,2.370000,D,S,871638.000000
Sat Aug 01 12:09:49 2015,01-Aug-2015,150951,46 35.186700 N,062 15.027200 W,2.8,89.5,A,Depth,Depth,16.203704,D,S,122505.000000
Sat Aug 01 12:09:51 2015,01-Aug-2015,150952,46 35.186800 N,062 15.025900 W,2.8,89.2,A,Primary,Headline,0.897959,D,S,91388.000000
Sat Aug 01 12:09:52 2015,01-Aug-2015,150953,46 35.186800 N,062 15.024700 W,2.8,89.0,A,DoorSpread,DoorMaster,2.120000,D,S,190171.000000
Sat Aug 01 12:09:52 2015,01-Aug-2015,150954,46 35.186700 N,062 15.023500 W,2.9,89.1,A,DoorSpread,DoorMaster,2.120000,D,S,190171.000000
Sat Aug 01 12:09:52 2015,01-Aug-2015,150955,46 35.186700 N,062 15.022300 W,2.9,89.5,A,DoorSpread,DoorMaster,2.120000,D,S,190171.000000
Sat Aug 01 12:09:52 2015,01-Aug-2015,150956,46 35.186700 N,062 15.021100 W,2.9,89.5,A,DoorSpread,DoorMaster,2.120000,D,S,190171.000000
Sat Aug 01 12:09:56 2015,01-Aug-2015,150957,46 35.186700 N,062 15.019900 W,2.9,89.3,A,Primary,Headline,7.836735,D,S,62325.000000
Sat Aug 01 12:09:57 2015,01-Aug-2015,150958,46 35.186700 N,062 15.018700 W,2.9,89.1,A,DoorSpread,DoorMaster,1.770000,D,S,234199.000000
Sat Aug 01 12:09:57 2015,01-Aug-2015,150959,46 35.186700 N,062 15.017300 W,3.0,89.3,A,DoorSpread,DoorMaster,1.770000,D,S,234199.000000
