Ship Number,Trip Number,Tow Number
JEAN MATHIEU,5,8
Comments
"ZONE 12 FACE A SOURIS PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Thu Sep 03 15:41:12 2015,03-Sep-2015,184113,46 19.565800 N,061 55.456100 W,3.4,147.8,A,DoorSpread,DoorMaster,1.800000,D,S,111304.000000
Thu Sep 03 15:41:12 2015,03-Sep-2015,184114,46 19.565000 N,061 55.455300 W,3.4,147.7,A,DoorSpread,DoorMaster,1.800000,D,S,111304.000000
Thu Sep 03 15:41:15 2015,03-Sep-2015,184115,46 19.564300 N,061 55.454500 W,3.5,147.2,A,Primary,Headline,1.775510,D,S,72858.000000
Thu Sep 03 15:41:15 2015,03-Sep-2015,184116,46 19.563400 N,061 55.453700 W,3.5,147.5,A,Primary,Headline,1.775510,D,S,72858.000000
Thu Sep 03 15:41:17 2015,03-Sep-2015,184117,46 19.562500 N,061 55.452900 W,3.5,148.0,A,DoorSpread,DoorMaster,1.860000,D,S,126007.000000
Thu Sep 03 15:41:17 2015,03-Sep-2015,184118,46 19.561800 N,061 55.452200 W,3.5,148.3,A,DoorSpread,DoorMaster,1.860000,D,S,126007.000000
Thu Sep 03 15:41:17 2015,03-Sep-2015,184119,46 19.561100 N,061 55.451400 W,3.4,148.3,A,DoorSpread,DoorMaster,1.860000,D,S,126007.000000
Thu Sep 03 15:41:20 2015,03-Sep-2015,184120,46 19.560300 N,061 55.450800 W,3.4,148.8,A,Primary,Headline,1.448980,D,S,42224.000000
Thu Sep 03 15:41:20 2015,03-Sep-2015,184121,46 19.559500 N,061 55.450200 W,3.4,149.7,A,Primary,Headline,1.448980,D,S,42224.000000
Thu Sep 03 15:41:22 2015,03-Sep-2015,184122,46 19.558800 N,061 55.449700 W,3.3,150.4,A,DoorSpread,DoorMaster,1.865000,D,S,113293.000000
Thu Sep 03 15:41:22 2015,03-Sep-2015,184123,46 19.558100 N,061 55.449100 W,3.3,150.8,A,DoorSpread,DoorMaster,1.865000,D,S,113293.000000
Thu Sep 03 15:41:22 2015,03-Sep-2015,184124,46 19.557400 N,061 55.448600 W,3.2,151.0,A,DoorSpread,DoorMaster,1.865000,D,S,113293.000000
Thu Sep 03 15:41:25 2015,03-Sep-2015,184125,46 19.556600 N,061 55.448000 W,3.2,151.3,A,Primary,Headline,0.612245,D,S,73496.000000
Thu Sep 03 15:41:25 2015,03-Sep-2015,184126,46 19.555900 N,061 55.447600 W,3.2,152.6,A,Primary,Headline,0.612245,D,S,73496.000000
Thu Sep 03 15:41:27 2015,03-Sep-2015,184127,46 19.555100 N,061 55.447200 W,3.1,154.1,A,DoorSpread,DoorMaster,0.690000,D,S,167568.000000
Thu Sep 03 15:41:27 2015,03-Sep-2015,184128,46 19.554400 N,061 55.446800 W,3.0,154.5,A,DoorSpread,DoorMaster,0.690000,D,S,167568.000000
Thu Sep 03 15:41:27 2015,03-Sep-2015,184129,46 19.553800 N,061 55.446400 W,3.0,154.2,A,DoorSpread,DoorMaster,0.690000,D,S,167568.000000
Thu Sep 03 15:41:30 2015,03-Sep-2015,184130,46 19.553100 N,061 55.445900 W,2.9,153.9,A,Primary,Headline,0.183673,D,S,78797.000000
Thu Sep 03 15:41:30 2015,03-Sep-2015,184131,46 19.552300 N,061 55.445500 W,2.9,154.9,A,Primary,Headline,0.183673,D,S,78797.000000
Thu Sep 03 15:41:30 2015,03-Sep-2015,184132,46 19.551600 N,061 55.445300 W,2.9,156.7,A,Primary,Headline,0.183673,D,S,78797.000000
Thu Sep 03 15:41:32 2015,03-Sep-2015,184133,46 19.550900 N,061 55.445000 W,2.8,157.6,A,DoorSpread,DoorMaster,1.915000,D,S,92619.000000
Thu Sep 03 15:41:32 2015,03-Sep-2015,184134,46 19.550300 N,061 55.444600 W,2.7,156.9,A,DoorSpread,DoorMaster,1.915000,D,S,92619.000000
Thu Sep 03 15:41:35 2015,03-Sep-2015,184135,46 19.549700 N,061 55.444100 W,2.7,156.5,A,Primary,Headline,1.387755,D,S,52766.000000
Thu Sep 03 15:41:35 2015,03-Sep-2015,184136,46 19.549000 N,061 55.443800 W,2.7,157.5,A,Primary,Headline,1.387755,D,S,52766.000000
Thu Sep 03 15:41:35 2015,03-Sep-2015,184137,46 19.548300 N,061 55.443700 W,2.7,159.2,A,Primary,Headline,1.387755,D,S,52766.000000
Thu Sep 03 15:41:35 2015,03-Sep-2015,184138,46 19.547600 N,061 55.443400 W,2.6,159.7,A,Primary,Headline,1.387755,D,S,52766.000000
