Ship Number,Trip Number,Tow Number
JEAN MATHIEU,1,4
Comments
"ZONE 12 OUEST DE LA 12F"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Jul 10 09:02:09 2015,10-Jul-2015,120209,47 57.664300 N,061 17.566400 W,2.9,93.7,A,DoorSpread,DoorMaster,0.260000,D,S,98928.000000
Fri Jul 10 09:02:09 2015,10-Jul-2015,120210,47 57.664300 N,061 17.565400 W,2.8,94.1,A,DoorSpread,DoorMaster,0.260000,D,S,98928.000000
Fri Jul 10 09:02:09 2015,10-Jul-2015,120211,47 57.664100 N,061 17.564400 W,2.8,94.5,A,DoorSpread,DoorMaster,0.260000,D,S,98928.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120212,47 57.664100 N,061 17.563500 W,2.7,95.0,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120213,47 57.664000 N,061 17.562600 W,2.6,95.5,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120214,47 57.663800 N,061 17.561500 W,2.6,96.2,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120215,47 57.663700 N,061 17.560700 W,2.5,96.8,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120216,47 57.663600 N,061 17.559800 W,2.5,97.2,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:12 2015,10-Jul-2015,120217,47 57.663400 N,061 17.559000 W,2.4,97.4,A,DoorSpread,DoorMaster,0.785000,D,S,185444.000000
Fri Jul 10 09:02:18 2015,10-Jul-2015,120218,47 57.663300 N,061 17.558100 W,2.4,97.8,A,DoorSpread,DoorMaster,1.595000,D,S,147667.000000
Fri Jul 10 09:02:18 2015,10-Jul-2015,120219,47 57.663100 N,061 17.557300 W,2.3,98.2,A,DoorSpread,DoorMaster,1.595000,D,S,147667.000000
Fri Jul 10 09:02:18 2015,10-Jul-2015,120220,47 57.663000 N,061 17.556500 W,2.2,98.4,A,DoorSpread,DoorMaster,1.595000,D,S,147667.000000
Fri Jul 10 09:02:18 2015,10-Jul-2015,120221,47 57.662900 N,061 17.555700 W,2.2,98.5,A,DoorSpread,DoorMaster,1.595000,D,S,147667.000000
Fri Jul 10 09:02:18 2015,10-Jul-2015,120222,47 57.662800 N,061 17.554900 W,2.2,98.7,A,DoorSpread,DoorMaster,1.595000,D,S,147667.000000
Fri Jul 10 09:02:23 2015,10-Jul-2015,120223,47 57.662700 N,061 17.554200 W,2.1,98.9,A,DoorSpread,DoorMaster,1.985000,D,S,270109.000000
Fri Jul 10 09:02:23 2015,10-Jul-2015,120224,47 57.662600 N,061 17.553500 W,2.1,99.0,A,DoorSpread,DoorMaster,1.985000,D,S,270109.000000
Fri Jul 10 09:02:23 2015,10-Jul-2015,120225,47 57.662500 N,061 17.552700 W,2.0,98.8,A,DoorSpread,DoorMaster,1.985000,D,S,270109.000000
Fri Jul 10 09:02:23 2015,10-Jul-2015,120226,47 57.662500 N,061 17.552000 W,2.0,98.6,A,DoorSpread,DoorMaster,1.985000,D,S,270109.000000
Fri Jul 10 09:02:23 2015,10-Jul-2015,120227,47 57.662500 N,061 17.551400 W,2.0,98.5,A,DoorSpread,DoorMaster,1.985000,D,S,270109.000000
Fri Jul 10 09:02:28 2015,10-Jul-2015,120228,47 57.662400 N,061 17.550700 W,1.9,99.1,A,DoorSpread,DoorMaster,1.965000,D,S,658679.000000
Fri Jul 10 09:02:28 2015,10-Jul-2015,120229,47 57.662300 N,061 17.550000 W,1.9,99.5,A,DoorSpread,DoorMaster,1.965000,D,S,658679.000000
Fri Jul 10 09:02:30 2015,10-Jul-2015,120230,47 57.662100 N,061 17.549300 W,1.9,99.4,A,Primary,Headline,0.836735,D,S,75508.000000
Fri Jul 10 09:02:30 2015,10-Jul-2015,120231,47 57.662100 N,061 17.548700 W,1.8,98.7,A,Primary,Headline,0.836735,D,S,75508.000000
Fri Jul 10 09:02:30 2015,10-Jul-2015,120232,47 57.662100 N,061 17.548100 W,1.8,99.2,A,Primary,Headline,0.836735,D,S,75508.000000
Fri Jul 10 09:02:30 2015,10-Jul-2015,120233,47 57.662100 N,061 17.547500 W,1.8,99.8,A,Primary,Headline,0.836735,D,S,75508.000000
Fri Jul 10 09:02:34 2015,10-Jul-2015,120234,47 57.662000 N,061 17.546900 W,1.7,99.6,A,DoorSpread,DoorMaster,1.895000,D,S,626933.000000
Fri Jul 10 09:02:35 2015,10-Jul-2015,120235,47 57.662000 N,061 17.546300 W,1.7,98.5,A,Primary,Headline,1.755102,D,S,51590.000000
Fri Jul 10 09:02:35 2015,10-Jul-2015,120236,47 57.662000 N,061 17.545700 W,1.7,97.4,A,Primary,Headline,1.755102,D,S,51590.000000
Fri Jul 10 09:02:35 2015,10-Jul-2015,120237,47 57.661900 N,061 17.545100 W,1.6,96.8,A,Primary,Headline,1.755102,D,S,51590.000000
Fri Jul 10 09:02:35 2015,10-Jul-2015,120238,47 57.661900 N,061 17.544500 W,1.6,96.0,A,Primary,Headline,1.755102,D,S,51590.000000
Fri Jul 10 09:02:39 2015,10-Jul-2015,120239,47 57.661800 N,061 17.543900 W,1.6,95.2,A,DoorSpread,DoorMaster,1.765000,D,S,514139.000000
Fri Jul 10 09:02:40 2015,10-Jul-2015,120240,47 57.661700 N,061 17.543400 W,1.5,95.1,A,Primary,Headline,4.714286,D,S,129206.000000
Fri Jul 10 09:02:40 2015,10-Jul-2015,120241,47 57.661600 N,061 17.542700 W,1.5,95.4,A,Primary,Headline,4.714286,D,S,129206.000000
Fri Jul 10 09:02:40 2015,10-Jul-2015,120242,47 57.661500 N,061 17.542100 W,1.5,95.1,A,Primary,Headline,4.714286,D,S,129206.000000
Fri Jul 10 09:02:40 2015,10-Jul-2015,120243,47 57.661500 N,061 17.541600 W,1.5,94.2,A,Primary,Headline,4.714286,D,S,129206.000000
Fri Jul 10 09:02:44 2015,10-Jul-2015,120244,47 57.661600 N,061 17.541100 W,1.4,93.9,A,DoorSpread,DoorMaster,0.000000,E,S,413782.000000
Fri Jul 10 09:02:45 2015,10-Jul-2015,120245,47 57.661500 N,061 17.540500 W,1.5,94.5,A,Primary,Headline,4.938776,D,S,196350.000000
Fri Jul 10 09:02:45 2015,10-Jul-2015,120246,47 57.661400 N,061 17.539900 W,1.5,95.3,A,Primary,Headline,4.938776,D,S,196350.000000
Fri Jul 10 09:02:45 2015,10-Jul-2015,120247,47 57.661400 N,061 17.539500 W,1.4,95.0,A,Primary,Headline,4.938776,D,S,196350.000000
Fri Jul 10 09:02:45 2015,10-Jul-2015,120248,47 57.661500 N,061 17.539000 W,1.4,94.4,A,Primary,Headline,4.938776,D,S,196350.000000
Fri Jul 10 09:02:49 2015,10-Jul-2015,120249,47 57.661500 N,061 17.538300 W,1.4,93.4,A,DoorSpread,DoorMaster,0.000000,E,S,642661.000000
Fri Jul 10 09:02:50 2015,10-Jul-2015,120250,47 57.661400 N,061 17.537800 W,1.4,93.2,A,Primary,Headline,5.020408,D,S,124912.000000
Fri Jul 10 09:02:50 2015,10-Jul-2015,120251,47 57.661400 N,061 17.537400 W,1.4,93.1,A,Primary,Headline,5.020408,D,S,124912.000000
Fri Jul 10 09:02:50 2015,10-Jul-2015,120252,47 57.661400 N,061 17.536900 W,1.4,92.9,A,Primary,Headline,5.020408,D,S,124912.000000
Fri Jul 10 09:02:50 2015,10-Jul-2015,120253,47 57.661400 N,061 17.536300 W,1.4,92.9,A,Primary,Headline,5.020408,D,S,124912.000000
Fri Jul 10 09:02:54 2015,10-Jul-2015,120254,47 57.661400 N,061 17.535800 W,1.4,92.3,A,DoorSpread,DoorMaster,1.630000,D,S,335763.000000
Fri Jul 10 09:02:54 2015,10-Jul-2015,120255,47 57.661400 N,061 17.535300 W,1.3,91.3,A,Depth,Depth,9.351852,D,S,66792.000000
Fri Jul 10 09:02:55 2015,10-Jul-2015,120256,47 57.661400 N,061 17.534700 W,1.3,91.0,A,Primary,Headline,4.775510,D,S,126319.000000
