Ship Number,Trip Number,Tow Number
JEAN MATHIEU,8,10
Comments
"ZONE 12F SUD-OUEST DE LA ZONE 12F"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Mon Oct 05 18:56:12 2015,05-Oct-2015,215613,47 37.491800 N,060 59.786500 W,3.7,307.3,A,DoorSpread,DoorMaster,2.710000,D,S,181306.000000
Mon Oct 05 18:56:13 2015,05-Oct-2015,215614,47 37.492300 N,060 59.787700 W,3.7,307.3,A,Primary,Headline,1.163265,D,S,56278.000000
Mon Oct 05 18:56:13 2015,05-Oct-2015,215615,47 37.493000 N,060 59.788900 W,3.7,307.2,A,Primary,Headline,1.163265,D,S,56278.000000
Mon Oct 05 18:56:15 2015,05-Oct-2015,215616,47 37.493600 N,060 59.790000 W,3.7,307.3,A,DoorSpread,DoorMaster,2.355000,D,S,519253.000000
Mon Oct 05 18:56:16 2015,05-Oct-2015,215617,47 37.494100 N,060 59.791200 W,3.6,307.3,A,Depth,Depth,1.759259,D,S,187786.000000
Mon Oct 05 18:56:16 2015,05-Oct-2015,215618,47 37.494700 N,060 59.792400 W,3.6,307.1,A,Depth,Depth,1.759259,D,S,187786.000000
Mon Oct 05 18:56:18 2015,05-Oct-2015,215619,47 37.495300 N,060 59.793500 W,3.6,307.1,A,Primary,Headline,0.632653,D,S,85633.000000
Mon Oct 05 18:56:18 2015,05-Oct-2015,215620,47 37.495800 N,060 59.794600 W,3.6,307.0,A,Primary,Headline,0.632653,D,S,85633.000000
Mon Oct 05 18:56:18 2015,05-Oct-2015,215621,47 37.496400 N,060 59.795600 W,3.5,307.1,A,Primary,Headline,0.632653,D,S,85633.000000
Mon Oct 05 18:56:20 2015,05-Oct-2015,215622,47 37.496900 N,060 59.796700 W,3.5,307.1,A,DoorSpread,DoorMaster,2.355000,D,S,376165.000000
Mon Oct 05 18:56:20 2015,05-Oct-2015,215623,47 37.497500 N,060 59.797800 W,3.5,307.1,A,DoorSpread,DoorMaster,2.355000,D,S,376165.000000
Mon Oct 05 18:56:23 2015,05-Oct-2015,215624,47 37.498000 N,060 59.798900 W,3.5,307.2,A,Primary,Headline,4.163265,D,S,43323.000000
