Ship Number,Trip Number,Tow Number
JEAN MATHIEU,8,10
Comments
"ZONE 19 AU LARGE DE KEERS POINT"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Wed Oct 07 17:07:13 2015,07-Oct-2015,200714,46 59.892700 N,060 53.810600 W,4.0,23.6,A,DoorSpread,DoorMaster,3.135000,D,S,58551.000000
Wed Oct 07 17:07:13 2015,07-Oct-2015,200715,46 59.893800 N,060 53.810000 W,4.0,23.7,A,DoorSpread,DoorMaster,3.135000,D,S,58551.000000
Wed Oct 07 17:07:16 2015,07-Oct-2015,200716,46 59.894700 N,060 53.809400 W,3.9,23.7,A,DoorSpread,DoorMaster,3.660000,D,S,89366.000000
Wed Oct 07 17:07:16 2015,07-Oct-2015,200717,46 59.895700 N,060 53.808800 W,3.9,23.8,A,DoorSpread,DoorMaster,3.660000,D,S,89366.000000
Wed Oct 07 17:07:16 2015,07-Oct-2015,200718,46 59.896700 N,060 53.808200 W,3.9,23.8,A,DoorSpread,DoorMaster,3.660000,D,S,89366.000000
Wed Oct 07 17:07:16 2015,07-Oct-2015,200719,46 59.897800 N,060 53.807500 W,3.9,24.1,A,DoorSpread,DoorMaster,3.660000,D,S,89366.000000
Wed Oct 07 17:07:16 2015,07-Oct-2015,200720,46 59.898800 N,060 53.806800 W,3.8,24.3,A,DoorSpread,DoorMaster,3.660000,D,S,89366.000000
Wed Oct 07 17:07:21 2015,07-Oct-2015,200721,46 59.899900 N,060 53.806100 W,3.8,24.1,A,DoorSpread,DoorMaster,5.260000,D,S,47616.000000
Wed Oct 07 17:07:21 2015,07-Oct-2015,200722,46 59.900800 N,060 53.805500 W,3.8,23.9,A,DoorSpread,DoorMaster,5.260000,D,S,47616.000000
Wed Oct 07 17:07:21 2015,07-Oct-2015,200723,46 59.901800 N,060 53.804900 W,3.8,23.7,A,DoorSpread,DoorMaster,5.260000,D,S,47616.000000
Wed Oct 07 17:07:24 2015,07-Oct-2015,200724,46 59.902800 N,060 53.804300 W,3.8,23.9,A,Depth,Depth,14.351852,D,S,13514.000000
Wed Oct 07 17:07:24 2015,07-Oct-2015,200725,46 59.903700 N,060 53.803600 W,3.7,24.1,A,Depth,Depth,14.351852,D,S,13514.000000
Wed Oct 07 17:07:24 2015,07-Oct-2015,200726,46 59.904700 N,060 53.802900 W,3.7,24.1,A,Depth,Depth,14.351852,D,S,13514.000000
Wed Oct 07 17:07:27 2015,07-Oct-2015,200727,46 59.905700 N,060 53.802300 W,3.7,24.2,A,DoorSpread,DoorMaster,4.005000,D,S,31739.000000
Wed Oct 07 17:07:27 2015,07-Oct-2015,200728,46 59.906500 N,060 53.801800 W,3.7,24.1,A,DoorSpread,DoorMaster,4.005000,D,S,31739.000000
Wed Oct 07 17:07:27 2015,07-Oct-2015,200729,46 59.907400 N,060 53.801200 W,3.6,24.0,A,DoorSpread,DoorMaster,4.005000,D,S,31739.000000
Wed Oct 07 17:07:27 2015,07-Oct-2015,200730,46 59.908200 N,060 53.800700 W,3.6,24.2,A,DoorSpread,DoorMaster,4.005000,D,S,31739.000000
Wed Oct 07 17:07:31 2015,07-Oct-2015,200731,46 59.908900 N,060 53.800200 W,3.5,24.2,A,Depth,Depth,56.666667,D,S,15655.000000
Wed Oct 07 17:07:32 2015,07-Oct-2015,200732,46 59.909800 N,060 53.799600 W,3.4,24.3,A,DoorSpread,DoorMaster,6.180000,D,S,43843.000000
Wed Oct 07 17:07:32 2015,07-Oct-2015,200733,46 59.910600 N,060 53.799100 W,3.4,24.5,A,DoorSpread,DoorMaster,6.180000,D,S,43843.000000
