Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,2
Comments
"ZONE 12 BANC AMERICAIN"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,27-Aug-2016,205055,48 40.287400 N,063 49.811700 W,3.4,149.3,A,,,,,,
,27-Aug-2016,205056,48 40.286700 N,063 49.811100 W,3.3,149.2,A,,,,,,
,27-Aug-2016,205057,48 40.286000 N,063 49.810500 W,3.2,149.3,A,,,,,,
,27-Aug-2016,205058,48 40.285300 N,063 49.809900 W,3.2,149.6,A,,,,,,
,27-Aug-2016,205059,48 40.284600 N,063 49.809300 W,3.1,149.8,A,,,,,,
Sat Aug 27 17:51:00 2016,27-Aug-2016,205100,48 40.284000 N,063 49.808800 W,3.1,149.9,A,DoorSpread,DoorMaster,0.000000,E,S,65218.000000
Sat Aug 27 17:51:00 2016,27-Aug-2016,205101,48 40.283300 N,063 49.808100 W,3.0,149.9,A,DoorSpread,DoorMaster,0.000000,E,S,65218.000000
Sat Aug 27 17:51:00 2016,27-Aug-2016,205102,48 40.282700 N,063 49.807500 W,3.0,149.6,A,DoorSpread,DoorMaster,0.000000,E,S,65218.000000
Sat Aug 27 17:51:00 2016,27-Aug-2016,205103,48 40.282000 N,063 49.806900 W,2.9,150.0,A,DoorSpread,DoorMaster,0.000000,E,S,65218.000000
Sat Aug 27 17:51:00 2016,27-Aug-2016,205104,48 40.281300 N,063 49.806300 W,2.9,150.5,A,DoorSpread,DoorMaster,0.000000,E,S,65218.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205105,48 40.280600 N,063 49.805800 W,2.9,150.9,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205106,48 40.280000 N,063 49.805300 W,2.8,151.1,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205107,48 40.279300 N,063 49.804700 W,2.8,150.8,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205108,48 40.278700 N,063 49.804100 W,2.8,150.9,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205109,48 40.278100 N,063 49.803700 W,2.7,151.5,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:05 2016,27-Aug-2016,205110,48 40.277500 N,063 49.803200 W,2.7,152.3,A,DoorSpread,DoorMaster,2.220000,D,S,43700.000000
Sat Aug 27 17:51:10 2016,27-Aug-2016,205111,48 40.276700 N,063 49.802700 W,2.7,152.1,A,DoorSpread,DoorMaster,2.675000,D,S,21405.000000
Sat Aug 27 17:51:10 2016,27-Aug-2016,205112,48 40.276100 N,063 49.802200 W,2.7,151.9,A,DoorSpread,DoorMaster,2.675000,D,S,21405.000000
Sat Aug 27 17:51:10 2016,27-Aug-2016,205113,48 40.275500 N,063 49.801700 W,2.6,151.8,A,DoorSpread,DoorMaster,2.675000,D,S,21405.000000
