Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,11
Comments
"ZONE 12 EST DU BANC MISCOU"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,13-Aug-2016,221155,48 10.938700 N,063 41.231100 W,3.5,303.0,A,,,,,,
,13-Aug-2016,221156,48 10.939300 N,063 41.232200 W,3.5,303.2,A,,,,,,
,13-Aug-2016,221157,48 10.939800 N,063 41.233400 W,3.5,303.0,A,,,,,,
,13-Aug-2016,221158,48 10.940400 N,063 41.234600 W,3.5,302.9,A,,,,,,
,13-Aug-2016,221159,48 10.940900 N,063 41.235800 W,3.5,302.8,A,,,,,,
,13-Aug-2016,221200,48 10.941400 N,063 41.237100 W,3.4,302.8,A,,,,,,
,13-Aug-2016,221201,48 10.941900 N,063 41.238200 W,3.4,302.5,A,,,,,,
,13-Aug-2016,221202,48 10.942400 N,063 41.239300 W,3.4,302.3,A,,,,,,
,13-Aug-2016,221203,48 10.942900 N,063 41.240600 W,3.3,302.0,A,,,,,,
,13-Aug-2016,221204,48 10.943300 N,063 41.241800 W,3.3,301.7,A,,,,,,
Sat Aug 13 19:12:03 2016,13-Aug-2016,221205,48 10.943800 N,063 41.242900 W,3.3,301.5,A,DoorSpread,DoorMaster,0.325000,D,S,37627.000000
Sat Aug 13 19:12:03 2016,13-Aug-2016,221206,48 10.944300 N,063 41.244000 W,3.2,301.5,A,DoorSpread,DoorMaster,0.325000,D,S,37627.000000
Sat Aug 13 19:12:03 2016,13-Aug-2016,221207,48 10.944700 N,063 41.245100 W,3.2,301.4,A,DoorSpread,DoorMaster,0.325000,D,S,37627.000000
Sat Aug 13 19:12:03 2016,13-Aug-2016,221208,48 10.945300 N,063 41.246400 W,3.2,301.2,A,DoorSpread,DoorMaster,0.325000,D,S,37627.000000
Sat Aug 13 19:12:03 2016,13-Aug-2016,221209,48 10.945700 N,063 41.247500 W,3.1,301.0,A,DoorSpread,DoorMaster,0.325000,D,S,37627.000000
Sat Aug 13 19:12:09 2016,13-Aug-2016,221210,48 10.946000 N,063 41.248400 W,3.0,300.5,A,DoorSpread,DoorMaster,1.115000,D,S,50202.000000
Sat Aug 13 19:12:09 2016,13-Aug-2016,221211,48 10.946400 N,063 41.249400 W,3.0,300.1,A,DoorSpread,DoorMaster,1.115000,D,S,50202.000000
Sat Aug 13 19:12:09 2016,13-Aug-2016,221212,48 10.946800 N,063 41.250500 W,3.0,300.0,A,DoorSpread,DoorMaster,1.115000,D,S,50202.000000
Sat Aug 13 19:12:09 2016,13-Aug-2016,221213,48 10.947100 N,063 41.251400 W,2.9,299.8,A,DoorSpread,DoorMaster,1.115000,D,S,50202.000000
Sat Aug 13 19:12:09 2016,13-Aug-2016,221214,48 10.947400 N,063 41.252400 W,2.9,299.6,A,DoorSpread,DoorMaster,1.115000,D,S,50202.000000
Sat Aug 13 19:12:14 2016,13-Aug-2016,221215,48 10.947800 N,063 41.253400 W,2.8,299.7,A,DoorSpread,DoorMaster,0.000000,E,S,85767.000000
Sat Aug 13 19:12:14 2016,13-Aug-2016,221216,48 10.948200 N,063 41.254200 W,2.8,300.0,A,DoorSpread,DoorMaster,0.000000,E,S,85767.000000
Sat Aug 13 19:12:14 2016,13-Aug-2016,221217,48 10.948500 N,063 41.255100 W,2.8,299.9,A,DoorSpread,DoorMaster,0.000000,E,S,85767.000000
Sat Aug 13 19:12:14 2016,13-Aug-2016,221218,48 10.948800 N,063 41.255900 W,2.7,299.8,A,DoorSpread,DoorMaster,0.000000,E,S,85767.000000
Sat Aug 13 19:12:14 2016,13-Aug-2016,221219,48 10.949300 N,063 41.256900 W,2.7,300.2,A,DoorSpread,DoorMaster,0.000000,E,S,85767.000000
Sat Aug 13 19:12:19 2016,13-Aug-2016,221220,48 10.949600 N,063 41.257700 W,2.7,300.5,A,DoorSpread,DoorMaster,0.000000,E,S,37055.000000
Sat Aug 13 19:12:19 2016,13-Aug-2016,221221,48 10.949900 N,063 41.258500 W,2.6,300.2,A,DoorSpread,DoorMaster,0.000000,E,S,37055.000000
Sat Aug 13 19:12:19 2016,13-Aug-2016,221222,48 10.950200 N,063 41.259400 W,2.6,299.8,A,DoorSpread,DoorMaster,0.000000,E,S,37055.000000
Sat Aug 13 19:12:19 2016,13-Aug-2016,221223,48 10.950500 N,063 41.260200 W,2.6,299.6,A,DoorSpread,DoorMaster,0.000000,E,S,37055.000000
Sat Aug 13 19:12:19 2016,13-Aug-2016,221224,48 10.950900 N,063 41.261000 W,2.5,299.7,A,DoorSpread,DoorMaster,0.000000,E,S,37055.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221225,48 10.951200 N,063 41.261700 W,2.5,299.7,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221226,48 10.951600 N,063 41.262600 W,2.5,299.7,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221227,48 10.951900 N,063 41.263500 W,2.5,299.5,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221228,48 10.952100 N,063 41.264200 W,2.4,299.4,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221229,48 10.952500 N,063 41.265100 W,2.4,299.4,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:24 2016,13-Aug-2016,221230,48 10.952800 N,063 41.265900 W,2.4,299.8,A,DoorSpread,DoorMaster,2.085000,D,S,181313.000000
Sat Aug 13 19:12:29 2016,13-Aug-2016,221231,48 10.953100 N,063 41.266700 W,2.3,300.0,A,DoorSpread,DoorMaster,2.210000,D,S,227121.000000
Sat Aug 13 19:12:29 2016,13-Aug-2016,221232,48 10.953300 N,063 41.267400 W,2.3,299.7,A,DoorSpread,DoorMaster,2.210000,D,S,227121.000000
Sat Aug 13 19:12:29 2016,13-Aug-2016,221233,48 10.953700 N,063 41.268000 W,2.2,300.0,A,DoorSpread,DoorMaster,2.210000,D,S,227121.000000
Sat Aug 13 19:12:29 2016,13-Aug-2016,221234,48 10.954000 N,063 41.268800 W,2.2,300.4,A,DoorSpread,DoorMaster,2.210000,D,S,227121.000000
Sat Aug 13 19:12:34 2016,13-Aug-2016,221235,48 10.954300 N,063 41.269500 W,2.2,300.4,A,Primary,Headline,2.081633,D,S,28471.000000
Sat Aug 13 19:12:35 2016,13-Aug-2016,221236,48 10.954600 N,063 41.270300 W,2.2,300.7,A,DoorSpread,DoorMaster,1.890000,D,S,415452.000000
Sat Aug 13 19:12:35 2016,13-Aug-2016,221237,48 10.954900 N,063 41.270900 W,2.1,300.8,A,DoorSpread,DoorMaster,1.890000,D,S,415452.000000
Sat Aug 13 19:12:35 2016,13-Aug-2016,221238,48 10.955200 N,063 41.271700 W,2.1,300.9,A,DoorSpread,DoorMaster,1.890000,D,S,415452.000000
Sat Aug 13 19:12:35 2016,13-Aug-2016,221239,48 10.955500 N,063 41.272500 W,2.1,301.3,A,DoorSpread,DoorMaster,1.890000,D,S,415452.000000
Sat Aug 13 19:12:39 2016,13-Aug-2016,221240,48 10.955900 N,063 41.273100 W,2.0,301.1,A,Secondary,Headline,0.000000,E,S,52849.000000
Sat Aug 13 19:12:40 2016,13-Aug-2016,221241,48 10.956100 N,063 41.273800 W,2.0,300.7,A,DoorSpread,DoorMaster,2.045000,D,S,486370.000000
Sat Aug 13 19:12:40 2016,13-Aug-2016,221242,48 10.956400 N,063 41.274600 W,2.0,300.5,A,DoorSpread,DoorMaster,2.045000,D,S,486370.000000
Sat Aug 13 19:12:40 2016,13-Aug-2016,221243,48 10.956700 N,063 41.275300 W,2.0,300.5,A,DoorSpread,DoorMaster,2.045000,D,S,486370.000000
Sat Aug 13 19:12:40 2016,13-Aug-2016,221244,48 10.956900 N,063 41.276000 W,1.9,300.1,A,DoorSpread,DoorMaster,2.045000,D,S,486370.000000
Sat Aug 13 19:12:44 2016,13-Aug-2016,221245,48 10.957200 N,063 41.276600 W,1.9,300.1,A,Primary,Headline,8.244898,D,S,33088.000000
Sat Aug 13 19:12:45 2016,13-Aug-2016,221246,48 10.957500 N,063 41.277200 W,1.9,300.4,A,DoorSpread,DoorMaster,1.975000,D,S,652728.000000
Sat Aug 13 19:12:45 2016,13-Aug-2016,221247,48 10.957700 N,063 41.277800 W,1.9,299.7,A,DoorSpread,DoorMaster,1.975000,D,S,652728.000000
Sat Aug 13 19:12:45 2016,13-Aug-2016,221248,48 10.957900 N,063 41.278400 W,1.8,299.0,A,DoorSpread,DoorMaster,1.975000,D,S,652728.000000
Sat Aug 13 19:12:45 2016,13-Aug-2016,221249,48 10.958200 N,063 41.279200 W,1.8,298.9,A,DoorSpread,DoorMaster,1.975000,D,S,652728.000000
Sat Aug 13 19:12:49 2016,13-Aug-2016,221250,48 10.958400 N,063 41.279800 W,1.8,298.9,A,Secondary,Headline,0.000000,E,S,51591.000000
Sat Aug 13 19:12:50 2016,13-Aug-2016,221251,48 10.958700 N,063 41.280500 W,1.8,298.4,A,DoorSpread,DoorMaster,0.000000,E,S,706003.000000
Sat Aug 13 19:12:50 2016,13-Aug-2016,221252,48 10.958900 N,063 41.281200 W,1.8,298.1,A,DoorSpread,DoorMaster,0.000000,E,S,706003.000000
Sat Aug 13 19:12:50 2016,13-Aug-2016,221253,48 10.959100 N,063 41.281700 W,1.7,298.3,A,DoorSpread,DoorMaster,0.000000,E,S,706003.000000
Sat Aug 13 19:12:50 2016,13-Aug-2016,221254,48 10.959300 N,063 41.282300 W,1.7,298.0,A,DoorSpread,DoorMaster,0.000000,E,S,706003.000000
Sat Aug 13 19:12:50 2016,13-Aug-2016,221255,48 10.959500 N,063 41.282800 W,1.7,297.9,A,DoorSpread,DoorMaster,0.000000,E,S,706003.000000
Sat Aug 13 19:12:55 2016,13-Aug-2016,221256,48 10.959800 N,063 41.283400 W,1.7,298.0,A,Depth,Depth,29.074074,D,S,26580.000000
Sat Aug 13 19:12:56 2016,13-Aug-2016,221257,48 10.959900 N,063 41.284000 W,1.7,297.8,A,DoorSpread,DoorMaster,2.140000,D,S,604256.000000
Sat Aug 13 19:12:56 2016,13-Aug-2016,221258,48 10.960100 N,063 41.284600 W,1.7,297.3,A,DoorSpread,DoorMaster,2.140000,D,S,604256.000000
Sat Aug 13 19:12:56 2016,13-Aug-2016,221259,48 10.960300 N,063 41.285200 W,1.7,297.2,A,DoorSpread,DoorMaster,2.140000,D,S,604256.000000
Sat Aug 13 19:12:59 2016,13-Aug-2016,221300,48 10.960500 N,063 41.285700 W,1.7,297.0,A,Primary,Headline,2.020408,D,S,171140.000000
Sat Aug 13 19:12:59 2016,13-Aug-2016,221301,48 10.960600 N,063 41.286300 W,1.7,296.4,A,Primary,Headline,2.020408,D,S,171140.000000
Sat Aug 13 19:13:01 2016,13-Aug-2016,221302,48 10.960800 N,063 41.287000 W,1.7,295.9,A,DoorSpread,DoorMaster,2.055000,D,S,536566.000000
Sat Aug 13 19:13:01 2016,13-Aug-2016,221303,48 10.961000 N,063 41.287700 W,1.6,295.3,A,DoorSpread,DoorMaster,2.055000,D,S,536566.000000
Sat Aug 13 19:13:01 2016,13-Aug-2016,221304,48 10.961200 N,063 41.288300 W,1.6,294.5,A,DoorSpread,DoorMaster,2.055000,D,S,536566.000000
Sat Aug 13 19:13:04 2016,13-Aug-2016,221305,48 10.961400 N,063 41.289000 W,1.6,294.3,A,Primary,Headline,2.000000,D,S,389155.000000
Sat Aug 13 19:13:04 2016,13-Aug-2016,221306,48 10.961700 N,063 41.289700 W,1.7,294.8,A,Primary,Headline,2.000000,D,S,389155.000000
Sat Aug 13 19:13:04 2016,13-Aug-2016,221307,48 10.961900 N,063 41.290300 W,1.6,295.3,A,Primary,Headline,2.000000,D,S,389155.000000
Sat Aug 13 19:13:06 2016,13-Aug-2016,221308,48 10.962000 N,063 41.290700 W,1.6,295.0,A,DoorSpread,DoorMaster,1.980000,D,S,722279.000000
Sat Aug 13 19:13:06 2016,13-Aug-2016,221309,48 10.962100 N,063 41.291300 W,1.6,294.3,A,DoorSpread,DoorMaster,1.980000,D,S,722279.000000
Sat Aug 13 19:13:06 2016,13-Aug-2016,221310,48 10.962300 N,063 41.291900 W,1.6,293.7,A,DoorSpread,DoorMaster,1.980000,D,S,722279.000000
Sat Aug 13 19:13:09 2016,13-Aug-2016,221311,48 10.962400 N,063 41.292200 W,1.6,293.4,A,Primary,Headline,1.591837,D,S,362683.000000
Sat Aug 13 19:13:09 2016,13-Aug-2016,221312,48 10.962500 N,063 41.292700 W,1.6,293.9,A,Primary,Headline,1.591837,D,S,362683.000000
Sat Aug 13 19:13:11 2016,13-Aug-2016,221313,48 10.962700 N,063 41.293200 W,1.6,294.4,A,DoorSpread,DoorMaster,2.115000,D,S,242880.000000
Sat Aug 13 19:13:11 2016,13-Aug-2016,221314,48 10.962900 N,063 41.293800 W,1.6,294.3,A,DoorSpread,DoorMaster,2.115000,D,S,242880.000000
Sat Aug 13 19:13:11 2016,13-Aug-2016,221315,48 10.963000 N,063 41.294200 W,1.6,294.3,A,DoorSpread,DoorMaster,2.115000,D,S,242880.000000
Sat Aug 13 19:13:14 2016,13-Aug-2016,221316,48 10.963200 N,063 41.294800 W,1.5,294.6,A,Primary,Headline,1.000000,D,S,389131.000000
Sat Aug 13 19:13:15 2016,13-Aug-2016,221317,48 10.963300 N,063 41.295500 W,1.5,293.6,A,Depth,Depth,0.000000,D,S,73693.000000
Sat Aug 13 19:13:17 2016,13-Aug-2016,221318,48 10.963600 N,063 41.296300 W,1.6,293.4,A,DoorSpread,DoorMaster,1.945000,D,S,310947.000000
Sat Aug 13 19:13:17 2016,13-Aug-2016,221319,48 10.963900 N,063 41.296900 W,1.6,293.5,A,DoorSpread,DoorMaster,1.945000,D,S,310947.000000
Sat Aug 13 19:13:17 2016,13-Aug-2016,221320,48 10.964000 N,063 41.297400 W,1.5,292.7,A,DoorSpread,DoorMaster,1.945000,D,S,310947.000000
Sat Aug 13 19:13:19 2016,13-Aug-2016,221321,48 10.964200 N,063 41.297900 W,1.5,292.9,A,Primary,Headline,1.632653,D,S,301076.000000
Sat Aug 13 19:13:19 2016,13-Aug-2016,221322,48 10.964500 N,063 41.298600 W,1.6,293.7,A,Primary,Headline,1.632653,D,S,301076.000000
Sat Aug 13 19:13:22 2016,13-Aug-2016,221323,48 10.964600 N,063 41.299000 W,1.5,293.7,A,DoorSpread,DoorMaster,1.760000,D,S,632774.000000
Sat Aug 13 19:13:22 2016,13-Aug-2016,221324,48 10.964800 N,063 41.299600 W,1.5,293.2,A,DoorSpread,DoorMaster,1.760000,D,S,632774.000000
Sat Aug 13 19:13:22 2016,13-Aug-2016,221325,48 10.964900 N,063 41.300100 W,1.5,293.5,A,DoorSpread,DoorMaster,1.760000,D,S,632774.000000
Sat Aug 13 19:13:24 2016,13-Aug-2016,221326,48 10.965100 N,063 41.300700 W,1.5,293.9,A,Primary,Headline,1.775510,D,S,401163.000000
Sat Aug 13 19:13:24 2016,13-Aug-2016,221327,48 10.965300 N,063 41.301100 W,1.4,293.3,A,Primary,Headline,1.775510,D,S,401163.000000
Sat Aug 13 19:13:24 2016,13-Aug-2016,221328,48 10.965500 N,063 41.301600 W,1.4,293.1,A,Primary,Headline,1.775510,D,S,401163.000000
Sat Aug 13 19:13:27 2016,13-Aug-2016,221329,48 10.965600 N,063 41.302200 W,1.4,293.0,A,DoorSpread,DoorMaster,2.050000,D,S,82560.000000
Sat Aug 13 19:13:27 2016,13-Aug-2016,221330,48 10.965700 N,063 41.302700 W,1.4,292.5,A,DoorSpread,DoorMaster,2.050000,D,S,82560.000000
Sat Aug 13 19:13:29 2016,13-Aug-2016,221331,48 10.965800 N,063 41.303200 W,1.4,292.2,A,Primary,Headline,1.632653,D,S,466102.000000
Sat Aug 13 19:13:29 2016,13-Aug-2016,221332,48 10.965900 N,063 41.303700 W,1.3,292.3,A,Primary,Headline,1.632653,D,S,466102.000000
Sat Aug 13 19:13:29 2016,13-Aug-2016,221333,48 10.966000 N,063 41.304200 W,1.3,291.8,A,Primary,Headline,1.632653,D,S,466102.000000
Sat Aug 13 19:13:32 2016,13-Aug-2016,221334,48 10.966100 N,063 41.304700 W,1.3,291.7,A,DoorSpread,DoorMaster,0.000000,E,S,58983.000000
Sat Aug 13 19:13:32 2016,13-Aug-2016,221335,48 10.966300 N,063 41.305300 W,1.4,292.6,A,DoorSpread,DoorMaster,0.000000,E,S,58983.000000
Sat Aug 13 19:13:34 2016,13-Aug-2016,221336,48 10.966500 N,063 41.305800 W,1.4,293.6,A,Primary,Headline,2.469388,D,S,359330.000000
Sat Aug 13 19:13:34 2016,13-Aug-2016,221337,48 10.966700 N,063 41.306400 W,1.4,293.9,A,Primary,Headline,2.469388,D,S,359330.000000
Sat Aug 13 19:13:36 2016,13-Aug-2016,221338,48 10.967000 N,063 41.307200 W,1.5,295.0,A,Depth,Depth,0.000000,D,S,90705.000000
Sat Aug 13 19:13:38 2016,13-Aug-2016,221339,48 10.967300 N,063 41.308100 W,1.6,295.8,A,DoorSpread,DoorMaster,2.895000,D,S,145645.000000
Sat Aug 13 19:13:38 2016,13-Aug-2016,221340,48 10.967700 N,063 41.309000 W,1.8,296.9,A,DoorSpread,DoorMaster,2.895000,D,S,145645.000000
Sat Aug 13 19:13:39 2016,13-Aug-2016,221341,48 10.968100 N,063 41.310000 W,2.0,298.1,A,Primary,Headline,2.244898,D,S,374706.000000
Sat Aug 13 19:13:39 2016,13-Aug-2016,221342,48 10.968600 N,063 41.311300 W,2.3,299.4,A,Primary,Headline,2.244898,D,S,374706.000000
Sat Aug 13 19:13:39 2016,13-Aug-2016,221343,48 10.969200 N,063 41.312600 W,2.5,300.4,A,Primary,Headline,2.244898,D,S,374706.000000
Sat Aug 13 19:13:39 2016,13-Aug-2016,221344,48 10.969900 N,063 41.314100 W,2.8,300.8,A,Primary,Headline,2.244898,D,S,374706.000000
Sat Aug 13 19:13:43 2016,13-Aug-2016,221345,48 10.970500 N,063 41.315700 W,3.1,301.1,A,Depth,Depth,7.592593,D,S,52904.000000
Sat Aug 13 19:13:44 2016,13-Aug-2016,221346,48 10.971200 N,063 41.317400 W,3.3,301.3,A,Primary,Headline,2.326531,D,S,279707.000000
Sat Aug 13 19:13:44 2016,13-Aug-2016,221347,48 10.971900 N,063 41.319100 W,3.6,301.4,A,Primary,Headline,2.326531,D,S,279707.000000
Sat Aug 13 19:13:44 2016,13-Aug-2016,221348,48 10.972700 N,063 41.320900 W,3.8,301.5,A,Primary,Headline,2.326531,D,S,279707.000000
Sat Aug 13 19:13:44 2016,13-Aug-2016,221349,48 10.973400 N,063 41.322900 W,4.0,301.5,A,Primary,Headline,2.326531,D,S,279707.000000
Sat Aug 13 19:13:44 2016,13-Aug-2016,221350,48 10.974200 N,063 41.324900 W,4.2,301.5,A,Primary,Headline,2.326531,D,S,279707.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221351,48 10.975000 N,063 41.326900 W,4.4,301.3,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221352,48 10.975800 N,063 41.328600 W,4.6,301.3,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221353,48 10.976800 N,063 41.330700 W,4.8,301.4,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221354,48 10.977700 N,063 41.332800 W,4.9,301.6,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221355,48 10.978600 N,063 41.334800 W,5.1,301.7,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221356,48 10.979600 N,063 41.336900 W,5.3,301.8,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221357,48 10.980600 N,063 41.339000 W,5.4,302.1,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:49 2016,13-Aug-2016,221358,48 10.981600 N,063 41.341200 W,5.5,302.4,A,Primary,Headline,1.938776,D,S,184696.000000
Sat Aug 13 19:13:58 2016,13-Aug-2016,221359,48 10.982600 N,063 41.343400 W,5.7,302.7,A,DoorSpread,DoorMaster,3.385000,D,S,214468.000000
