Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,5
Comments
"ZONE 12 NORD-EST DU BANC AMERICAIN"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,26-Aug-2016,164250,48 52.278800 N,063 35.984200 W,2.8,11.2,A,,,,,,
,26-Aug-2016,164251,48 52.279500 N,063 35.983900 W,2.8,11.4,A,,,,,,
,26-Aug-2016,164252,48 52.280200 N,063 35.983700 W,2.8,11.5,A,,,,,,
Fri Aug 26 13:42:52 2016,26-Aug-2016,164253,48 52.280800 N,063 35.983500 W,2.7,11.6,A,DoorSpread,DoorMaster,2.110000,D,S,127775.000000
Fri Aug 26 13:42:52 2016,26-Aug-2016,164254,48 52.281500 N,063 35.983300 W,2.7,11.5,A,DoorSpread,DoorMaster,2.110000,D,S,127775.000000
Fri Aug 26 13:42:52 2016,26-Aug-2016,164255,48 52.282200 N,063 35.983000 W,2.7,11.7,A,DoorSpread,DoorMaster,2.110000,D,S,127775.000000
Fri Aug 26 13:42:52 2016,26-Aug-2016,164256,48 52.282800 N,063 35.982800 W,2.6,12.2,A,DoorSpread,DoorMaster,2.110000,D,S,127775.000000
Fri Aug 26 13:42:52 2016,26-Aug-2016,164257,48 52.283500 N,063 35.982500 W,2.6,12.6,A,DoorSpread,DoorMaster,2.110000,D,S,127775.000000
Fri Aug 26 13:42:57 2016,26-Aug-2016,164258,48 52.284200 N,063 35.982200 W,2.6,12.7,A,DoorSpread,DoorMaster,2.195000,D,S,223858.000000
Fri Aug 26 13:42:57 2016,26-Aug-2016,164259,48 52.284800 N,063 35.982100 W,2.5,12.6,A,DoorSpread,DoorMaster,2.195000,D,S,223858.000000
Fri Aug 26 13:42:57 2016,26-Aug-2016,164300,48 52.285400 N,063 35.981900 W,2.5,12.1,A,DoorSpread,DoorMaster,2.195000,D,S,223858.000000
Fri Aug 26 13:42:59 2016,26-Aug-2016,164301,48 52.286100 N,063 35.981800 W,2.5,12.3,A,Primary,Headline,1.142857,D,S,43417.000000
Fri Aug 26 13:42:59 2016,26-Aug-2016,164302,48 52.286800 N,063 35.981500 W,2.5,13.2,A,Primary,Headline,1.142857,D,S,43417.000000
Fri Aug 26 13:42:59 2016,26-Aug-2016,164303,48 52.287500 N,063 35.981300 W,2.5,13.7,A,Primary,Headline,1.142857,D,S,43417.000000
Fri Aug 26 13:43:02 2016,26-Aug-2016,164304,48 52.288200 N,063 35.981100 W,2.4,13.4,A,DoorSpread,DoorMaster,2.195000,D,S,402845.000000
Fri Aug 26 13:43:02 2016,26-Aug-2016,164305,48 52.288700 N,063 35.981000 W,2.4,12.6,A,DoorSpread,DoorMaster,2.195000,D,S,402845.000000
Fri Aug 26 13:43:04 2016,26-Aug-2016,164306,48 52.289400 N,063 35.980900 W,2.4,12.2,A,Primary,Headline,4.714286,D,S,61118.000000
