Ship Number,Trip Number,Tow Number
JEANMATHIEU,6,7
Comments
"ZONE 12 ANTICOSTI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
Fri Aug 26 17:25:55 2016,26-Aug-2016,202556,48 53.514700 N,063 15.747200 W,3.4,9.2,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:25:55 2016,26-Aug-2016,202557,48 53.515500 N,063 15.746900 W,3.4,9.8,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:25:55 2016,26-Aug-2016,202558,48 53.516300 N,063 15.746700 W,3.3,10.0,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:25:55 2016,26-Aug-2016,202559,48 53.517100 N,063 15.746500 W,3.2,10.3,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:25:55 2016,26-Aug-2016,202600,48 53.517900 N,063 15.746100 W,3.2,11.2,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:25:55 2016,26-Aug-2016,202601,48 53.518700 N,063 15.745800 W,3.1,12.0,A,DoorSpread,DoorMaster,2.290000,D,S,48850.000000
Fri Aug 26 17:26:00 2016,26-Aug-2016,202602,48 53.519400 N,063 15.745600 W,3.1,11.7,A,DoorSpread,DoorMaster,2.250000,D,S,160163.000000
Fri Aug 26 17:26:00 2016,26-Aug-2016,202603,48 53.520200 N,063 15.745400 W,3.0,10.9,A,DoorSpread,DoorMaster,2.250000,D,S,160163.000000
Fri Aug 26 17:26:00 2016,26-Aug-2016,202604,48 53.520900 N,063 15.745200 W,3.0,11.0,A,DoorSpread,DoorMaster,2.250000,D,S,160163.000000
Fri Aug 26 17:26:00 2016,26-Aug-2016,202605,48 53.521600 N,063 15.744800 W,3.0,12.0,A,DoorSpread,DoorMaster,2.250000,D,S,160163.000000
Fri Aug 26 17:26:00 2016,26-Aug-2016,202606,48 53.522300 N,063 15.744400 W,2.9,12.8,A,DoorSpread,DoorMaster,2.250000,D,S,160163.000000
Fri Aug 26 17:26:05 2016,26-Aug-2016,202607,48 53.523100 N,063 15.744200 W,2.8,12.5,A,DoorSpread,DoorMaster,0.000000,E,S,24685.000000
Fri Aug 26 17:26:05 2016,26-Aug-2016,202608,48 53.523800 N,063 15.744100 W,2.8,11.5,A,DoorSpread,DoorMaster,0.000000,E,S,24685.000000
Fri Aug 26 17:26:05 2016,26-Aug-2016,202609,48 53.524500 N,063 15.743900 W,2.8,11.1,A,DoorSpread,DoorMaster,0.000000,E,S,24685.000000
Fri Aug 26 17:26:05 2016,26-Aug-2016,202610,48 53.525200 N,063 15.743600 W,2.7,11.6,A,DoorSpread,DoorMaster,0.000000,E,S,24685.000000
Fri Aug 26 17:26:05 2016,26-Aug-2016,202611,48 53.525900 N,063 15.743300 W,2.7,12.5,A,DoorSpread,DoorMaster,0.000000,E,S,24685.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202612,48 53.526600 N,063 15.743000 W,2.7,12.8,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202613,48 53.527200 N,063 15.742800 W,2.6,11.8,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202614,48 53.528000 N,063 15.742700 W,2.6,11.0,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202615,48 53.528600 N,063 15.742400 W,2.6,11.1,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202616,48 53.529200 N,063 15.742100 W,2.5,11.8,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:10 2016,26-Aug-2016,202617,48 53.529900 N,063 15.741800 W,2.5,12.3,A,DoorSpread,DoorMaster,2.215000,D,S,66033.000000
Fri Aug 26 17:26:16 2016,26-Aug-2016,202618,48 53.530500 N,063 15.741600 W,2.5,12.1,A,DoorSpread,DoorMaster,2.380000,D,S,233383.000000
Fri Aug 26 17:26:16 2016,26-Aug-2016,202619,48 53.531200 N,063 15.741600 W,2.5,11.0,A,DoorSpread,DoorMaster,2.380000,D,S,233383.000000
