Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,11
Comments
"ZONE 12 PEI"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,29-Jul-2016,211140,46 50.331200 N,063 14.984900 W,2.3,64.2,A,,,,,,
,29-Jul-2016,211141,46 50.331300 N,063 14.984200 W,2.2,64.5,A,,,,,,
,29-Jul-2016,211142,46 50.331500 N,063 14.983600 W,2.2,64.9,A,,,,,,
Fri Jul 29 18:11:41 2016,29-Jul-2016,211143,46 50.331700 N,063 14.982900 W,2.1,65.3,A,DoorSpread,DoorMaster,0.875000,D,S,111542.000000
Fri Jul 29 18:11:41 2016,29-Jul-2016,211144,46 50.331800 N,063 14.982200 W,2.0,65.7,A,DoorSpread,DoorMaster,0.875000,D,S,111542.000000
Fri Jul 29 18:11:41 2016,29-Jul-2016,211145,46 50.332000 N,063 14.981500 W,2.0,65.9,A,DoorSpread,DoorMaster,0.875000,D,S,111542.000000
Fri Jul 29 18:11:41 2016,29-Jul-2016,211146,46 50.332200 N,063 14.980900 W,1.9,66.1,A,DoorSpread,DoorMaster,0.875000,D,S,111542.000000
Fri Jul 29 18:11:41 2016,29-Jul-2016,211147,46 50.332300 N,063 14.980300 W,1.9,66.3,A,DoorSpread,DoorMaster,0.875000,D,S,111542.000000
Fri Jul 29 18:11:46 2016,29-Jul-2016,211148,46 50.332400 N,063 14.979700 W,1.8,66.7,A,DoorSpread,DoorMaster,0.000000,E,S,96521.000000
Fri Jul 29 18:11:46 2016,29-Jul-2016,211149,46 50.332600 N,063 14.979100 W,1.8,66.8,A,DoorSpread,DoorMaster,0.000000,E,S,96521.000000
Fri Jul 29 18:11:46 2016,29-Jul-2016,211150,46 50.332700 N,063 14.978500 W,1.8,66.8,A,DoorSpread,DoorMaster,0.000000,E,S,96521.000000
Fri Jul 29 18:11:46 2016,29-Jul-2016,211151,46 50.332900 N,063 14.978000 W,1.7,67.0,A,DoorSpread,DoorMaster,0.000000,E,S,96521.000000
Fri Jul 29 18:11:46 2016,29-Jul-2016,211152,46 50.333000 N,063 14.977400 W,1.7,67.1,A,DoorSpread,DoorMaster,0.000000,E,S,96521.000000
Fri Jul 29 18:11:51 2016,29-Jul-2016,211153,46 50.333100 N,063 14.976800 W,1.6,67.2,A,DoorSpread,DoorMaster,1.705000,D,S,155355.000000
Fri Jul 29 18:11:51 2016,29-Jul-2016,211154,46 50.333300 N,063 14.976300 W,1.6,67.1,A,DoorSpread,DoorMaster,1.705000,D,S,155355.000000
Fri Jul 29 18:11:53 2016,29-Jul-2016,211155,46 50.333400 N,063 14.975800 W,1.6,66.7,A,Primary,Headline,2.795918,D,S,84780.000000
Fri Jul 29 18:11:53 2016,29-Jul-2016,211156,46 50.333600 N,063 14.975300 W,1.5,66.5,A,Primary,Headline,2.795918,D,S,84780.000000
Fri Jul 29 18:11:53 2016,29-Jul-2016,211157,46 50.333700 N,063 14.974800 W,1.5,66.7,A,Primary,Headline,2.795918,D,S,84780.000000
Fri Jul 29 18:11:53 2016,29-Jul-2016,211158,46 50.333800 N,063 14.974400 W,1.4,66.4,A,Primary,Headline,2.795918,D,S,84780.000000
Fri Jul 29 18:11:57 2016,29-Jul-2016,211159,46 50.334000 N,063 14.973900 W,1.4,66.3,A,DoorSpread,DoorMaster,1.685000,D,S,283258.000000
Fri Jul 29 18:11:57 2016,29-Jul-2016,211200,46 50.334100 N,063 14.973500 W,1.4,66.2,A,DoorSpread,DoorMaster,1.685000,D,S,283258.000000
Fri Jul 29 18:11:57 2016,29-Jul-2016,211201,46 50.334300 N,063 14.973100 W,1.4,65.9,A,DoorSpread,DoorMaster,1.685000,D,S,283258.000000
Fri Jul 29 18:11:57 2016,29-Jul-2016,211202,46 50.334400 N,063 14.972700 W,1.3,65.5,A,DoorSpread,DoorMaster,1.685000,D,S,283258.000000
Fri Jul 29 18:11:57 2016,29-Jul-2016,211203,46 50.334600 N,063 14.972200 W,1.3,65.1,A,DoorSpread,DoorMaster,1.685000,D,S,283258.000000
Fri Jul 29 18:12:02 2016,29-Jul-2016,211204,46 50.334700 N,063 14.971800 W,1.3,65.0,A,DoorSpread,DoorMaster,1.600000,D,S,415488.000000
Fri Jul 29 18:12:03 2016,29-Jul-2016,211205,46 50.334900 N,063 14.971400 W,1.2,64.3,A,Primary,Headline,1.734694,D,S,104405.000000
Fri Jul 29 18:12:03 2016,29-Jul-2016,211206,46 50.335000 N,063 14.971100 W,1.2,63.2,A,Primary,Headline,1.734694,D,S,104405.000000
Fri Jul 29 18:12:03 2016,29-Jul-2016,211207,46 50.335200 N,063 14.970700 W,1.2,62.8,A,Primary,Headline,1.734694,D,S,104405.000000
Fri Jul 29 18:12:03 2016,29-Jul-2016,211208,46 50.335300 N,063 14.970300 W,1.2,62.7,A,Primary,Headline,1.734694,D,S,104405.000000
Fri Jul 29 18:12:07 2016,29-Jul-2016,211209,46 50.335500 N,063 14.970000 W,1.2,62.0,A,DoorSpread,DoorMaster,1.675000,D,S,291951.000000
Fri Jul 29 18:12:08 2016,29-Jul-2016,211210,46 50.335600 N,063 14.969600 W,1.1,61.3,A,Primary,Headline,1.183673,D,S,131656.000000
Fri Jul 29 18:12:08 2016,29-Jul-2016,211211,46 50.335700 N,063 14.969300 W,1.1,60.7,A,Primary,Headline,1.183673,D,S,131656.000000
Fri Jul 29 18:12:08 2016,29-Jul-2016,211212,46 50.335900 N,063 14.969000 W,1.1,60.2,A,Primary,Headline,1.183673,D,S,131656.000000
Fri Jul 29 18:12:08 2016,29-Jul-2016,211213,46 50.336000 N,063 14.968700 W,1.1,59.5,A,Primary,Headline,1.183673,D,S,131656.000000
