Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,3
Comments
"ZONE 12 CANAL DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,28-Jul-2016,110716,46 45.488300 N,062 41.437800 W,4.2,13.5,A,,,,,,
,28-Jul-2016,110717,46 45.489400 N,062 41.437500 W,4.1,13.5,A,,,,,,
,28-Jul-2016,110718,46 45.490400 N,062 41.437200 W,4.1,13.3,A,,,,,,
,28-Jul-2016,110719,46 45.491400 N,062 41.436800 W,4.1,13.2,A,,,,,,
,28-Jul-2016,110720,46 45.492400 N,062 41.436500 W,4.0,13.1,A,,,,,,
,28-Jul-2016,110721,46 45.493500 N,062 41.436200 W,4.0,12.9,A,,,,,,
,28-Jul-2016,110722,46 45.494500 N,062 41.435900 W,3.9,12.7,A,,,,,,
,28-Jul-2016,110723,46 45.495500 N,062 41.435600 W,3.9,12.6,A,,,,,,
,28-Jul-2016,110724,46 45.496600 N,062 41.435200 W,3.9,12.7,A,,,,,,
,28-Jul-2016,110725,46 45.497600 N,062 41.434900 W,3.9,12.6,A,,,,,,
,28-Jul-2016,110726,46 45.498500 N,062 41.434600 W,3.8,12.5,A,,,,,,
,28-Jul-2016,110727,46 45.499500 N,062 41.434200 W,3.8,12.5,A,,,,,,
,28-Jul-2016,110728,46 45.500500 N,062 41.433900 W,3.8,12.5,A,,,,,,
Thu Jul 28 08:07:28 2016,28-Jul-2016,110729,46 45.501400 N,062 41.433600 W,3.7,12.7,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:28 2016,28-Jul-2016,110730,46 45.502400 N,062 41.433300 W,3.7,12.9,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:28 2016,28-Jul-2016,110731,46 45.503400 N,062 41.432900 W,3.7,13.0,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:28 2016,28-Jul-2016,110732,46 45.504300 N,062 41.432600 W,3.6,13.1,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:28 2016,28-Jul-2016,110733,46 45.505300 N,062 41.432300 W,3.6,13.3,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:28 2016,28-Jul-2016,110734,46 45.506200 N,062 41.431900 W,3.6,13.6,A,DoorSpread,DoorMaster,3.155000,D,S,65745.000000
Thu Jul 28 08:07:34 2016,28-Jul-2016,110735,46 45.507200 N,062 41.431600 W,3.6,13.8,A,DoorSpread,DoorMaster,2.570000,D,S,89237.000000
Thu Jul 28 08:07:34 2016,28-Jul-2016,110736,46 45.508100 N,062 41.431200 W,3.6,13.9,A,DoorSpread,DoorMaster,2.570000,D,S,89237.000000
Thu Jul 28 08:07:34 2016,28-Jul-2016,110737,46 45.509000 N,062 41.430900 W,3.6,14.0,A,DoorSpread,DoorMaster,2.570000,D,S,89237.000000
Thu Jul 28 08:07:34 2016,28-Jul-2016,110738,46 45.510000 N,062 41.430500 W,3.5,14.3,A,DoorSpread,DoorMaster,2.570000,D,S,89237.000000
Thu Jul 28 08:07:34 2016,28-Jul-2016,110739,46 45.510900 N,062 41.430100 W,3.5,14.5,A,DoorSpread,DoorMaster,2.570000,D,S,89237.000000
Thu Jul 28 08:07:39 2016,28-Jul-2016,110740,46 45.511800 N,062 41.429700 W,3.5,14.6,A,DoorSpread,DoorMaster,4.350000,D,S,77115.000000
Thu Jul 28 08:07:39 2016,28-Jul-2016,110741,46 45.512700 N,062 41.429400 W,3.5,14.6,A,DoorSpread,DoorMaster,4.350000,D,S,77115.000000
Thu Jul 28 08:07:39 2016,28-Jul-2016,110742,46 45.513700 N,062 41.429000 W,3.5,14.7,A,DoorSpread,DoorMaster,4.350000,D,S,77115.000000
Thu Jul 28 08:07:39 2016,28-Jul-2016,110743,46 45.514500 N,062 41.428700 W,3.5,14.9,A,DoorSpread,DoorMaster,4.350000,D,S,77115.000000
Thu Jul 28 08:07:39 2016,28-Jul-2016,110744,46 45.515500 N,062 41.428300 W,3.5,14.9,A,DoorSpread,DoorMaster,4.350000,D,S,77115.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110745,46 45.516400 N,062 41.428000 W,3.5,14.9,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110746,46 45.517300 N,062 41.427600 W,3.4,15.1,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110747,46 45.518200 N,062 41.427300 W,3.4,15.3,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110748,46 45.519100 N,062 41.427000 W,3.4,15.2,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110749,46 45.520000 N,062 41.426600 W,3.4,15.0,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:44 2016,28-Jul-2016,110750,46 45.520900 N,062 41.426300 W,3.4,14.8,A,DoorSpread,DoorMaster,1.975000,D,S,226857.000000
Thu Jul 28 08:07:50 2016,28-Jul-2016,110751,46 45.521800 N,062 41.426000 W,3.4,14.7,A,DoorSpread,DoorMaster,2.515000,D,S,118827.000000
Thu Jul 28 08:07:50 2016,28-Jul-2016,110752,46 45.522700 N,062 41.425700 W,3.4,14.6,A,DoorSpread,DoorMaster,2.515000,D,S,118827.000000
Thu Jul 28 08:07:50 2016,28-Jul-2016,110753,46 45.523600 N,062 41.425400 W,3.4,14.4,A,DoorSpread,DoorMaster,2.515000,D,S,118827.000000
Thu Jul 28 08:07:50 2016,28-Jul-2016,110754,46 45.524500 N,062 41.425100 W,3.3,14.3,A,DoorSpread,DoorMaster,2.515000,D,S,118827.000000
Thu Jul 28 08:07:50 2016,28-Jul-2016,110755,46 45.525400 N,062 41.424800 W,3.3,14.2,A,DoorSpread,DoorMaster,2.515000,D,S,118827.000000
Thu Jul 28 08:07:55 2016,28-Jul-2016,110756,46 45.526300 N,062 41.424400 W,3.3,14.1,A,DoorSpread,DoorMaster,1.775000,D,S,143145.000000
Thu Jul 28 08:07:55 2016,28-Jul-2016,110757,46 45.527200 N,062 41.424100 W,3.3,13.8,A,DoorSpread,DoorMaster,1.775000,D,S,143145.000000
Thu Jul 28 08:07:55 2016,28-Jul-2016,110758,46 45.528100 N,062 41.423900 W,3.3,13.6,A,DoorSpread,DoorMaster,1.775000,D,S,143145.000000
Thu Jul 28 08:07:55 2016,28-Jul-2016,110759,46 45.528900 N,062 41.423600 W,3.3,13.5,A,DoorSpread,DoorMaster,1.775000,D,S,143145.000000
Thu Jul 28 08:07:55 2016,28-Jul-2016,110800,46 45.529700 N,062 41.423300 W,3.2,13.4,A,DoorSpread,DoorMaster,1.775000,D,S,143145.000000
Thu Jul 28 08:08:00 2016,28-Jul-2016,110801,46 45.530600 N,062 41.423100 W,3.2,13.1,A,DoorSpread,DoorMaster,2.385000,D,S,94428.000000
Thu Jul 28 08:08:00 2016,28-Jul-2016,110802,46 45.531400 N,062 41.422900 W,3.1,12.9,A,DoorSpread,DoorMaster,2.385000,D,S,94428.000000
Thu Jul 28 08:08:02 2016,28-Jul-2016,110803,46 45.532100 N,062 41.422600 W,3.1,13.0,A,Primary,Headline,2.040816,D,S,51092.000000
Thu Jul 28 08:08:02 2016,28-Jul-2016,110804,46 45.532800 N,062 41.422400 W,3.0,12.9,A,Primary,Headline,2.040816,D,S,51092.000000
Thu Jul 28 08:08:02 2016,28-Jul-2016,110805,46 45.533500 N,062 41.422100 W,2.9,12.9,A,Primary,Headline,2.040816,D,S,51092.000000
Thu Jul 28 08:08:02 2016,28-Jul-2016,110806,46 45.534300 N,062 41.422000 W,2.9,12.6,A,Primary,Headline,2.040816,D,S,51092.000000
Thu Jul 28 08:08:06 2016,28-Jul-2016,110807,46 45.534900 N,062 41.421800 W,2.8,12.6,A,DoorSpread,DoorMaster,2.255000,D,S,156397.000000
Thu Jul 28 08:08:06 2016,28-Jul-2016,110808,46 45.535600 N,062 41.421600 W,2.7,12.6,A,DoorSpread,DoorMaster,2.255000,D,S,156397.000000
Thu Jul 28 08:08:06 2016,28-Jul-2016,110809,46 45.536200 N,062 41.421300 W,2.7,12.7,A,DoorSpread,DoorMaster,2.255000,D,S,156397.000000
Thu Jul 28 08:08:06 2016,28-Jul-2016,110810,46 45.536900 N,062 41.421100 W,2.6,12.7,A,DoorSpread,DoorMaster,2.255000,D,S,156397.000000
Thu Jul 28 08:08:06 2016,28-Jul-2016,110811,46 45.537500 N,062 41.420800 W,2.6,12.7,A,DoorSpread,DoorMaster,2.255000,D,S,156397.000000
Thu Jul 28 08:08:11 2016,28-Jul-2016,110812,46 45.538100 N,062 41.420700 W,2.5,12.6,A,DoorSpread,DoorMaster,1.765000,D,S,145448.000000
Thu Jul 28 08:08:11 2016,28-Jul-2016,110813,46 45.538700 N,062 41.420500 W,2.4,12.6,A,DoorSpread,DoorMaster,1.765000,D,S,145448.000000
Thu Jul 28 08:08:11 2016,28-Jul-2016,110814,46 45.539300 N,062 41.420200 W,2.4,13.0,A,DoorSpread,DoorMaster,1.765000,D,S,145448.000000
Thu Jul 28 08:08:11 2016,28-Jul-2016,110815,46 45.539800 N,062 41.420000 W,2.3,13.4,A,DoorSpread,DoorMaster,1.765000,D,S,145448.000000
Thu Jul 28 08:08:11 2016,28-Jul-2016,110816,46 45.540400 N,062 41.419700 W,2.3,13.9,A,DoorSpread,DoorMaster,1.765000,D,S,145448.000000
Thu Jul 28 08:08:16 2016,28-Jul-2016,110817,46 45.540900 N,062 41.419500 W,2.2,14.0,A,DoorSpread,DoorMaster,2.310000,D,S,241767.000000
Thu Jul 28 08:08:16 2016,28-Jul-2016,110818,46 45.541500 N,062 41.419300 W,2.2,13.9,A,DoorSpread,DoorMaster,2.310000,D,S,241767.000000
Thu Jul 28 08:08:16 2016,28-Jul-2016,110819,46 45.542000 N,062 41.419100 W,2.2,14.0,A,DoorSpread,DoorMaster,2.310000,D,S,241767.000000
Thu Jul 28 08:08:19 2016,28-Jul-2016,110820,46 45.542500 N,062 41.418800 W,2.1,14.4,A,Depth,Depth,1.944444,D,S,49778.000000
Thu Jul 28 08:08:19 2016,28-Jul-2016,110821,46 45.543000 N,062 41.418600 W,2.1,14.7,A,Depth,Depth,1.944444,D,S,49778.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110822,46 45.543500 N,062 41.418400 W,2.0,15.1,A,DoorSpread,DoorMaster,2.065000,D,S,174260.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110823,46 45.544000 N,062 41.418100 W,2.0,15.3,A,Primary,Headline,1.367347,D,S,43656.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110824,46 45.544500 N,062 41.417900 W,2.0,15.4,A,Primary,Headline,1.367347,D,S,43656.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110825,46 45.544900 N,062 41.417700 W,1.9,15.8,A,Primary,Headline,1.367347,D,S,43656.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110826,46 45.545400 N,062 41.417400 W,1.9,16.3,A,Primary,Headline,1.367347,D,S,43656.000000
Thu Jul 28 08:08:22 2016,28-Jul-2016,110827,46 45.545900 N,062 41.417200 W,1.9,16.5,A,Primary,Headline,1.367347,D,S,43656.000000
Thu Jul 28 08:08:27 2016,28-Jul-2016,110828,46 45.546300 N,062 41.416900 W,1.9,16.8,A,DoorSpread,DoorMaster,2.325000,D,S,144688.000000
Thu Jul 28 08:08:27 2016,28-Jul-2016,110829,46 45.546800 N,062 41.416700 W,1.8,17.0,A,DoorSpread,DoorMaster,2.325000,D,S,144688.000000
Thu Jul 28 08:08:27 2016,28-Jul-2016,110830,46 45.547200 N,062 41.416500 W,1.8,17.3,A,DoorSpread,DoorMaster,2.325000,D,S,144688.000000
Thu Jul 28 08:08:27 2016,28-Jul-2016,110831,46 45.547700 N,062 41.416300 W,1.8,17.4,A,DoorSpread,DoorMaster,2.325000,D,S,144688.000000
Thu Jul 28 08:08:27 2016,28-Jul-2016,110832,46 45.548100 N,062 41.416100 W,1.8,17.2,A,DoorSpread,DoorMaster,2.325000,D,S,144688.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110833,46 45.548600 N,062 41.415900 W,1.7,17.3,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110834,46 45.549000 N,062 41.415700 W,1.7,17.5,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110835,46 45.549400 N,062 41.415500 W,1.7,18.1,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110836,46 45.549800 N,062 41.415300 W,1.7,18.4,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110837,46 45.550200 N,062 41.415100 W,1.7,18.4,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110838,46 45.550600 N,062 41.414900 W,1.6,18.1,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110839,46 45.551000 N,062 41.414700 W,1.6,18.4,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110840,46 45.551400 N,062 41.414400 W,1.6,19.2,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110841,46 45.551800 N,062 41.414200 W,1.6,19.9,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:32 2016,28-Jul-2016,110842,46 45.552100 N,062 41.414000 W,1.6,20.1,A,DoorSpread,DoorMaster,0.580000,D,S,64696.000000
Thu Jul 28 08:08:43 2016,28-Jul-2016,110843,46 45.552500 N,062 41.413900 W,1.5,19.8,A,DoorSpread,DoorMaster,1.815000,D,S,213326.000000
Thu Jul 28 08:08:43 2016,28-Jul-2016,110844,46 45.552800 N,062 41.413800 W,1.5,19.5,A,DoorSpread,DoorMaster,1.815000,D,S,213326.000000
Thu Jul 28 08:08:43 2016,28-Jul-2016,110845,46 45.553200 N,062 41.413600 W,1.5,19.5,A,DoorSpread,DoorMaster,1.815000,D,S,213326.000000
Thu Jul 28 08:08:43 2016,28-Jul-2016,110846,46 45.553600 N,062 41.413400 W,1.5,20.0,A,DoorSpread,DoorMaster,1.815000,D,S,213326.000000
Thu Jul 28 08:08:43 2016,28-Jul-2016,110847,46 45.553900 N,062 41.413200 W,1.5,20.4,A,DoorSpread,DoorMaster,1.815000,D,S,213326.000000
Thu Jul 28 08:08:47 2016,28-Jul-2016,110848,46 45.554300 N,062 41.413100 W,1.5,20.7,A,Primary,Headline,4.734694,D,S,114066.000000
Thu Jul 28 08:08:48 2016,28-Jul-2016,110849,46 45.554700 N,062 41.412900 W,1.5,20.6,A,DoorSpread,DoorMaster,1.875000,D,S,403379.000000
Thu Jul 28 08:08:48 2016,28-Jul-2016,110850,46 45.555000 N,062 41.412600 W,1.5,20.1,A,DoorSpread,DoorMaster,1.875000,D,S,403379.000000
Thu Jul 28 08:08:48 2016,28-Jul-2016,110851,46 45.555400 N,062 41.412500 W,1.5,20.0,A,DoorSpread,DoorMaster,1.875000,D,S,403379.000000
Thu Jul 28 08:08:48 2016,28-Jul-2016,110852,46 45.555700 N,062 41.412300 W,1.5,20.2,A,DoorSpread,DoorMaster,1.875000,D,S,403379.000000
