Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,8
Comments
"ZONE 12 NORD DU CANAL DES ILES WESTERN BRADELLE BANK"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,07-Aug-2016,171725,47 54.832700 N,062 35.993400 W,3.5,95.8,A,,,,,,
,07-Aug-2016,171726,47 54.832700 N,062 35.992000 W,3.5,95.0,A,,,,,,
,07-Aug-2016,171727,47 54.832600 N,062 35.990600 W,3.5,95.9,A,,,,,,
,07-Aug-2016,171728,47 54.832400 N,062 35.989100 W,3.5,96.9,A,,,,,,
,07-Aug-2016,171729,47 54.832300 N,062 35.987600 W,3.5,96.2,A,,,,,,
,07-Aug-2016,171730,47 54.832400 N,062 35.986200 W,3.5,95.0,A,,,,,,
,07-Aug-2016,171731,47 54.832300 N,062 35.984700 W,3.5,95.1,A,,,,,,
,07-Aug-2016,171732,47 54.832200 N,062 35.983200 W,3.5,95.7,A,,,,,,
,07-Aug-2016,171733,47 54.832100 N,062 35.981800 W,3.5,95.7,A,,,,,,
,07-Aug-2016,171734,47 54.832100 N,062 35.980400 W,3.5,95.6,A,,,,,,
,07-Aug-2016,171735,47 54.832000 N,062 35.979100 W,3.4,96.1,A,,,,,,
,07-Aug-2016,171736,47 54.831800 N,062 35.977600 W,3.5,96.5,A,,,,,,
,07-Aug-2016,171737,47 54.831900 N,062 35.976100 W,3.5,95.8,A,,,,,,
,07-Aug-2016,171738,47 54.831900 N,062 35.974700 W,3.4,94.8,A,,,,,,
,07-Aug-2016,171739,47 54.831800 N,062 35.973300 W,3.4,95.1,A,,,,,,
,07-Aug-2016,171740,47 54.831600 N,062 35.971900 W,3.4,96.6,A,,,,,,
,07-Aug-2016,171741,47 54.831400 N,062 35.970500 W,3.4,97.6,A,,,,,,
,07-Aug-2016,171742,47 54.831300 N,062 35.969100 W,3.4,97.2,A,,,,,,
,07-Aug-2016,171743,47 54.831400 N,062 35.967700 W,3.4,96.1,A,,,,,,
,07-Aug-2016,171744,47 54.831300 N,062 35.966200 W,3.4,95.8,A,,,,,,
,07-Aug-2016,171745,47 54.831100 N,062 35.964900 W,3.4,96.6,A,,,,,,
,07-Aug-2016,171746,47 54.830900 N,062 35.963600 W,3.3,97.7,A,,,,,,
Sun Aug 07 14:17:46 2016,07-Aug-2016,171747,47 54.830800 N,062 35.962100 W,3.3,97.7,A,DoorSpread,DoorMaster,3.395000,D,S,79676.000000
Sun Aug 07 14:17:46 2016,07-Aug-2016,171748,47 54.830800 N,062 35.960600 W,3.3,97.2,A,DoorSpread,DoorMaster,3.395000,D,S,79676.000000
Sun Aug 07 14:17:46 2016,07-Aug-2016,171749,47 54.830700 N,062 35.959300 W,3.3,97.1,A,DoorSpread,DoorMaster,3.395000,D,S,79676.000000
Sun Aug 07 14:17:46 2016,07-Aug-2016,171750,47 54.830600 N,062 35.957800 W,3.4,97.3,A,DoorSpread,DoorMaster,3.395000,D,S,79676.000000
Sun Aug 07 14:17:46 2016,07-Aug-2016,171751,47 54.830500 N,062 35.956500 W,3.3,97.2,A,DoorSpread,DoorMaster,3.395000,D,S,79676.000000
Sun Aug 07 14:17:52 2016,07-Aug-2016,171752,47 54.830400 N,062 35.955300 W,3.3,97.4,A,DoorSpread,DoorMaster,3.320000,D,S,77016.000000
Sun Aug 07 14:17:52 2016,07-Aug-2016,171753,47 54.830300 N,062 35.954000 W,3.3,98.0,A,DoorSpread,DoorMaster,3.320000,D,S,77016.000000
Sun Aug 07 14:17:52 2016,07-Aug-2016,171754,47 54.830200 N,062 35.952600 W,3.3,97.8,A,DoorSpread,DoorMaster,3.320000,D,S,77016.000000
Sun Aug 07 14:17:52 2016,07-Aug-2016,171755,47 54.830100 N,062 35.951200 W,3.3,96.8,A,DoorSpread,DoorMaster,3.320000,D,S,77016.000000
Sun Aug 07 14:17:52 2016,07-Aug-2016,171756,47 54.830100 N,062 35.949900 W,3.3,96.5,A,DoorSpread,DoorMaster,3.320000,D,S,77016.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171757,47 54.829900 N,062 35.948600 W,3.3,97.1,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171758,47 54.829700 N,062 35.947200 W,3.3,97.6,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171759,47 54.829600 N,062 35.945900 W,3.3,97.3,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171800,47 54.829600 N,062 35.944500 W,3.3,96.5,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171801,47 54.829500 N,062 35.943100 W,3.3,96.3,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:17:57 2016,07-Aug-2016,171802,47 54.829300 N,062 35.941800 W,3.3,96.7,A,DoorSpread,DoorMaster,2.855000,D,S,48866.000000
Sun Aug 07 14:18:02 2016,07-Aug-2016,171803,47 54.829200 N,062 35.940500 W,3.3,96.8,A,DoorSpread,DoorMaster,2.240000,D,S,100513.000000
Sun Aug 07 14:18:02 2016,07-Aug-2016,171804,47 54.829200 N,062 35.939200 W,3.3,96.1,A,DoorSpread,DoorMaster,2.240000,D,S,100513.000000
Sun Aug 07 14:18:02 2016,07-Aug-2016,171805,47 54.829100 N,062 35.937800 W,3.3,95.5,A,DoorSpread,DoorMaster,2.240000,D,S,100513.000000
Sun Aug 07 14:18:02 2016,07-Aug-2016,171806,47 54.829000 N,062 35.936500 W,3.3,96.1,A,DoorSpread,DoorMaster,2.240000,D,S,100513.000000
Sun Aug 07 14:18:02 2016,07-Aug-2016,171807,47 54.828900 N,062 35.935200 W,3.2,96.3,A,DoorSpread,DoorMaster,2.240000,D,S,100513.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171808,47 54.828900 N,062 35.933900 W,3.2,95.9,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171809,47 54.828900 N,062 35.932600 W,3.2,95.7,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171810,47 54.828800 N,062 35.931300 W,3.2,95.8,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171811,47 54.828700 N,062 35.930000 W,3.2,95.7,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171812,47 54.828700 N,062 35.928700 W,3.2,95.7,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:08 2016,07-Aug-2016,171813,47 54.828500 N,062 35.927400 W,3.2,96.1,A,DoorSpread,DoorMaster,3.350000,D,S,70063.000000
Sun Aug 07 14:18:13 2016,07-Aug-2016,171814,47 54.828400 N,062 35.926100 W,3.2,96.6,A,DoorSpread,DoorMaster,3.265000,D,S,171676.000000
Sun Aug 07 14:18:13 2016,07-Aug-2016,171815,47 54.828300 N,062 35.924900 W,3.2,96.8,A,DoorSpread,DoorMaster,3.265000,D,S,171676.000000
Sun Aug 07 14:18:13 2016,07-Aug-2016,171816,47 54.828300 N,062 35.923500 W,3.2,96.0,A,DoorSpread,DoorMaster,3.265000,D,S,171676.000000
Sun Aug 07 14:18:13 2016,07-Aug-2016,171817,47 54.828400 N,062 35.922400 W,3.1,95.0,A,DoorSpread,DoorMaster,3.265000,D,S,171676.000000
Sun Aug 07 14:18:13 2016,07-Aug-2016,171818,47 54.828300 N,062 35.921300 W,3.1,95.5,A,DoorSpread,DoorMaster,3.265000,D,S,171676.000000
Sun Aug 07 14:18:19 2016,07-Aug-2016,171819,47 54.828000 N,062 35.920100 W,3.0,97.1,A,DoorSpread,DoorMaster,2.540000,D,S,84685.000000
Sun Aug 07 14:18:19 2016,07-Aug-2016,171820,47 54.827900 N,062 35.918900 W,3.0,96.9,A,DoorSpread,DoorMaster,2.540000,D,S,84685.000000
Sun Aug 07 14:18:19 2016,07-Aug-2016,171821,47 54.828000 N,062 35.917900 W,2.9,95.3,A,DoorSpread,DoorMaster,2.540000,D,S,84685.000000
Sun Aug 07 14:18:19 2016,07-Aug-2016,171822,47 54.828000 N,062 35.916900 W,2.8,94.6,A,DoorSpread,DoorMaster,2.540000,D,S,84685.000000
