Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,2
Comments
"ZONE 12 NORD-OUEST EASTERN BANK"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,08-Aug-2016,095821,48 13.085900 N,062 28.662200 W,5.2,87.6,A,,,,,,
,08-Aug-2016,095822,48 13.085800 N,062 28.660300 W,5.1,87.5,A,,,,,,
,08-Aug-2016,095823,48 13.086000 N,062 28.658400 W,5.1,86.5,A,,,,,,
,08-Aug-2016,095824,48 13.086300 N,062 28.656300 W,5.1,85.6,A,,,,,,
,08-Aug-2016,095825,48 13.086400 N,062 28.654400 W,5.0,86.0,A,,,,,,
,08-Aug-2016,095826,48 13.086300 N,062 28.652400 W,4.9,87.0,A,,,,,,
,08-Aug-2016,095827,48 13.086400 N,062 28.650500 W,4.9,87.1,A,,,,,,
,08-Aug-2016,095828,48 13.086500 N,062 28.648700 W,4.8,86.4,A,,,,,,
,08-Aug-2016,095829,48 13.086600 N,062 28.647000 W,4.8,85.9,A,,,,,,
,08-Aug-2016,095830,48 13.086600 N,062 28.645200 W,4.7,86.2,A,,,,,,
,08-Aug-2016,095831,48 13.086600 N,062 28.643400 W,4.7,86.9,A,,,,,,
,08-Aug-2016,095832,48 13.086600 N,062 28.641500 W,4.7,87.1,A,,,,,,
,08-Aug-2016,095833,48 13.086800 N,062 28.639700 W,4.6,86.8,A,,,,,,
,08-Aug-2016,095834,48 13.087000 N,062 28.637900 W,4.6,86.1,A,,,,,,
,08-Aug-2016,095835,48 13.087100 N,062 28.636100 W,4.5,86.1,A,,,,,,
,08-Aug-2016,095836,48 13.087100 N,062 28.634300 W,4.5,87.0,A,,,,,,
,08-Aug-2016,095837,48 13.087100 N,062 28.632400 W,4.5,87.4,A,,,,,,
,08-Aug-2016,095838,48 13.087300 N,062 28.630400 W,4.5,87.0,A,,,,,,
,08-Aug-2016,095839,48 13.087400 N,062 28.628900 W,4.4,86.0,A,,,,,,
,08-Aug-2016,095840,48 13.087500 N,062 28.627300 W,4.4,85.5,A,,,,,,
,08-Aug-2016,095841,48 13.087600 N,062 28.625600 W,4.3,85.6,A,,,,,,
,08-Aug-2016,095842,48 13.087600 N,062 28.623800 W,4.3,86.4,A,,,,,,
,08-Aug-2016,095843,48 13.087500 N,062 28.622100 W,4.3,87.3,A,,,,,,
,08-Aug-2016,095844,48 13.087600 N,062 28.620600 W,4.2,87.2,A,,,,,,
,08-Aug-2016,095845,48 13.087800 N,062 28.618900 W,4.2,86.3,A,,,,,,
Mon Aug 08 06:58:46 2016,08-Aug-2016,095846,48 13.087900 N,062 28.617200 W,4.2,86.1,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095847,48 13.088000 N,062 28.615600 W,4.1,86.5,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095848,48 13.088000 N,062 28.614000 W,4.1,86.9,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095849,48 13.088000 N,062 28.612600 W,4.0,87.0,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095850,48 13.088100 N,062 28.611000 W,3.9,87.4,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095851,48 13.088100 N,062 28.609500 W,3.9,87.5,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:46 2016,08-Aug-2016,095852,48 13.088200 N,062 28.608000 W,3.9,86.7,A,Depth,Depth,4.166667,D,S,59752.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095853,48 13.088400 N,062 28.606500 W,3.8,86.2,A,Depth,Depth,0.648148,D,S,98136.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095854,48 13.088300 N,062 28.605100 W,3.8,86.9,A,Depth,Depth,0.648148,D,S,98136.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095855,48 13.088300 N,062 28.603600 W,3.8,88.1,A,Depth,Depth,0.648148,D,S,98136.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095856,48 13.088300 N,062 28.602000 W,3.7,88.1,A,Depth,Depth,0.648148,D,S,98136.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095857,48 13.088400 N,062 28.600800 W,3.7,87.1,A,Depth,Depth,0.648148,D,S,98136.000000
Mon Aug 08 06:58:53 2016,08-Aug-2016,095858,48 13.088500 N,062 28.599600 W,3.6,86.3,A,Depth,Depth,0.648148,D,S,98136.000000
