Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,11
Comments
"ZONE 12 CANAL DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,27-Jul-2016,230055,46 51.602000 N,062 19.462500 W,3.7,223.0,A,,,,,,
,27-Jul-2016,230056,46 51.601400 N,062 19.463500 W,3.7,222.6,A,,,,,,
,27-Jul-2016,230057,46 51.600700 N,062 19.464500 W,3.7,222.5,A,,,,,,
,27-Jul-2016,230058,46 51.600000 N,062 19.465600 W,3.7,222.2,A,,,,,,
,27-Jul-2016,230059,46 51.599100 N,062 19.466500 W,3.7,221.8,A,,,,,,
,27-Jul-2016,230100,46 51.598400 N,062 19.467500 W,3.7,221.7,A,,,,,,
,27-Jul-2016,230101,46 51.597600 N,062 19.468600 W,3.7,222.0,A,,,,,,
,27-Jul-2016,230102,46 51.596900 N,062 19.469700 W,3.7,222.4,A,,,,,,
,27-Jul-2016,230103,46 51.596200 N,062 19.470800 W,3.7,222.7,A,,,,,,
,27-Jul-2016,230104,46 51.595500 N,062 19.471700 W,3.7,222.9,A,,,,,,
,27-Jul-2016,230105,46 51.594800 N,062 19.472900 W,3.7,223.1,A,,,,,,
,27-Jul-2016,230106,46 51.594100 N,062 19.474000 W,3.7,223.3,A,,,,,,
,27-Jul-2016,230107,46 51.593400 N,062 19.475000 W,3.7,223.6,A,,,,,,
Wed Jul 27 20:01:07 2016,27-Jul-2016,230108,46 51.592600 N,062 19.476100 W,3.7,223.7,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:07 2016,27-Jul-2016,230109,46 51.591900 N,062 19.477200 W,3.7,224.0,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:07 2016,27-Jul-2016,230110,46 51.591300 N,062 19.478200 W,3.7,224.4,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:07 2016,27-Jul-2016,230111,46 51.590700 N,062 19.479300 W,3.6,224.6,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:07 2016,27-Jul-2016,230112,46 51.590100 N,062 19.480300 W,3.6,224.6,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:07 2016,27-Jul-2016,230113,46 51.589500 N,062 19.481300 W,3.5,224.4,A,DoorSpread,DoorMaster,2.580000,D,S,40970.000000
Wed Jul 27 20:01:13 2016,27-Jul-2016,230114,46 51.588900 N,062 19.482300 W,3.5,224.5,A,DoorSpread,DoorMaster,3.315000,D,S,64623.000000
Wed Jul 27 20:01:13 2016,27-Jul-2016,230115,46 51.588300 N,062 19.483200 W,3.4,224.7,A,DoorSpread,DoorMaster,3.315000,D,S,64623.000000
Wed Jul 27 20:01:13 2016,27-Jul-2016,230116,46 51.587700 N,062 19.484100 W,3.4,225.0,A,DoorSpread,DoorMaster,3.315000,D,S,64623.000000
Wed Jul 27 20:01:13 2016,27-Jul-2016,230117,46 51.587200 N,062 19.485000 W,3.3,225.1,A,DoorSpread,DoorMaster,3.315000,D,S,64623.000000
