Ship Number,Trip Number,Tow Number
JEAN MATHIEU,3,4
Comments
"ZONE 12 OUEST DES ILES"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,26-Jul-2016,115344,47 22.711000 N,062 21.456600 W,3.0,349.3,A,,,,,,
,26-Jul-2016,115345,47 22.711700 N,062 21.456700 W,2.9,350.1,A,,,,,,
,26-Jul-2016,115346,47 22.712400 N,062 21.456800 W,2.9,350.5,A,,,,,,
,26-Jul-2016,115347,47 22.713100 N,062 21.456900 W,2.8,351.1,A,,,,,,
,26-Jul-2016,115348,47 22.713800 N,062 21.456900 W,2.8,352.1,A,,,,,,
,26-Jul-2016,115349,47 22.714400 N,062 21.456900 W,2.7,353.1,A,,,,,,
,26-Jul-2016,115350,47 22.715100 N,062 21.456900 W,2.6,353.9,A,,,,,,
,26-Jul-2016,115351,47 22.715800 N,062 21.457000 W,2.6,354.5,A,,,,,,
,26-Jul-2016,115352,47 22.716400 N,062 21.456900 W,2.6,355.2,A,,,,,,
,26-Jul-2016,115353,47 22.717000 N,062 21.456900 W,2.5,356.0,A,,,,,,
,26-Jul-2016,115354,47 22.717700 N,062 21.456900 W,2.4,356.7,A,,,,,,
,26-Jul-2016,115355,47 22.718300 N,062 21.456900 W,2.4,357.4,A,,,,,,
,26-Jul-2016,115356,47 22.718900 N,062 21.456800 W,2.3,358.2,A,,,,,,
,26-Jul-2016,115357,47 22.719400 N,062 21.456700 W,2.3,358.7,A,,,,,,
,26-Jul-2016,115358,47 22.720100 N,062 21.456700 W,2.3,359.0,A,,,,,,
,26-Jul-2016,115359,47 22.720700 N,062 21.456700 W,2.3,359.4,A,,,,,,
,26-Jul-2016,115400,47 22.721200 N,062 21.456600 W,2.2,359.9,A,,,,,,
,26-Jul-2016,115401,47 22.721800 N,062 21.456600 W,2.2,0.1,A,,,,,,
,26-Jul-2016,115402,47 22.722400 N,062 21.456600 W,2.2,0.2,A,,,,,,
,26-Jul-2016,115403,47 22.722900 N,062 21.456500 W,2.1,0.3,A,,,,,,
Tue Jul 26 08:54:03 2016,26-Jul-2016,115404,47 22.723400 N,062 21.456500 W,2.1,0.6,A,DoorSpread,DoorMaster,1.310000,D,S,62594.000000
