Ship Number,Trip Number,Tow Number
JEANMATHIEU,9,5
Comments
"ZONE 12 AU LARGE DE L'ILE DE MARGAREE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,28-Sep-2016,161423,46 27.199500 N,061 29.200200 W,3.2,70.0,A,,,,,,
,28-Sep-2016,161424,46 27.199900 N,061 29.199200 W,3.2,68.0,A,,,,,,
,28-Sep-2016,161425,46 27.200300 N,061 29.198200 W,3.1,66.8,A,,,,,,
,28-Sep-2016,161426,46 27.200700 N,061 29.197000 W,3.1,66.6,A,,,,,,
,28-Sep-2016,161427,46 27.201100 N,061 29.195800 W,3.2,66.8,A,,,,,,
,28-Sep-2016,161428,46 27.201500 N,061 29.194700 W,3.1,66.4,A,,,,,,
,28-Sep-2016,161429,46 27.201700 N,061 29.193600 W,3.1,65.1,A,,,,,,
,28-Sep-2016,161430,46 27.202200 N,061 29.192500 W,3.1,63.7,A,,,,,,
,28-Sep-2016,161431,46 27.202700 N,061 29.191200 W,3.2,62.6,A,,,,,,
,28-Sep-2016,161432,46 27.203000 N,061 29.190100 W,3.1,62.9,A,,,,,,
,28-Sep-2016,161433,46 27.203200 N,061 29.189100 W,3.0,63.4,A,,,,,,
,28-Sep-2016,161434,46 27.203600 N,061 29.187900 W,3.1,63.0,A,,,,,,
Wed Sep 28 13:14:33 2016,28-Sep-2016,161435,46 27.204000 N,061 29.186700 W,3.1,62.0,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161436,46 27.204400 N,061 29.185900 W,3.0,61.2,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161437,46 27.204600 N,061 29.185000 W,2.9,61.7,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161438,46 27.205000 N,061 29.183900 W,2.9,62.1,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161439,46 27.205500 N,061 29.182800 W,3.0,61.5,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161440,46 27.205800 N,061 29.182200 W,2.8,60.9,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161441,46 27.206100 N,061 29.181400 W,2.7,61.6,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161442,46 27.206400 N,061 29.180300 W,2.7,62.5,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161443,46 27.206800 N,061 29.179300 W,2.8,62.1,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161444,46 27.207100 N,061 29.178700 W,2.7,61.4,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161445,46 27.207200 N,061 29.177900 W,2.5,62.6,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161446,46 27.207500 N,061 29.177000 W,2.5,64.1,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161447,46 27.207800 N,061 29.176100 W,2.5,64.2,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161448,46 27.208100 N,061 29.175400 W,2.5,62.5,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161449,46 27.208400 N,061 29.174700 W,2.4,61.7,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161450,46 27.208700 N,061 29.174000 W,2.4,62.1,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161451,46 27.208900 N,061 29.173200 W,2.4,62.8,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161452,46 27.209200 N,061 29.172300 W,2.3,62.7,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161453,46 27.209600 N,061 29.171600 W,2.3,61.7,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:33 2016,28-Sep-2016,161454,46 27.209800 N,061 29.170900 W,2.3,61.8,A,DoorSpread,DoorMaster,0.460000,D,S,38311.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161455,46 27.210000 N,061 29.170100 W,2.2,62.4,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161456,46 27.210300 N,061 29.169400 W,2.2,62.7,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161457,46 27.210500 N,061 29.168800 W,2.2,62.6,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161458,46 27.210500 N,061 29.168100 W,2.1,63.4,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161459,46 27.210700 N,061 29.167300 W,2.1,63.7,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161500,46 27.211000 N,061 29.166600 W,2.1,62.7,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161501,46 27.211200 N,061 29.166200 W,2.0,61.9,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161502,46 27.211200 N,061 29.165700 W,1.9,63.9,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161503,46 27.211400 N,061 29.164800 W,2.0,66.0,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161504,46 27.211700 N,061 29.164100 W,2.0,64.1,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161505,46 27.211900 N,061 29.163800 W,1.9,61.3,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161506,46 27.212200 N,061 29.163400 W,1.8,59.4,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161507,46 27.212500 N,061 29.162800 W,1.8,59.4,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
Wed Sep 28 13:14:54 2016,28-Sep-2016,161508,46 27.212800 N,061 29.162100 W,1.8,60.8,A,DoorSpread,DoorMaster,1.890000,D,S,120689.000000
