Ship Number,Trip Number,Tow Number
JEAN MATHIEU,1,8
Comments
"ZONE 12F BIRD ROCK"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,10-Jul-2016,170358,47 53.277400 N,061 4.301000 W,4.6,313.5,A,,,,,,
,10-Jul-2016,170359,47 53.278100 N,061 4.302500 W,4.5,312.9,A,,,,,,
,10-Jul-2016,170400,47 53.278900 N,061 4.303800 W,4.5,312.4,A,,,,,,
,10-Jul-2016,170401,47 53.279700 N,061 4.305200 W,4.5,312.4,A,,,,,,
,10-Jul-2016,170402,47 53.280500 N,061 4.306500 W,4.4,312.4,A,,,,,,
,10-Jul-2016,170403,47 53.281200 N,061 4.307900 W,4.4,312.0,A,,,,,,
,10-Jul-2016,170404,47 53.281900 N,061 4.309200 W,4.3,311.7,A,,,,,,
,10-Jul-2016,170405,47 53.282600 N,061 4.310400 W,4.2,311.7,A,,,,,,
,10-Jul-2016,170406,47 53.283300 N,061 4.311500 W,4.1,311.8,A,,,,,,
,10-Jul-2016,170407,47 53.284000 N,061 4.312600 W,4.0,311.8,A,,,,,,
Sun Jul 10 14:04:07 2016,10-Jul-2016,170408,47 53.284600 N,061 4.313700 W,4.0,311.7,A,DoorSpread,DoorMaster,0.000000,E,S,48149.000000
Sun Jul 10 14:04:07 2016,10-Jul-2016,170409,47 53.285300 N,061 4.315000 W,4.0,311.4,A,DoorSpread,DoorMaster,0.000000,E,S,48149.000000
Sun Jul 10 14:04:07 2016,10-Jul-2016,170410,47 53.286100 N,061 4.316200 W,3.9,311.5,A,DoorSpread,DoorMaster,0.000000,E,S,48149.000000
Sun Jul 10 14:04:07 2016,10-Jul-2016,170411,47 53.286800 N,061 4.317300 W,3.9,311.6,A,DoorSpread,DoorMaster,0.000000,E,S,48149.000000
Sun Jul 10 14:04:07 2016,10-Jul-2016,170412,47 53.287500 N,061 4.318500 W,3.9,311.7,A,DoorSpread,DoorMaster,0.000000,E,S,48149.000000
Sun Jul 10 14:04:12 2016,10-Jul-2016,170413,47 53.288300 N,061 4.319700 W,3.9,311.7,A,DoorSpread,DoorMaster,0.000000,E,S,90198.000000
Sun Jul 10 14:04:12 2016,10-Jul-2016,170414,47 53.289000 N,061 4.320900 W,3.8,311.7,A,DoorSpread,DoorMaster,0.000000,E,S,90198.000000
Sun Jul 10 14:04:12 2016,10-Jul-2016,170415,47 53.289600 N,061 4.322000 W,3.8,311.8,A,DoorSpread,DoorMaster,0.000000,E,S,90198.000000
Sun Jul 10 14:04:12 2016,10-Jul-2016,170416,47 53.290300 N,061 4.323000 W,3.7,311.8,A,DoorSpread,DoorMaster,0.000000,E,S,90198.000000
Sun Jul 10 14:04:12 2016,10-Jul-2016,170417,47 53.290900 N,061 4.324000 W,3.6,312.2,A,DoorSpread,DoorMaster,0.000000,E,S,90198.000000
Sun Jul 10 14:04:17 2016,10-Jul-2016,170418,47 53.291500 N,061 4.324900 W,3.6,312.4,A,DoorSpread,DoorMaster,3.425000,D,S,48627.000000
Sun Jul 10 14:04:17 2016,10-Jul-2016,170419,47 53.292100 N,061 4.326000 W,3.6,312.2,A,DoorSpread,DoorMaster,3.425000,D,S,48627.000000
Sun Jul 10 14:04:17 2016,10-Jul-2016,170420,47 53.292800 N,061 4.327000 W,3.6,312.1,A,DoorSpread,DoorMaster,3.425000,D,S,48627.000000
Sun Jul 10 14:04:17 2016,10-Jul-2016,170421,47 53.293500 N,061 4.328200 W,3.6,312.2,A,DoorSpread,DoorMaster,3.425000,D,S,48627.000000
Sun Jul 10 14:04:17 2016,10-Jul-2016,170422,47 53.294100 N,061 4.329300 W,3.6,312.4,A,DoorSpread,DoorMaster,3.425000,D,S,48627.000000
Sun Jul 10 14:04:22 2016,10-Jul-2016,170423,47 53.294700 N,061 4.330400 W,3.6,312.7,A,DoorSpread,DoorMaster,1.460000,D,S,84754.000000
