Ship Number,Trip Number,Tow Number
JEANMATHIEU,9,1
Comments
"ZONE 19 ILE SAINT PAUL"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,01-Oct-2016,094446,47 16.847300 N,060 22.335600 W,3.3,79.7,A,,,,,,
,01-Oct-2016,094447,47 16.847600 N,060 22.334500 W,3.3,79.0,A,,,,,,
,01-Oct-2016,094448,47 16.847900 N,060 22.333200 W,3.3,77.2,A,,,,,,
,01-Oct-2016,094449,47 16.848200 N,060 22.331900 W,3.3,76.5,A,,,,,,
Sat Oct 01 06:44:49 2016,01-Oct-2016,094450,47 16.848300 N,060 22.330400 W,3.3,77.6,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:49 2016,01-Oct-2016,094451,47 16.848400 N,060 22.329100 W,3.3,79.1,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:49 2016,01-Oct-2016,094452,47 16.848500 N,060 22.327900 W,3.2,79.6,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:49 2016,01-Oct-2016,094453,47 16.848600 N,060 22.326600 W,3.2,79.4,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:49 2016,01-Oct-2016,094454,47 16.848800 N,060 22.325300 W,3.3,79.5,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:49 2016,01-Oct-2016,094455,47 16.848900 N,060 22.323900 W,3.3,80.1,A,DoorSpread,DoorMaster,0.000000,E,S,29323.000000
Sat Oct 01 06:44:55 2016,01-Oct-2016,094456,47 16.849000 N,060 22.322700 W,3.2,80.2,A,DoorSpread,DoorMaster,8.680000,D,S,52383.000000
Sat Oct 01 06:44:55 2016,01-Oct-2016,094457,47 16.849200 N,060 22.321500 W,3.2,80.2,A,DoorSpread,DoorMaster,8.680000,D,S,52383.000000
Sat Oct 01 06:44:55 2016,01-Oct-2016,094458,47 16.849300 N,060 22.320200 W,3.2,80.7,A,DoorSpread,DoorMaster,8.680000,D,S,52383.000000
Sat Oct 01 06:44:55 2016,01-Oct-2016,094459,47 16.849300 N,060 22.318800 W,3.2,81.1,A,DoorSpread,DoorMaster,8.680000,D,S,52383.000000
Sat Oct 01 06:44:55 2016,01-Oct-2016,094500,47 16.849600 N,060 22.317500 W,3.2,80.4,A,DoorSpread,DoorMaster,8.680000,D,S,52383.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094501,47 16.849700 N,060 22.316300 W,3.2,79.7,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094502,47 16.849900 N,060 22.314900 W,3.2,80.3,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094503,47 16.849900 N,060 22.313600 W,3.2,81.6,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094504,47 16.850000 N,060 22.312400 W,3.2,82.0,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094505,47 16.850200 N,060 22.311200 W,3.2,80.4,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094506,47 16.850600 N,060 22.310000 W,3.2,78.2,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094507,47 16.850700 N,060 22.309000 W,3.1,78.4,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094508,47 16.850700 N,060 22.307800 W,3.0,80.7,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094509,47 16.850700 N,060 22.306500 W,3.0,82.0,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094510,47 16.850900 N,060 22.305300 W,3.0,80.6,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094511,47 16.851200 N,060 22.304500 W,2.9,78.3,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094512,47 16.851300 N,060 22.303500 W,2.8,77.9,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094513,47 16.851300 N,060 22.302500 W,2.8,80.0,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
Sat Oct 01 06:45:01 2016,01-Oct-2016,094514,47 16.851300 N,060 22.301400 W,2.8,81.5,A,DoorSpread,DoorMaster,2.295000,D,S,48395.000000
