Ship Number,Trip Number,Tow Number
JEANMATHIEU,7,3
Comments
"ZONE 12 BRADELLE"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,15-Sep-2017,121720,47 9.686700 N,062 41.850200 W,4.1,63.3,A,,,,,,
,15-Sep-2017,121721,47 9.687200 N,062 41.848800 W,4.1,63.3,A,,,,,,
,15-Sep-2017,121722,47 9.687600 N,062 41.847400 W,4.0,63.7,A,,,,,,
,15-Sep-2017,121723,47 9.687900 N,062 41.846200 W,3.9,64.4,A,,,,,,
,15-Sep-2017,121724,47 9.688400 N,062 41.844900 W,3.9,64.5,A,,,,,,
,15-Sep-2017,121725,47 9.688900 N,062 41.843500 W,3.9,64.0,A,,,,,,
,15-Sep-2017,121726,47 9.689300 N,062 41.842200 W,3.8,64.0,A,,,,,,
,15-Sep-2017,121727,47 9.689600 N,062 41.840900 W,3.7,65.2,A,,,,,,
,15-Sep-2017,121728,47 9.689900 N,062 41.839700 W,3.7,66.2,A,,,,,,
,15-Sep-2017,121729,47 9.690400 N,062 41.838300 W,3.7,65.9,A,,,,,,
,15-Sep-2017,121730,47 9.690900 N,062 41.837000 W,3.6,65.1,A,,,,,,
,15-Sep-2017,121731,47 9.691200 N,062 41.835800 W,3.6,65.5,A,,,,,,
,15-Sep-2017,121732,47 9.691400 N,062 41.834400 W,3.5,67.0,A,,,,,,
,15-Sep-2017,121733,47 9.691800 N,062 41.833200 W,3.5,67.6,A,,,,,,
,15-Sep-2017,121734,47 9.692300 N,062 41.831900 W,3.5,66.5,A,,,,,,
,15-Sep-2017,121735,47 9.692700 N,062 41.830700 W,3.5,65.9,A,,,,,,
,15-Sep-2017,121736,47 9.693000 N,062 41.829200 W,3.5,67.2,A,,,,,,
,15-Sep-2017,121737,47 9.693400 N,062 41.827700 W,3.6,67.9,A,,,,,,
,15-Sep-2017,121738,47 9.693900 N,062 41.826300 W,3.6,66.9,A,,,,,,
,15-Sep-2017,121739,47 9.694500 N,062 41.824900 W,3.7,66.0,A,,,,,,
,15-Sep-2017,121740,47 9.694900 N,062 41.823300 W,3.8,66.0,A,,,,,,
,15-Sep-2017,121741,47 9.695400 N,062 41.821700 W,3.8,66.0,A,,,,,,
,15-Sep-2017,121742,47 9.696000 N,062 41.820300 W,3.9,65.4,A,,,,,,
,15-Sep-2017,121743,47 9.696600 N,062 41.818800 W,3.9,64.5,A,,,,,,
,15-Sep-2017,121744,47 9.697200 N,062 41.817200 W,4.0,63.8,A,,,,,,
,15-Sep-2017,121745,47 9.697800 N,062 41.815600 W,4.1,63.5,A,,,,,,
,15-Sep-2017,121746,47 9.698400 N,062 41.814100 W,4.1,63.7,A,,,,,,
,15-Sep-2017,121747,47 9.699000 N,062 41.812400 W,4.2,63.4,A,,,,,,
,15-Sep-2017,121748,47 9.699600 N,062 41.810800 W,4.2,62.8,A,,,,,,
,15-Sep-2017,121749,47 9.700200 N,062 41.809200 W,4.3,62.7,A,,,,,,
,15-Sep-2017,121750,47 9.700800 N,062 41.807400 W,4.3,63.2,A,,,,,,
,15-Sep-2017,121751,47 9.701300 N,062 41.805700 W,4.4,63.7,A,,,,,,
,15-Sep-2017,121752,47 9.701900 N,062 41.804100 W,4.4,63.8,A,,,,,,
,15-Sep-2017,121753,47 9.702500 N,062 41.802500 W,4.4,63.5,A,,,,,,
,15-Sep-2017,121754,47 9.703100 N,062 41.800700 W,4.5,63.2,A,,,,,,
,15-Sep-2017,121755,47 9.703700 N,062 41.798900 W,4.5,63.6,A,,,,,,
,15-Sep-2017,121756,47 9.704100 N,062 41.797100 W,4.5,64.5,A,,,,,,
,15-Sep-2017,121757,47 9.704700 N,062 41.795500 W,4.5,64.4,A,,,,,,
,15-Sep-2017,121758,47 9.705300 N,062 41.793800 W,4.6,63.7,A,,,,,,
,15-Sep-2017,121759,47 9.706000 N,062 41.791900 W,4.6,63.8,A,,,,,,
,15-Sep-2017,121800,47 9.706600 N,062 41.790000 W,4.7,64.3,A,,,,,,
,15-Sep-2017,121801,47 9.707000 N,062 41.788400 W,4.6,64.6,A,,,,,,
