Ship Number,Trip Number,Tow Number
JEANMATHIEU,4,1
Comments
"ZONE 12 WESTERN BRAFELLE BANK"
CPU Date and Time,GPS Date,GPS Time,Latitude,Longitude,Speed,Heading,Validity,Transducer Name,Sensor Name,Sensor Value,Error Code,Hydrophone,Signal Strength
,11-Aug-2017,084503,48 13.491600 N,062 28.309700 W,3.7,146.9,A,,,,,,
,11-Aug-2017,084504,48 13.490800 N,062 28.308900 W,3.6,147.0,A,,,,,,
Fri Aug 11 05:45:05 2017,11-Aug-2017,084505,48 13.490000 N,062 28.308200 W,3.6,147.2,A,DoorSpread,DoorMaster,2.500000,D,S,50477.000000
Fri Aug 11 05:45:05 2017,11-Aug-2017,084506,48 13.489300 N,062 28.307500 W,3.5,147.2,A,DoorSpread,DoorMaster,2.500000,D,S,50477.000000
Fri Aug 11 05:45:05 2017,11-Aug-2017,084507,48 13.488600 N,062 28.306900 W,3.4,147.5,A,DoorSpread,DoorMaster,2.500000,D,S,50477.000000
Fri Aug 11 05:45:05 2017,11-Aug-2017,084508,48 13.487800 N,062 28.306300 W,3.4,147.8,A,DoorSpread,DoorMaster,2.500000,D,S,50477.000000
Fri Aug 11 05:45:05 2017,11-Aug-2017,084509,48 13.487200 N,062 28.305600 W,3.3,147.5,A,DoorSpread,DoorMaster,2.500000,D,S,50477.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084510,48 13.486600 N,062 28.304900 W,3.2,146.9,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084511,48 13.485900 N,062 28.304300 W,3.1,146.8,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084512,48 13.485300 N,062 28.303700 W,3.1,147.3,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084513,48 13.484600 N,062 28.303100 W,3.0,147.6,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084514,48 13.484000 N,062 28.302600 W,3.0,147.7,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:10 2017,11-Aug-2017,084515,48 13.483300 N,062 28.302100 W,2.9,147.8,A,DoorSpread,DoorMaster,1.950000,D,S,195616.000000
Fri Aug 11 05:45:15 2017,11-Aug-2017,084516,48 13.482700 N,062 28.301500 W,2.8,147.5,A,DoorSpread,DoorMaster,2.840000,D,S,209971.000000
Fri Aug 11 05:45:15 2017,11-Aug-2017,084517,48 13.482100 N,062 28.300900 W,2.8,146.9,A,DoorSpread,DoorMaster,2.840000,D,S,209971.000000
Fri Aug 11 05:45:15 2017,11-Aug-2017,084518,48 13.481600 N,062 28.300400 W,2.7,147.5,A,DoorSpread,DoorMaster,2.840000,D,S,209971.000000
Fri Aug 11 05:45:15 2017,11-Aug-2017,084519,48 13.481000 N,062 28.300000 W,2.7,148.7,A,DoorSpread,DoorMaster,2.840000,D,S,209971.000000
Fri Aug 11 05:45:15 2017,11-Aug-2017,084520,48 13.480300 N,062 28.299400 W,2.7,148.5,A,DoorSpread,DoorMaster,2.840000,D,S,209971.000000
Fri Aug 11 05:45:21 2017,11-Aug-2017,084521,48 13.479900 N,062 28.298900 W,2.6,147.7,A,DoorSpread,DoorMaster,1.670000,D,S,179886.000000
Fri Aug 11 05:45:21 2017,11-Aug-2017,084522,48 13.479400 N,062 28.298300 W,2.5,147.4,A,DoorSpread,DoorMaster,1.670000,D,S,179886.000000
Fri Aug 11 05:45:21 2017,11-Aug-2017,084523,48 13.478800 N,062 28.297900 W,2.5,148.4,A,DoorSpread,DoorMaster,1.670000,D,S,179886.000000
